roi_i,roi_j,roi_i_name,roi_j_name,J
1,1,Amygdala,Amygdala,0.0
2,1,Hippocampus,Amygdala,0.3378
3,1,Insula,Amygdala,-0.0229
4,1,dACC,Amygdala,0.0831
5,1,vmPFC,Amygdala,-0.0217
1,2,Amygdala,Hippocampus,0.3378
2,2,Hippocampus,Hippocampus,0.0
3,2,Insula,Hippocampus,0.1066
4,2,dACC,Hippocampus,0.0399
5,2,vmPFC,Hippocampus,0.2614
1,3,Amygdala,Insula,-0.0229
2,3,Hippocampus,Insula,0.1066
3,3,Insula,Insula,0.0
4,3,dACC,Insula,0.4309
5,3,vmPFC,Insula,0.069
1,4,Amygdala,dACC,0.0831
2,4,Hippocampus,dACC,0.0399
3,4,Insula,dACC,0.4309
4,4,dACC,dACC,0.0
5,4,vmPFC,dACC,0.0759
1,5,Amygdala,vmPFC,-0.0217
2,5,Hippocampus,vmPFC,0.2614
3,5,Insula,vmPFC,0.069
4,5,dACC,vmPFC,0.0759
5,5,vmPFC,vmPFC,0.0
