category,file_name,relative_path,size_bytes,modified_time_epoch
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,109846,1777587979.8070042
confirmatory,confirmatory_analysis_summary_acquisition77.md,ELA_features/confirmatory_analysis/confirmatory_analysis_summary_acquisition77.md,5829,1777587980.6626122
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,17895,1777587980.446885
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis/group_tests_by_task_confirmatory.csv,1,1777587978.4203558
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis/group_tests_confirmatory.csv,19641,1777587978.4073577
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis/merged_confirmatory_dataset.csv,224270,1777587978.1268861
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis/selected_confirmatory_features.csv,3884,1777587978.1572893
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis_v3/clinical_spearman_confirmatory.csv,64666,1777595729.6063547
confirmatory,confirmatory_analysis_summary_acquisition13.md,ELA_features/confirmatory_analysis_v3/confirmatory_analysis_summary_acquisition13.md,12887,1777595730.35727
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis_v3/covariate_models_confirmatory.csv,6584,1777595730.1163363
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis_v3/feature_specs_used.csv,3182,1777595724.9346037
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis_v3/group_tests_by_task_confirmatory.csv,1,1777595725.3691833
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis_v3/group_tests_confirmatory.csv,6923,1777595725.3521278
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis_v3/merged_confirmatory_dataset.csv,224270,1777595724.9068387
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis_v3/primary_results_for_manuscript.csv,4060,1777595730.137041
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis_v3/selected_confirmatory_features.csv,2916,1777595724.9514794
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/clinical_spearman_confirmatory.csv,96273,1777597261.5725393
confirmatory,confirmatory_analysis_summary_acquisition19.md,ELA_features/confirmatory_analysis_v3_notaskfilter/confirmatory_analysis_summary_acquisition19.md,12670,1777597262.1699595
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/covariate_models_confirmatory.csv,9537,1777597262.1245415
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/feature_specs_used.csv,4358,1777597254.90777
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/group_tests_by_task_confirmatory.csv,1,1777597255.4571178
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/group_tests_confirmatory.csv,9859,1777597255.4481177
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/merged_confirmatory_dataset.csv,224270,1777597254.8987663
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/primary_results_for_manuscript.csv,4697,1777597262.1473079
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/selected_confirmatory_features.csv,4338,1777597254.9275947
