category,file_name,relative_path,size_bytes,modified_time_epoch
feature,J_parameters_long.csv,ELA_features/J_parameters_long.csv,276,1777573891.1730804
feature,basin_graph.csv,ELA_features/basin_graph.csv,301,1777573891.3979893
feature,basin_metadata.csv,ELA_features/basin_metadata.csv,90,1777573891.1420794
feature,basin_metadata_with_members.csv,ELA_features/basin_metadata_with_members.csv,235,1777573891.15108
feature,basin_occupancy_long.csv,ELA_features/basin_occupancy_long.csv,9408,1777573891.3258407
feature,basin_role_map.csv,ELA_features/basin_role_map.csv,300,1777573891.1580803
feature,branch_lengths.csv,ELA_features/branch_lengths.csv,786,1777573891.2040987
feature,direct_transition_long.csv,ELA_features/direct_transition_long.csv,23449,1777573891.2280943
feature,disconnectivity_numeric.csv,ELA_features/disconnectivity_numeric.csv,1691,1777573891.197107
feature,dwell_events_long.csv,ELA_features/dwell_events_long.csv,182940,1777573891.3188646
feature,dynamics_frequency_long.csv,ELA_features/dynamics_frequency_long.csv,6901,1777573891.219081
feature,empirical_mfpt_long.csv,ELA_features/empirical_mfpt_long.csv,32219,1777573891.37102
feature,event_basin_occupancy_long.csv,ELA_features/event_basin_occupancy_long.csv,197280,1777573891.492013
feature,event_state_occupancy_long.csv,ELA_features/event_state_occupancy_long.csv,843766,1777573891.5523107
feature,event_subject_features.csv,ELA_features/event_subject_features.csv,156337,1777573891.418013
feature,event_subject_features_long.csv,ELA_features/event_subject_features_long.csv,282256,1777573891.4709897
feature,event_transition_long.csv,ELA_features/event_transition_long.csv,927945,1777573891.6463523
feature,group_comparison_stats_mergeAcquisition.csv,ELA_features/group_comparison_stats_mergeAcquisition.csv,69283,1777573892.8354435
feature,h_parameters.csv,ELA_features/h_parameters.csv,62,1777573891.16608
feature,indirect_transition_long.csv,ELA_features/indirect_transition_long.csv,27055,1777573891.2511172
feature,landscape_features.csv,ELA_features/landscape_features.csv,415,1777573891.2110798
feature,local_minima_features.csv,ELA_features/local_minima_features.csv,213,1777573891.1880822
feature,minima_transition_long.csv,ELA_features/minima_transition_long.csv,41127,1777573891.3619888
feature,model_summary.json,ELA_features/model_summary.json,6666,1777573891.6713188
feature,node_strength.csv,ELA_features/node_strength.csv,404,1777573891.1800797
feature,observed_transition_long.csv,ELA_features/observed_transition_long.csv,54783,1777573891.3508685
feature,pre_during_post_sankey_edges.csv,ELA_features/pre_during_post_sankey_edges.csv,13823,1777573891.6583457
feature,sankey_edges_basin.csv,ELA_features/sankey_edges_basin.csv,683,1777573891.3780136
feature,state_energy_table.csv,ELA_features/state_energy_table.csv,1397,1777573891.2590811
feature,state_occupancy_long.csv,ELA_features/state_occupancy_long.csv,67412,1777573891.3388538
feature,state_space_edges_hamming1.csv,ELA_features/state_space_edges_hamming1.csv,4653,1777573891.3919892
feature,state_space_nodes.csv,ELA_features/state_space_nodes.csv,1397,1777573891.3850183
feature,subject_features_whole_run.csv,ELA_features/subject_features_whole_run.csv,72224,1777573891.273105
feature,summary_all_features.csv,ELA_features/summary_all_features.csv,227486,1777573891.3001044
feature,summary_long_by_group_task.csv,ELA_features/summary_long_by_group_task.csv,91635,1777573892.1853192
feature,total_transition_long.csv,ELA_features/total_transition_long.csv,23555,1777573891.239082
feature,J_parameters_long.csv,ELA_features_trialblock/J_parameters_long.csv,276,1778393385.722805
feature,basin_graph.csv,ELA_features_trialblock/basin_graph.csv,301,1778393385.9539173
feature,basin_metadata.csv,ELA_features_trialblock/basin_metadata.csv,90,1778393385.6888163
feature,basin_metadata_with_members.csv,ELA_features_trialblock/basin_metadata_with_members.csv,235,1778393385.6998434
feature,basin_occupancy_long.csv,ELA_features_trialblock/basin_occupancy_long.csv,9408,1778393385.8743868
feature,basin_role_map.csv,ELA_features_trialblock/basin_role_map.csv,300,1778393385.708829
feature,branch_lengths.csv,ELA_features_trialblock/branch_lengths.csv,786,1778393385.7548068
feature,direct_transition_long.csv,ELA_features_trialblock/direct_transition_long.csv,23449,1778393385.7788038
feature,disconnectivity_numeric.csv,ELA_features_trialblock/disconnectivity_numeric.csv,1691,1778393385.747805
feature,dwell_events_long.csv,ELA_features_trialblock/dwell_events_long.csv,182940,1778393385.8663871
feature,dynamics_frequency_long.csv,ELA_features_trialblock/dynamics_frequency_long.csv,6901,1778393385.7688036
feature,empirical_mfpt_long.csv,ELA_features_trialblock/empirical_mfpt_long.csv,31548,1778393385.9209156
feature,epoch_basin_occupancy_long.csv,ELA_features_trialblock/epoch_basin_occupancy_long.csv,46684,1778393386.2109551
feature,epoch_state_occupancy_long.csv,ELA_features_trialblock/epoch_state_occupancy_long.csv,204840,1778393386.2453525
feature,epoch_subject_features_long.csv,ELA_features_trialblock/epoch_subject_features_long.csv,92461,1778393386.1979797
feature,epoch_transition_long.csv,ELA_features_trialblock/epoch_transition_long.csv,217757,1778393386.270352
feature,event_basin_occupancy_long.csv,ELA_features_trialblock/event_basin_occupancy_long.csv,145741,1778393386.053914
feature,event_state_occupancy_long.csv,ELA_features_trialblock/event_state_occupancy_long.csv,631514,1778393386.1149385
feature,event_subject_features.csv,ELA_features_trialblock/event_subject_features.csv,176335,1778393385.9799147
feature,event_subject_features_long.csv,ELA_features_trialblock/event_subject_features_long.csv,283006,1778393386.035916
feature,event_transition_long.csv,ELA_features_trialblock/event_transition_long.csv,684246,1778393386.1699548
feature,group_comparison_stats.csv,ELA_features_trialblock/group_comparison_stats.csv,85134,1778393387.707346
feature,group_comparison_stats_by_task.csv,ELA_features_trialblock/group_comparison_stats_by_task.csv,89207,1778393388.475342
feature,h_parameters.csv,ELA_features_trialblock/h_parameters.csv,62,1778393385.715804
feature,indirect_transition_long.csv,ELA_features_trialblock/indirect_transition_long.csv,27055,1778393385.7958317
feature,landscape_features.csv,ELA_features_trialblock/landscape_features.csv,415,1778393385.7608042
feature,local_minima_features.csv,ELA_features_trialblock/local_minima_features.csv,213,1778393385.7398047
feature,minima_transition_long.csv,ELA_features_trialblock/minima_transition_long.csv,41127,1778393385.9109159
feature,model_summary.json,ELA_features_trialblock/model_summary.json,7800,1778393386.2813523
feature,node_strength.csv,ELA_features_trialblock/node_strength.csv,404,1778393385.7318301
feature,observed_transition_long.csv,ELA_features_trialblock/observed_transition_long.csv,54783,1778393385.899915
feature,pre_during_post_sankey_edges.csv,ELA_features_trialblock/pre_during_post_sankey_edges.csv,13823,1778393386.1779552
feature,sankey_edges_basin.csv,ELA_features_trialblock/sankey_edges_basin.csv,683,1778393385.9299166
feature,state_energy_table.csv,ELA_features_trialblock/state_energy_table.csv,1397,1778393385.803805
feature,state_occupancy_long.csv,ELA_features_trialblock/state_occupancy_long.csv,67412,1778393385.8873875
feature,state_space_edges_hamming1.csv,ELA_features_trialblock/state_space_edges_hamming1.csv,4653,1778393385.946914
feature,state_space_nodes.csv,ELA_features_trialblock/state_space_nodes.csv,1397,1778393385.939916
feature,subject_features_whole_run.csv,ELA_features_trialblock/subject_features_whole_run.csv,79928,1778393385.817844
feature,summary_all_features.csv,ELA_features_trialblock/summary_all_features.csv,255188,1778393385.848386
feature,summary_long_by_group_task.csv,ELA_features_trialblock/summary_long_by_group_task.csv,114366,1778393386.9203517
feature,task_comparison_stats_screening.csv,ELA_features_trialblock/task_comparison_stats_screening.csv,1,1778393388.483342
feature,total_transition_long.csv,ELA_features_trialblock/total_transition_long.csv,23555,1778393385.7878053
