cohort,basin,basin_label_readable,occupancy,n_states_occupied,count_CSplus,count_CSminus,count_ITI,prop_CSplus,prop_CSminus,prop_ITI,cs_delta
HC,1,Global off,1954,12,406,434,1114,0.20777891504605936,0.22210849539406347,0.5701125895598772,-0.014329580348004106
HC,2,Threat-like,789,4,235,139,415,0.29784537389100124,0.1761723700887199,0.5259822560202788,0.12167300380228135
HC,3,Safety-like,757,4,86,162,509,0.11360634081902246,0.21400264200792601,0.6723910171730515,-0.10039630118890355
HC,4,Global on,1917,12,353,400,1164,0.1841418883672405,0.20865936358894105,0.6071987480438185,-0.024517475221700558
PTSD,1,Global off,1915,12,365,462,1088,0.1906005221932115,0.2412532637075718,0.5681462140992167,-0.050652741514360305
PTSD,2,Threat-like,690,4,204,141,345,0.2956521739130435,0.20434782608695654,0.5,0.09130434782608696
PTSD,3,Safety-like,689,4,74,141,474,0.10740203193033382,0.204644412191582,0.6879535558780842,-0.09724238026124818
PTSD,4,Global on,1873,12,365,371,1137,0.19487453283502404,0.198077949813134,0.6070475173518419,-0.0032034169781099686
merged,1,Global off,3869,12,771,896,2202,0.19927629878521583,0.23158438873093823,0.569139312483846,-0.0323080899457224
merged,2,Threat-like,1479,4,439,280,760,0.29682217714672077,0.18931710615280595,0.5138607167004733,0.10750507099391482
merged,3,Safety-like,1446,4,160,303,983,0.11065006915629322,0.2095435684647303,0.6798063623789765,-0.09889349930843708
merged,4,Global on,3790,12,718,771,2301,0.18944591029023747,0.20343007915567282,0.6071240105540897,-0.013984168865435354
