state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
9,1,Global off,False,-0.20161290322580644,0.062068965517241365,-0.2636818687430478,0.023998451712792725,0.026767583533321027,-0.0027691318205283026,124,145,-21,CS-,CS+,10,10,---+-,-0.11913236929922133,0.14454949944382647,-0.025417130144605116,0.06606035072950991,0.2636818687430478
24,4,Global on,False,-0.0078125,-0.16763005780346818,0.15981755780346818,0.0247725953164312,0.0319364962156175,-0.007163900899186299,128,173,-45,ITI,CS-,11101,11101,+++-+,0.07360910404624277,-0.08620845375722541,0.012599349710982644,0.0029438315312700636,0.15981755780346818
12,4,Global on,False,-0.08247422680412372,0.04210526315789476,-0.12457948996201848,0.018772982388233016,0.017537382314934465,0.0012356000732985511,97,95,2,CS-,CS+,11010,11010,++-+-,-0.077807921866522,0.046771568095496485,0.031036353771025538,-0.011753878259473466,0.12457948996201848
30,4,Global on,False,0.12096774193548386,0.0,0.12096774193548386,0.023998451712792725,0.02270629499723094,0.001292156715561786,124,123,1,ITI,ITI,10111,10111,+-+++,0.055074744295830036,-0.06589299763965382,0.010818253343823692,0.012797057000419554,0.12096774193548386
16,4,Global on,False,0.024193548387096753,0.1350210970464135,-0.11082754865931674,0.04799690342558545,0.0437511537751523,0.004245749650433152,248,237,11,CS+,CS+,11110,11110,++++-,-0.06148768204709407,0.04933986661222267,0.012147815434871312,-0.057199523846840045,0.11082754865931674
8,4,Global on,False,-0.06382978723404256,-0.1630434782608696,0.09921369102682703,0.01819237468550416,0.01698357024183127,0.001208804443672891,94,92,2,CS-,CS-,11100,11100,+++--,0.02890841813135986,-0.07030527289546717,0.04139685476410726,-0.07657223475231714,0.09921369102682703
29,2,Threat-like,False,0.009433962264150941,0.10849056603773585,-0.09905660377358491,0.04102961099283917,0.03913605316595902,0.0018935578268801517,212,212,0,ITI,CS+,111,111,--+++,-0.07547169811320753,0.02358490566037738,0.05188679245283012,-0.05012829454229581,0.09905660377358491
26,4,Global on,False,0.0625,-0.0357142857142857,0.0982142857142857,0.0092897232436617,0.010337825364592948,-0.001048102120931248,48,56,-8,ITI,ITI,10011,10011,+--++,0.026785714285714274,-0.07142857142857142,0.044642857142857095,0.04662166079945296,0.0982142857142857
21,1,Global off,False,-0.09090909090909091,0.0,-0.09090909090909091,0.019160054190052254,0.019198818534244048,-3.876434419179328e-05,99,104,-5,ITI,ITI,101,101,--+-+,-0.061480186480186466,0.029428904428904445,0.03205128205128205,0.03403008570787791,0.09090909090909091
18,3,Safety-like,False,-0.0641025641025641,-0.1509433962264151,0.08684083212385099,0.015095800270950262,0.01956802658297951,-0.004472226312029249,78,106,-28,ITI,ITI,10001,10001,+---+,0.011611030478955009,-0.07522980164489598,0.06361877116594106,0.06559757482253692,0.08684083212385099
3,1,Global off,False,-0.17272727272727273,-0.09375,-0.07897727272727273,0.02128894910005806,0.023629315119069596,-0.0023403660190115354,110,128,-18,CS-,CS-,1000,1000,-+---,-0.04588068181818182,0.033096590909090895,0.01278409090909094,0.026829629052240928,0.07897727272727273
2,1,Global off,False,0.01171875,-0.06477732793522267,0.07649607793522267,0.0495451906328624,0.04559719401882961,0.003947996614032785,256,247,9,CS+,CS-,10000,10000,+----,0.056379681174089064,-0.02011639676113361,-0.036263284412955454,0.00604373277934564,0.07649607793522267
7,1,Global off,False,0.05660377358490565,-0.016393442622950838,0.07299721620785649,0.010257402748209793,0.011260845486431604,-0.0010034427382218103,53,61,-8,CS+,CS-,1100,1100,-++--,0.08877203835446953,0.01577482214661305,-0.10454686050108253,0.08681997527199795,0.07299721620785649
4,3,Safety-like,False,-0.1126126126126126,-0.040201005025125636,-0.07241160758748696,0.04296497000193536,0.03673620084917851,0.006228769152756851,222,199,23,CS-,CS-,11000,11000,++---,-0.032255873964416676,0.04015573362307029,-0.007899859658653696,0.03388877176622032,0.07241160758748696
6,1,Global off,False,-0.06666666666666668,0.0,-0.06666666666666668,0.014515192568221405,0.011814657559534798,0.0027005350086866074,75,64,11,CS-,CS+,10100,10100,+-+--,-0.007708333333333345,0.058958333333333335,-0.05125000000000002,0.04253815013625814,0.06666666666666668
1,1,Global off,True,-0.035514018691588795,0.009276437847866414,-0.04479045653945521,0.10354170698664603,0.09950156913420713,0.0040401378524388964,535,539,-4,CS-,CS+,0,0,-----,-0.02637282610580341,0.0184176304336518,0.007955195672151638,-0.0072789906112898095,0.04479045653945521
31,4,Global on,False,0.06967213114754098,0.028455284552845517,0.04121684659469546,0.04722275982194697,0.04541258999446188,0.0018101698274850947,244,246,-2,CS+,CS+,1111,1111,-++++,0.005897640943622551,-0.03531920565107291,0.029421564707450276,0.010185799143876573,0.04121684659469546
20,3,Safety-like,True,-0.07172995780590719,-0.11217948717948718,0.04044952937358,0.04586800851557964,0.05759645560273214,-0.011728447087152497,237,312,-75,ITI,ITI,11001,11001,++--+,0.005274261603375532,-0.035175267770204466,0.029901006166829003,0.031879809823424865,0.04044952937358
15,2,Threat-like,False,0.0747663551401869,0.11206896551724138,-0.037302610377054485,0.020708341397329206,0.021414066826656822,-0.0007057254293276159,107,116,-9,CS+,CS+,1110,1110,-+++-,0.007412181759587466,0.04471479213664195,-0.052126973896229445,0.011700339959841488,0.037302610377054485
