source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
22,32,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,7.0,37.0,0.1891891891891892,7.0,0.2916666666666667,CS-,ITI,4.0,4.0,Global on,Global on,-7.0,-0.1891891891891892,-7.0,-0.2916666666666667,0.1891891891891892
27,20,4.0,3.0,Global on,Safety-like,1.0,58.0,0.017241379310344827,1.0,0.041666666666666664,ITI,ITI,4.0,3.0,Global on,Safety-like,12.0,80.0,0.15,8.0,0.3333333333333333,ITI,ITI,4.0,3.0,Global on,Safety-like,-11.0,-0.13275862068965516,-7.0,-0.29166666666666663,0.13275862068965516
26,1,4.0,1.0,Global on,Global off,7.0,47.0,0.14893617021276595,6.0,0.25,ITI,CS+,4.0,1.0,Global on,Global off,1.0,55.0,0.01818181818181818,1.0,0.041666666666666664,CS-,ITI,4.0,1.0,Global on,Global off,6.0,0.13075435203094776,5.0,0.20833333333333334,0.13075435203094776
11,2,1.0,1.0,Global off,Global off,5.0,41.0,0.12195121951219512,5.0,0.20833333333333334,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,5.0,0.12195121951219512,5.0,0.20833333333333334,0.12195121951219512
6,13,1.0,2.0,Global off,Threat-like,3.0,73.0,0.0410958904109589,3.0,0.125,CS+,ITI,1.0,2.0,Global off,Threat-like,9.0,61.0,0.14754098360655737,5.0,0.20833333333333334,ITI,ITI,1.0,2.0,Global off,Threat-like,-6.0,-0.10644509319559847,-2.0,-0.08333333333333334,0.10644509319559847
6,14,1.0,2.0,Global off,Threat-like,2.0,73.0,0.0273972602739726,1.0,0.041666666666666664,CS-,CS-,1.0,2.0,Global off,Threat-like,8.0,61.0,0.13114754098360656,7.0,0.2916666666666667,CS+,ITI,1.0,2.0,Global off,Threat-like,-6.0,-0.10375028070963396,-6.0,-0.25,0.10375028070963396
11,17,1.0,1.0,Global off,Global off,6.0,41.0,0.14634146341463414,6.0,0.25,ITI,ITI,1.0,1.0,Global off,Global off,2.0,45.0,0.044444444444444446,2.0,0.08333333333333333,CS-,ITI,1.0,1.0,Global off,Global off,4.0,0.10189701897018968,4.0,0.16666666666666669,0.10189701897018968
11,1,1.0,1.0,Global off,Global off,5.0,41.0,0.12195121951219512,4.0,0.16666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,10.0,45.0,0.2222222222222222,9.0,0.375,CS-,CS-,1.0,1.0,Global off,Global off,-5.0,-0.10027100271002709,-5.0,-0.20833333333333334,0.10027100271002709
18,1,3.0,1.0,Safety-like,Global off,11.0,75.0,0.14666666666666667,7.0,0.2916666666666667,ITI,CS+,3.0,1.0,Safety-like,Global off,5.0,98.0,0.05102040816326531,3.0,0.125,ITI,CS+,3.0,1.0,Safety-like,Global off,6.0,0.09564625850340136,4.0,0.16666666666666669,0.09564625850340136
8,2,4.0,1.0,Global on,Global off,11.0,93.0,0.11827956989247312,8.0,0.3333333333333333,ITI,ITI,4.0,1.0,Global on,Global off,3.0,90.0,0.03333333333333333,3.0,0.125,ITI,ITI,4.0,1.0,Global on,Global off,8.0,0.0849462365591398,5.0,0.20833333333333331,0.0849462365591398
