cohort,state,basin,basin_label_readable,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,energy,binary,binary_01,sigma_pattern
HC,1,1,Global off,539,0.09950156913420713,0.009276437847866414,0.22263450834879406,0.21335807050092764,0.5640074211502782,CS+,0.023262162031644357,-1.3661,0,0,-----
HC,13,2,Threat-like,284,0.052427542920435666,0.16549295774647887,0.3274647887323944,0.1619718309859155,0.5105633802816901,CS+,0.12809244241524467,-0.6583000000000001,110,110,--++-
HC,20,3,Safety-like,312,0.05759645560273214,-0.11217948717948718,0.08333333333333333,0.1955128205128205,0.7211538461538461,ITI,0.13005176012837083,-0.6553000000000002,11001,11001,++--+
HC,32,4,Global on,499,0.09211740815949787,-0.03206412825651303,0.17034068136272545,0.20240480961923848,0.627254509018036,ITI,0.03615242299256072,-1.3539,11111,11111,+++++
PTSD,1,1,Global off,535,0.10354170698664603,-0.035514018691588795,0.19626168224299065,0.23177570093457944,0.5719626168224299,CS-,0.015983171420354547,-1.3661,0,0,-----
PTSD,13,2,Threat-like,240,0.046448616218308494,0.175,0.3625,0.1875,0.45,CS+,0.1674158118831043,-0.6583000000000001,110,110,--++-
PTSD,20,3,Safety-like,237,0.04586800851557964,-0.07172995780590719,0.08860759493670886,0.16033755274261605,0.7510548523206751,ITI,0.1619315699517957,-0.6553000000000002,11001,11001,++--+
PTSD,32,4,Global on,538,0.10412231468937488,0.0,0.20631970260223048,0.20631970260223048,0.587360594795539,CS+,0.011235514485334802,-1.3539,11111,11111,+++++
merged,1,1,Global off,1074,0.10147392290249434,-0.013035381750465536,0.20949720670391062,0.22253258845437615,0.5679702048417132,CS+,0.012218295139284768,-1.3661,0,0,-----
merged,13,2,Threat-like,524,0.04950869236583522,0.16984732824427481,0.3435114503816794,0.1736641221374046,0.48282442748091603,CS+,0.14623253881705356,-0.6583000000000001,110,110,--++-
merged,20,3,Safety-like,549,0.05187074829931973,-0.0947176684881603,0.08561020036429873,0.18032786885245902,0.7340619307832422,ITI,0.14392587636147347,-0.6553000000000002,11001,11001,++--+
merged,32,4,Global on,1037,0.09797808012093727,-0.0154291224686596,0.18900675024108005,0.20443587270973965,0.6065573770491803,ITI,0.016421322627411583,-1.3539,11111,11111,+++++
