cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
merged,1,1074,0.10147392290249434,225,239,610,0,0.20949720670391062,0.22253258845437615,0.5679702048417132,-0.013035381750465536,ITI,CS+,0.012218295139284768,0.012218295139284768,0.009947554440770723,-0.02216584958005552,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,True,0,-1.3661,0,0,-----
merged,32,1037,0.09797808012093727,196,212,629,0,0.18900675024108005,0.20443587270973965,0.6065573770491803,-0.0154291224686596,ITI,ITI,0.016421322627411583,-0.008272161323545801,-0.008149161303865782,0.016421322627411583,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,True,0,-1.3539,11111,11111,+++++
merged,20,549,0.05187074829931973,47,99,403,0,0.08561020036429873,0.18032786885245902,0.7340619307832422,-0.0947176684881603,ITI,ITI,0.14392587636147347,-0.11166871120032712,-0.032257165161146406,0.14392587636147347,0.19727891156462585,0.21258503401360543,0.5901360544217688,3,Safety-like,20,True,0,-0.6553000000000002,11001,11001,++--+
merged,13,524,0.04950869236583522,180,91,253,0,0.3435114503816794,0.1736641221374046,0.48282442748091603,0.16984732824427481,ITI,CS+,0.14623253881705356,0.14623253881705356,-0.03892091187620084,-0.10731162694085272,0.19727891156462585,0.21258503401360543,0.5901360544217688,2,Threat-like,13,True,0,-0.6583000000000001,110,110,--++-
merged,2,503,0.04752456538170824,102,115,286,0,0.20278330019880716,0.2286282306163022,0.5685884691848907,-0.025844930417495027,ITI,CS-,0.016043196602696763,0.0055043886341813175,0.016043196602696763,-0.021547585236878053,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,1,-0.6104999999999999,10000,10000,+----
merged,17,499,0.047146636432350716,58,107,334,0,0.11623246492985972,0.21442885771543085,0.6693386773547094,-0.09819639278557113,ITI,ITI,0.07920262293294067,-0.08104644663476612,0.0018438237018254255,0.07920262293294067,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,1,-0.5941000000000001,1,1,----+
merged,31,490,0.046296296296296294,109,85,296,0,0.22244897959183674,0.17346938775510204,0.6040816326530613,0.0489795918367347,ITI,CS+,0.02517006802721089,0.02517006802721089,-0.03911564625850339,0.0139455782312925,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,1,-0.6043,1111,1111,-++++
merged,16,485,0.045823885109599394,128,90,267,0,0.2639175257731959,0.18556701030927836,0.5505154639175258,0.07835051546391752,ITI,CS+,0.06663861420857004,0.06663861420857004,-0.02701802370432707,-0.039620590504242936,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,1,-0.5875000000000001,11110,11110,++++-
merged,29,424,0.0400604686318972,100,75,249,0,0.2358490566037736,0.17688679245283018,0.5872641509433962,0.05896226415094341,ITI,CS+,0.03857014503914774,0.03857014503914774,-0.03569824156077525,-0.0028719034783725172,0.19727891156462585,0.21258503401360543,0.5901360544217688,2,Threat-like,13,False,1,-0.4658999999999999,111,111,--+++
merged,4,421,0.039777021919879064,69,102,250,0,0.16389548693586697,0.24228028503562946,0.5938242280285035,-0.07838479809976248,ITI,CS-,0.029695251022024027,-0.03338342462875887,0.029695251022024027,0.0036881736067347903,0.19727891156462585,0.21258503401360543,0.5901360544217688,3,Safety-like,20,False,1,-0.4684999999999999,11000,11000,++---
merged,28,325,0.030706727135298564,43,63,219,0,0.13230769230769232,0.19384615384615383,0.6738461538461539,-0.061538461538461514,ITI,ITI,0.08371009942438512,-0.06497121925693353,-0.018738880167451594,0.08371009942438512,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,1,-0.1891,11011,11011,++-++
merged,5,322,0.03042328042328042,82,76,164,0,0.2546583850931677,0.2360248447204969,0.5093167701863354,0.018633540372670787,ITI,CS+,0.057379473528541836,0.057379473528541836,0.023439810706891467,-0.08081928423543339,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,1,-0.1965,100,100,--+--
merged,14,308,0.0291005291005291,89,65,154,0,0.288961038961039,0.21103896103896103,0.5,0.07792207792207795,ITI,CS+,0.09168212739641313,0.09168212739641313,-0.0015460729746444024,-0.09013605442176875,0.19727891156462585,0.21258503401360543,0.5901360544217688,2,Threat-like,13,False,1,-0.1435000000000001,10110,10110,+-++-
merged,24,301,0.028439153439153438,39,69,193,0,0.12956810631229235,0.2292358803986711,0.6411960132890365,-0.09966777408637875,ITI,ITI,0.051059958867267774,-0.0677108052523335,0.01665084638506567,0.051059958867267774,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,1,-0.0965,11101,11101,+++-+
merged,19,292,0.02758881330309902,24,61,207,0,0.0821917808219178,0.2089041095890411,0.708904109589041,-0.1267123287671233,ITI,ITI,0.11876805516727229,-0.11508713074270804,-0.0036809244245643302,0.11876805516727229,0.19727891156462585,0.21258503401360543,0.5901360544217688,3,Safety-like,20,False,1,-0.1465000000000001,1001,1001,-+--+
merged,9,269,0.025415721844293273,65,81,123,0,0.241635687732342,0.30111524163568776,0.45724907063197023,-0.05947955390334575,ITI,CS-,0.08853020762208233,0.04435677616771616,0.08853020762208233,-0.13288698378979852,0.19727891156462585,0.21258503401360543,0.5901360544217688,1,Global off,1,False,1,-0.1043,10,10,---+-
merged,30,247,0.023337112622826908,49,34,164,0,0.19838056680161945,0.13765182186234817,0.6639676113360324,0.06072874493927127,ITI,ITI,0.07383155691426369,0.0011016552369935984,-0.07493321215125726,0.07383155691426369,0.19727891156462585,0.21258503401360543,0.5901360544217688,4,Global on,32,False,1,0.1356999999999999,10111,10111,+-+++
