cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,13,2,Threat-like,True,284,0.052427542920435666,0.16549295774647887,0.3274647887323944,0.1619718309859155,0.5105633802816901,CS+,0.12809244241524467,0.12809244241524467,-0.04755373667145943,-0.08053870574378519,110,110,--++-
HC,16,4,Global on,False,237,0.0437511537751523,0.1350210970464135,0.29535864978902954,0.16033755274261605,0.5443037974683544,CS+,0.09598630347187984,0.09598630347187984,-0.04918801491475888,-0.04679828855712087,11110,11110,++++-
HC,10,1,Global off,False,120,0.022152482924127748,0.125,0.3,0.175,0.525,CS+,0.10062765368285029,0.10062765368285029,-0.03452556765737494,-0.06610208602547529,10010,10010,+--+-
HC,15,2,Threat-like,False,116,0.021414066826656822,0.11206896551724138,0.3103448275862069,0.19827586206896552,0.49137931034482757,CS+,0.1109724812690572,0.1109724812690572,-0.011249705588409403,-0.09972277568064775,1110,1110,-+++-
HC,29,2,Threat-like,False,212,0.03913605316595902,0.10849056603773585,0.27358490566037735,0.1650943396226415,0.5613207547169812,CS+,0.07421255934322765,0.07421255934322765,-0.04443122803473343,-0.02978133130849414,111,111,--+++
HC,14,2,Threat-like,False,177,0.032674912313088424,0.07344632768361581,0.2711864406779661,0.1977401129943503,0.5310734463276836,CS+,0.0718140943608164,0.0718140943608164,-0.011785454663024636,-0.06002863969779171,10110,10110,+-++-
HC,9,1,Global off,False,145,0.026767583533321027,0.062068965517241365,0.296551724137931,0.23448275862068965,0.4689655172413793,CS+,0.09717937782078132,0.09717937782078132,0.024957190963314724,-0.12213656878409601,10,10,---+-
HC,12,4,Global on,False,95,0.017537382314934465,0.04210526315789476,0.2736842105263158,0.23157894736842105,0.49473684210526314,CS+,0.0743118642091661,0.0743118642091661,0.022053379711046123,-0.09636524392021217,11010,11010,++-+-
HC,5,1,Global off,False,165,0.03045966402067565,0.030303030303030304,0.26666666666666666,0.23636363636363636,0.49696969696969695,CS+,0.06729432034951696,0.06729432034951696,0.02683806870626143,-0.09413238905577836,100,100,--+--
HC,31,4,Global on,False,246,0.04541258999446188,0.028455284552845517,0.21951219512195122,0.1910569105691057,0.5894308943089431,CS+,0.02013984880480152,0.02013984880480152,-0.018468657088269225,-0.0016711917165321832,1111,1111,-++++
HC,1,1,Global off,True,539,0.09950156913420713,0.009276437847866414,0.22263450834879406,0.21335807050092764,0.5640074211502782,CS+,0.023262162031644357,0.023262162031644357,0.0038325028435527153,-0.027094664875197072,0,0,-----
HC,30,4,Global on,False,123,0.02270629499723094,0.0,0.17073170731707318,0.17073170731707318,0.6585365853658537,ITI,0.06743449934037837,-0.028640639000076518,-0.038793860340301745,0.06743449934037837,10111,10111,+-+++
HC,21,1,Global off,False,104,0.019198818534244048,0.0,0.18269230769230768,0.18269230769230768,0.6346153846153846,ITI,0.043513298589909266,-0.01668003862484202,-0.026833259965067247,0.043513298589909266,101,101,--+-+
HC,6,1,Global off,False,64,0.011814657559534798,0.0,0.234375,0.234375,0.53125,CS+,0.0350026536828503,0.0350026536828503,0.024849432342625072,-0.059852086025475315,10100,10100,+-+--
HC,27,4,Global on,False,83,0.01532213402252169,-0.01204819277108432,0.1566265060240964,0.1686746987951807,0.6746987951807228,ITI,0.08359670915524753,-0.04274584029305331,-0.04085086886219422,0.08359670915524753,1011,1011,-+-++
HC,7,1,Global off,False,61,0.011260845486431604,-0.016393442622950838,0.21311475409836064,0.22950819672131148,0.5573770491803278,CS-,0.019982629063936552,0.013742407781210941,0.019982629063936552,-0.033725036845147494,1100,1100,-++--
HC,25,1,Global off,False,99,0.01827579841240539,-0.020202020202020193,0.1717171717171717,0.1919191919191919,0.6363636363636364,ITI,0.04526155033816104,-0.02765517459997799,-0.017606375738183022,0.04526155033816104,11,11,---++
HC,32,4,Global on,True,499,0.09211740815949787,-0.03206412825651303,0.17034068136272545,0.20240480961923848,0.627254509018036,ITI,0.03615242299256072,-0.029031664954424247,-0.007120758038136443,0.03615242299256072,11111,11111,+++++
HC,26,4,Global on,False,56,0.010337825364592948,-0.0357142857142857,0.16071428571428573,0.19642857142857142,0.6428571428571429,ITI,0.05175505683166759,-0.038658060602863975,-0.013096996228803504,0.05175505683166759,10011,10011,+--++
HC,4,3,Safety-like,False,199,0.03673620084917851,-0.040201005025125636,0.18090452261306533,0.22110552763819097,0.5979899497487438,CS-,0.01157995998081604,-0.01846782370408437,0.01157995998081604,0.006887863723268439,11000,11000,++---
PTSD,13,2,Threat-like,True,240,0.046448616218308494,0.175,0.3625,0.1875,0.45,CS+,0.1674158118831043,0.1674158118831043,-0.028292529514224896,-0.13912328236887944,110,110,--++-
PTSD,10,1,Global off,False,98,0.018966518289142635,0.15306122448979595,0.3163265306122449,0.16326530612244897,0.5204081632653061,CS+,0.12124234249534924,0.12124234249534924,-0.05252722339177593,-0.06871511910357331,10010,10010,+--+-
PTSD,30,4,Global on,False,124,0.023998451712792725,0.12096774193548386,0.22580645161290322,0.10483870967741936,0.6693548387096774,ITI,0.08023155634079793,0.03072226349600754,-0.11095381983680554,0.08023155634079793,10111,10111,+-+++
PTSD,14,2,Threat-like,False,131,0.025353203019160053,0.08396946564885499,0.31297709923664124,0.22900763358778625,0.4580152671755725,CS+,0.11789291111974556,0.11789291111974556,0.013215104073561357,-0.13110801519330695,10110,10110,+-++-
PTSD,15,2,Threat-like,False,107,0.020708341397329206,0.0747663551401869,0.3177570093457944,0.24299065420560748,0.4392523364485981,CS+,0.12267282122889869,0.12267282122889869,0.02719812469138258,-0.14987094592028133,1110,1110,-+++-
PTSD,31,4,Global on,False,244,0.04722275982194697,0.06967213114754098,0.22540983606557377,0.1557377049180328,0.6188524590163934,CS+,0.03032564794867809,0.03032564794867809,-0.0600548245961921,0.029729176647513955,1111,1111,-++++
PTSD,26,4,Global on,False,48,0.0092897232436617,0.0625,0.1875,0.125,0.6875,ITI,0.09837671763112055,-0.007584188116895679,-0.0907925295142249,0.09837671763112055,10011,10011,+--++
