cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,11,1,Global off,False,46,0.008491785120915635,-0.21739130434782608,0.21739130434782608,0.43478260869565216,0.34782608695652173,CS-,0.22525704103827723,0.01801895803067638,0.22525704103827723,-0.24327599906895359,1010,1010,-+-+-
HC,20,3,Safety-like,True,312,0.05759645560273214,-0.11217948717948718,0.08333333333333333,0.1955128205128205,0.7211538461538461,ITI,0.13005176012837083,-0.11603901298381637,-0.014012747144554416,0.13005176012837083,11001,11001,++--+
HC,13,2,Threat-like,True,284,0.052427542920435666,0.16549295774647887,0.3274647887323944,0.1619718309859155,0.5105633802816901,CS+,0.12809244241524467,0.12809244241524467,-0.04755373667145943,-0.08053870574378519,110,110,--++-
HC,15,2,Threat-like,False,116,0.021414066826656822,0.11206896551724138,0.3103448275862069,0.19827586206896552,0.49137931034482757,CS+,0.1109724812690572,0.1109724812690572,-0.011249705588409403,-0.09972277568064775,1110,1110,-+++-
HC,17,1,Global off,False,236,0.04356654975078457,-0.08898305084745764,0.1059322033898305,0.19491525423728814,0.6991525423728814,ITI,0.10805045634740607,-0.0934401429273192,-0.014610313420086785,0.10805045634740607,1,1,----+
HC,19,3,Safety-like,False,140,0.02584456341148237,-0.12142857142857141,0.09285714285714286,0.21428571428571427,0.6928571428571428,ITI,0.10175505683166752,-0.10651520346000684,0.004760146628339346,0.10175505683166752,1001,1001,-+--+
HC,10,1,Global off,False,120,0.022152482924127748,0.125,0.3,0.175,0.525,CS+,0.10062765368285029,0.10062765368285029,-0.03452556765737494,-0.06610208602547529,10010,10010,+--+-
HC,9,1,Global off,False,145,0.026767583533321027,0.062068965517241365,0.296551724137931,0.23448275862068965,0.4689655172413793,CS+,0.09717937782078132,0.09717937782078132,0.024957190963314724,-0.12213656878409601,10,10,---+-
HC,16,4,Global on,False,237,0.0437511537751523,0.1350210970464135,0.29535864978902954,0.16033755274261605,0.5443037974683544,CS+,0.09598630347187984,0.09598630347187984,-0.04918801491475888,-0.04679828855712087,11110,11110,++++-
HC,8,4,Global on,False,92,0.01698357024183127,-0.1630434782608696,0.14130434782608695,0.30434782608695654,0.5543478260869565,CS-,0.09482225842958161,-0.058067998491062756,0.09482225842958161,-0.036754259938518774,11100,11100,+++--
HC,27,4,Global on,False,83,0.01532213402252169,-0.01204819277108432,0.1566265060240964,0.1686746987951807,0.6746987951807228,ITI,0.08359670915524753,-0.04274584029305331,-0.04085086886219422,0.08359670915524753,1011,1011,-+-++
HC,22,4,Global on,False,38,0.007014952925973786,-0.13157894736842107,0.15789473684210525,0.2894736842105263,0.5526315789473685,CS-,0.0799481165531514,-0.04147760947504445,0.0799481165531514,-0.03847050707810684,10101,10101,+-+-+
HC,12,4,Global on,False,95,0.017537382314934465,0.04210526315789476,0.2736842105263158,0.23157894736842105,0.49473684210526314,CS+,0.0743118642091661,0.0743118642091661,0.022053379711046123,-0.09636524392021217,11010,11010,++-+-
HC,29,2,Threat-like,False,212,0.03913605316595902,0.10849056603773585,0.27358490566037735,0.1650943396226415,0.5613207547169812,CS+,0.07421255934322765,0.07421255934322765,-0.04443122803473343,-0.02978133130849414,111,111,--+++
HC,14,2,Threat-like,False,177,0.032674912313088424,0.07344632768361581,0.2711864406779661,0.1977401129943503,0.5310734463276836,CS+,0.0718140943608164,0.0718140943608164,-0.011785454663024636,-0.06002863969779171,10110,10110,+-++-
HC,30,4,Global on,False,123,0.02270629499723094,0.0,0.17073170731707318,0.17073170731707318,0.6585365853658537,ITI,0.06743449934037837,-0.028640639000076518,-0.038793860340301745,0.06743449934037837,10111,10111,+-+++
HC,5,1,Global off,False,165,0.03045966402067565,0.030303030303030304,0.26666666666666666,0.23636363636363636,0.49696969696969695,CS+,0.06729432034951696,0.06729432034951696,0.02683806870626143,-0.09413238905577836,100,100,--+--
HC,24,4,Global on,False,173,0.0319364962156175,-0.16763005780346818,0.09826589595375723,0.2658959537572254,0.6358381502890174,CS-,0.056370386099850484,-0.10110645036339247,0.056370386099850484,0.04473606426354204,11101,11101,+++-+
HC,28,4,Global on,False,164,0.030275059996307918,-0.06097560975609756,0.14634146341463414,0.2073170731707317,0.6463414634146342,ITI,0.05523937738915885,-0.053030882902515564,-0.002208494486643231,0.05523937738915885,11011,11011,++-++
HC,26,4,Global on,False,56,0.010337825364592948,-0.0357142857142857,0.16071428571428573,0.19642857142857142,0.6428571428571429,ITI,0.05175505683166759,-0.038658060602863975,-0.013096996228803504,0.05175505683166759,10011,10011,+--++
PTSD,13,2,Threat-like,True,240,0.046448616218308494,0.175,0.3625,0.1875,0.45,CS+,0.1674158118831043,0.1674158118831043,-0.028292529514224896,-0.13912328236887944,110,110,--++-
PTSD,9,1,Global off,False,124,0.023998451712792725,-0.20161290322580644,0.1774193548387097,0.3790322580645161,0.4435483870967742,CS-,0.16323972855029123,-0.017664833278185993,0.16323972855029123,-0.14557489527210526,10,10,---+-
PTSD,20,3,Safety-like,True,237,0.04586800851557964,-0.07172995780590719,0.08860759493670886,0.16033755274261605,0.7510548523206751,ITI,0.1619315699517957,-0.10647659318018682,-0.05545497677160885,0.1619315699517957,11001,11001,++--+
PTSD,19,3,Safety-like,False,152,0.029417456938262046,-0.13157894736842105,0.07236842105263158,0.20394736842105263,0.7236842105263158,ITI,0.13456092815743637,-0.1227157670642641,-0.011845161093172268,0.13456092815743637,1001,1001,-+--+
PTSD,11,1,Global off,False,41,0.007934971937294368,-0.21951219512195125,0.12195121951219512,0.34146341463414637,0.5365853658536586,CS-,0.12567088511992147,-0.07313296860470056,0.12567088511992147,-0.052537916515220884,1010,1010,-+-+-
PTSD,15,2,Threat-like,False,107,0.020708341397329206,0.0747663551401869,0.3177570093457944,0.24299065420560748,0.4392523364485981,CS+,0.12267282122889869,0.12267282122889869,0.02719812469138258,-0.14987094592028133,1110,1110,-+++-
PTSD,10,1,Global off,False,98,0.018966518289142635,0.15306122448979595,0.3163265306122449,0.16326530612244897,0.5204081632653061,CS+,0.12124234249534924,0.12124234249534924,-0.05252722339177593,-0.06871511910357331,10010,10010,+--+-
PTSD,14,2,Threat-like,False,131,0.025353203019160053,0.08396946564885499,0.31297709923664124,0.22900763358778625,0.4580152671755725,CS+,0.11789291111974556,0.11789291111974556,0.013215104073561357,-0.13110801519330695,10110,10110,+-++-
PTSD,18,3,Safety-like,False,78,0.015095800270950262,-0.0641025641025641,0.11538461538461539,0.1794871794871795,0.7051282051282052,ITI,0.11600492275932572,-0.07969957273228029,-0.03630535002704541,0.11600492275932572,10001,10001,+---+
PTSD,28,4,Global on,False,161,0.031159280046448617,-0.06211180124223603,0.11801242236024845,0.18012422360248448,0.7018633540372671,ITI,0.11274007166838762,-0.07707176575664723,-0.03566830591174042,0.11274007166838762,11011,11011,++-++
PTSD,7,1,Global off,False,53,0.010257402748209793,0.05660377358490565,0.3018867924528302,0.24528301886792453,0.4528301886792453,CS+,0.1068026043359345,0.1068026043359345,0.029490489353699634,-0.13629309368963416,1100,1100,-++--
PTSD,26,4,Global on,False,48,0.0092897232436617,0.0625,0.1875,0.125,0.6875,ITI,0.09837671763112055,-0.007584188116895679,-0.0907925295142249,0.09837671763112055,10011,10011,+--++
PTSD,25,1,Global off,False,104,0.020127733694600348,-0.04807692307692307,0.1346153846153846,0.18269230769230768,0.6826923076923077,ITI,0.09356902532342826,-0.06046880350151107,-0.033100221821917214,0.09356902532342826,11,11,---++
PTSD,30,4,Global on,False,124,0.023998451712792725,0.12096774193548386,0.22580645161290322,0.10483870967741936,0.6693548387096774,ITI,0.08023155634079793,0.03072226349600754,-0.11095381983680554,0.08023155634079793,10111,10111,+-+++
PTSD,23,4,Global on,False,85,0.016450551577317594,-0.1411764705882353,0.15294117647058825,0.29411764705882354,0.5529411764705883,CS-,0.07832511754459864,-0.04214301164630743,0.07832511754459864,-0.036182105898291184,1101,1101,-++-+
PTSD,21,1,Global off,False,99,0.019160054190052254,-0.09090909090909091,0.12121212121212122,0.21212121212121213,0.6666666666666666,ITI,0.07754338429778718,-0.07387206690477446,-0.0036713173930127685,0.07754338429778718,101,101,--+-+
PTSD,6,1,Global off,False,75,0.014515192568221405,-0.06666666666666668,0.22666666666666666,0.29333333333333333,0.48,CS-,0.07754080381910844,0.031582478549770976,0.07754080381910844,-0.10912328236887947,10100,10100,+-+--
PTSD,3,1,Global off,False,110,0.02128894910005806,-0.17272727272727273,0.11818181818181818,0.2909090909090909,0.5909090909090909,CS-,0.075116561394866,-0.0769023699350775,0.075116561394866,0.0017858085402114865,1000,1000,-+---
PTSD,12,4,Global on,False,97,0.018772982388233016,-0.08247422680412372,0.1958762886597938,0.27835051546391754,0.5257731958762887,CS-,0.06255798594969264,0.0007921005428981331,0.06255798594969264,-0.06335008649259077,11010,11010,++-+-
PTSD,24,4,Global on,False,128,0.0247725953164312,-0.0078125,0.171875,0.1796875,0.6484375,ITI,0.05931421763112055,-0.02320918811689568,-0.036105029514224896,0.05931421763112055,11101,11101,+++-+
merged,11,1,Global off,False,87,0.008219954648526076,-0.21839080459770116,0.1724137931034483,0.39080459770114945,0.4367816091954023,CS-,0.17821956368754402,-0.02486511846117756,0.17821956368754402,-0.15335444522636643,1010,1010,-+-+-
merged,13,2,Threat-like,True,524,0.04950869236583522,0.16984732824427481,0.3435114503816794,0.1736641221374046,0.48282442748091603,CS+,0.14623253881705356,0.14623253881705356,-0.03892091187620084,-0.10731162694085272,110,110,--++-
merged,20,3,Safety-like,True,549,0.05187074829931973,-0.0947176684881603,0.08561020036429873,0.18032786885245902,0.7340619307832422,ITI,0.14392587636147347,-0.11166871120032712,-0.032257165161146406,0.14392587636147347,11001,11001,++--+
merged,19,3,Safety-like,False,292,0.02758881330309902,-0.1267123287671233,0.0821917808219178,0.2089041095890411,0.708904109589041,ITI,0.11876805516727229,-0.11508713074270804,-0.0036809244245643302,0.11876805516727229,1001,1001,-+--+
merged,15,2,Threat-like,False,223,0.021069538926681782,0.09417040358744397,0.31390134529147984,0.21973094170403587,0.4663677130044843,CS+,0.11662243372685399,0.11662243372685399,0.007145907690430442,-0.12376834141728443,1110,1110,-+++-
merged,10,1,Global off,False,218,0.020597127739984882,0.13761467889908255,0.3073394495412844,0.16972477064220184,0.5229357798165137,CS+,0.11006053797665855,0.11006053797665855,-0.042860263371403584,-0.06720027460525502,10010,10010,+--+-
merged,14,2,Threat-like,False,308,0.0291005291005291,0.07792207792207795,0.288961038961039,0.21103896103896103,0.5,CS+,0.09168212739641313,0.09168212739641313,-0.0015460729746444024,-0.09013605442176875,10110,10110,+-++-
merged,9,1,Global off,False,269,0.025415721844293273,-0.05947955390334575,0.241635687732342,0.30111524163568776,0.45724907063197023,CS-,0.08853020762208233,0.04435677616771616,0.08853020762208233,-0.13288698378979852,10,10,---+-
merged,28,4,Global on,False,325,0.030706727135298564,-0.061538461538461514,0.13230769230769232,0.19384615384615383,0.6738461538461539,ITI,0.08371009942438512,-0.06497121925693353,-0.018738880167451594,0.08371009942438512,11011,11011,++-++
merged,17,1,Global off,False,499,0.047146636432350716,-0.09819639278557113,0.11623246492985972,0.21442885771543085,0.6693386773547094,ITI,0.07920262293294067,-0.08104644663476612,0.0018438237018254255,0.07920262293294067,1,1,----+
