cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,11,1,10,1,1,CS-,CS-,45,0.2222222222222222,9,24,0.375,Global off,Global off
HC,22,32,7,4,4,CS-,ITI,37,0.1891891891891892,7,24,0.2916666666666667,Global on,Global on
HC,31,32,41,4,4,ITI,ITI,221,0.18552036199095023,15,24,0.625,Global on,Global on
HC,2,1,39,1,1,ITI,ITI,218,0.17889908256880735,17,24,0.7083333333333334,Global off,Global off
HC,3,1,20,1,1,ITI,ITI,121,0.1652892561983471,13,24,0.5416666666666666,Global off,Global off
HC,23,32,17,4,4,ITI,ITI,104,0.16346153846153846,14,24,0.5833333333333334,Global on,Global on
HC,10,1,17,1,1,ITI,ITI,110,0.15454545454545454,12,24,0.5,Global off,Global off
HC,24,20,24,4,3,ITI,ITI,159,0.1509433962264151,18,24,0.75,Global on,Safety-like
HC,27,20,12,4,3,ITI,ITI,80,0.15,8,24,0.3333333333333333,Global on,Safety-like
PTSD,31,32,48,4,4,ITI,ITI,220,0.21818181818181817,21,24,0.875,Global on,Global on
PTSD,2,1,47,1,1,ITI,ITI,229,0.2052401746724891,20,24,0.8333333333333334,Global off,Global off
PTSD,28,32,29,4,4,ITI,ITI,145,0.2,17,24,0.7083333333333334,Global on,Global on
PTSD,23,32,14,4,4,ITI,CS-,82,0.17073170731707318,10,24,0.4166666666666667,Global on,Global on
PTSD,15,32,17,2,4,ITI,CS+,100,0.17,11,24,0.4583333333333333,Threat-like,Global on
PTSD,3,1,17,1,1,ITI,ITI,102,0.16666666666666666,11,24,0.4583333333333333,Global off,Global off
PTSD,24,32,19,4,4,ITI,ITI,121,0.15702479338842976,12,24,0.5,Global on,Global on
PTSD,9,1,18,1,1,ITI,ITI,115,0.1565217391304348,13,24,0.5416666666666666,Global off,Global off
PTSD,27,32,9,4,4,CS+,ITI,58,0.15517241379310345,7,24,0.2916666666666667,Global on,Global on
merged,31,32,89,4,4,ITI,ITI,441,0.2018140589569161,36,48,0.75,Global on,Global on
merged,2,1,86,1,1,ITI,ITI,447,0.19239373601789708,37,48,0.7708333333333334,Global off,Global off
merged,11,1,15,1,1,CS-,ITI,86,0.1744186046511628,13,48,0.2708333333333333,Global off,Global off
merged,23,32,31,4,4,ITI,ITI,186,0.16666666666666666,24,48,0.5,Global on,Global on
merged,3,1,37,1,1,ITI,ITI,223,0.16591928251121077,24,48,0.5,Global off,Global off
merged,28,32,47,4,4,ITI,ITI,300,0.15666666666666668,31,48,0.6458333333333334,Global on,Global on
