cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
merged,31,32,89,4,4,ITI,ITI,441,0.2018140589569161,36,48,0.75,Global on,Global on
merged,2,1,86,1,1,ITI,ITI,447,0.19239373601789708,37,48,0.7708333333333334,Global off,Global off
merged,11,1,15,1,1,CS-,ITI,86,0.1744186046511628,13,48,0.2708333333333333,Global off,Global off
merged,23,32,31,4,4,ITI,ITI,186,0.16666666666666666,24,48,0.5,Global on,Global on
merged,3,1,37,1,1,ITI,ITI,223,0.16591928251121077,24,48,0.5,Global off,Global off
merged,28,32,47,4,4,ITI,ITI,300,0.15666666666666668,31,48,0.6458333333333334,Global on,Global on
merged,9,1,37,1,1,ITI,ITI,254,0.14566929133858267,25,48,0.5208333333333334,Global off,Global off
merged,5,1,43,1,1,ITI,ITI,296,0.14527027027027026,25,48,0.5208333333333334,Global off,Global off
merged,4,1,54,3,1,ITI,ITI,386,0.13989637305699482,31,48,0.6458333333333334,Safety-like,Global off
merged,24,32,39,4,4,ITI,ITI,280,0.1392857142857143,25,48,0.5208333333333334,Global on,Global on
merged,26,17,14,4,1,ITI,ITI,102,0.13725490196078433,14,48,0.2916666666666667,Global on,Global off
merged,10,1,27,1,1,ITI,ITI,205,0.13170731707317074,21,48,0.4375,Global off,Global off
merged,29,32,50,2,4,ITI,ITI,392,0.12755102040816327,29,48,0.6041666666666666,Threat-like,Global on
merged,15,32,27,2,4,ITI,ITI,212,0.12735849056603774,19,48,0.3958333333333333,Threat-like,Global on
merged,16,32,56,4,4,ITI,ITI,442,0.12669683257918551,31,48,0.6458333333333334,Global on,Global on
merged,30,32,30,4,4,ITI,ITI,238,0.12605042016806722,23,48,0.4791666666666667,Global on,Global on
merged,24,20,35,4,3,ITI,ITI,280,0.125,28,48,0.5833333333333334,Global on,Safety-like
merged,12,1,22,4,1,ITI,CS+,176,0.125,18,48,0.375,Global on,Global off
merged,17,1,53,1,1,ITI,ITI,449,0.11804008908685969,28,48,0.5833333333333334,Global off,Global off
merged,20,32,55,3,4,ITI,ITI,468,0.11752136752136752,28,48,0.5833333333333334,Safety-like,Global on
merged,7,32,13,1,4,ITI,ITI,111,0.11711711711711711,11,48,0.22916666666666666,Global off,Global on
merged,18,17,20,3,1,ITI,ITI,173,0.11560693641618497,14,48,0.2916666666666667,Safety-like,Global off
merged,27,32,15,4,4,ITI,ITI,138,0.10869565217391304,12,48,0.25,Global on,Global on
merged,15,13,23,2,2,CS+,ITI,212,0.10849056603773585,17,48,0.3541666666666667,Threat-like,Threat-like
merged,19,20,29,3,3,ITI,ITI,268,0.10820895522388059,21,48,0.4375,Safety-like,Safety-like
merged,7,1,12,1,1,ITI,ITI,111,0.10810810810810811,11,48,0.22916666666666666,Global off,Global off
merged,5,32,31,1,4,ITI,ITI,296,0.10472972972972973,26,48,0.5416666666666666,Global off,Global on
merged,1,2,84,1,1,ITI,ITI,829,0.10132689987937274,39,48,0.8125,Global off,Global off
merged,14,1,29,2,1,ITI,ITI,290,0.1,20,48,0.4166666666666667,Threat-like,Global off
merged,25,17,19,1,1,ITI,ITI,191,0.09947643979057591,17,48,0.3541666666666667,Global off,Global off
merged,13,1,46,2,1,ITI,ITI,463,0.09935205183585313,28,48,0.5833333333333334,Threat-like,Global off
merged,15,16,21,2,4,CS+,ITI,212,0.09905660377358491,18,48,0.375,Threat-like,Global on
merged,22,1,8,4,1,ITI,ITI,81,0.09876543209876543,8,48,0.16666666666666666,Global on,Global off
merged,18,20,17,3,3,ITI,ITI,173,0.09826589595375723,11,48,0.22916666666666666,Safety-like,Safety-like
merged,26,28,10,4,4,ITI,ITI,102,0.09803921568627451,8,48,0.16666666666666666,Global on,Global on
merged,6,16,13,1,4,ITI,ITI,134,0.09701492537313433,10,48,0.20833333333333334,Global off,Global on
merged,12,32,17,4,4,ITI,ITI,176,0.09659090909090909,14,48,0.2916666666666667,Global on,Global on
merged,9,13,24,1,2,CS+,ITI,254,0.09448818897637795,17,48,0.3541666666666667,Global off,Threat-like
merged,27,20,13,4,3,ITI,ITI,138,0.09420289855072464,9,48,0.1875,Global on,Safety-like
merged,19,1,25,3,1,ITI,ITI,268,0.09328358208955224,17,48,0.3541666666666667,Safety-like,Global off
merged,11,17,8,1,1,ITI,ITI,86,0.09302325581395349,8,48,0.16666666666666666,Global off,Global off
merged,8,1,17,4,1,ITI,ITI,183,0.09289617486338798,12,48,0.25,Global on,Global off
merged,13,32,43,2,4,CS+,ITI,463,0.09287257019438445,30,48,0.625,Threat-like,Global on
merged,18,1,16,3,1,ITI,CS+,173,0.09248554913294797,10,48,0.20833333333333334,Safety-like,Global off
merged,30,1,22,4,1,ITI,ITI,238,0.09243697478991597,18,48,0.375,Global on,Global off
merged,20,28,43,3,4,ITI,ITI,468,0.09188034188034189,27,48,0.5625,Safety-like,Global on
merged,4,2,35,3,1,ITI,ITI,386,0.09067357512953368,21,48,0.4375,Safety-like,Global off
merged,14,13,26,2,2,CS+,ITI,290,0.0896551724137931,20,48,0.4166666666666667,Threat-like,Threat-like
merged,6,1,12,1,1,ITI,ITI,134,0.08955223880597014,11,48,0.22916666666666666,Global off,Global off
merged,6,13,12,1,2,ITI,ITI,134,0.08955223880597014,8,48,0.16666666666666666,Global off,Threat-like
merged,32,31,73,4,4,ITI,ITI,826,0.08837772397094432,31,48,0.6458333333333334,Global on,Global on
merged,26,32,9,4,4,ITI,ITI,102,0.08823529411764706,9,48,0.1875,Global on,Global on
merged,20,17,41,3,1,ITI,ITI,468,0.0876068376068376,26,48,0.5416666666666666,Safety-like,Global off
merged,22,32,7,4,4,CS-,ITI,81,0.08641975308641975,7,48,0.14583333333333334,Global on,Global on
