roi_i,roi_j,roi_i_name,roi_j_name,J
1,1,Amygdala,Amygdala,0.0
2,1,Hippocampus,Amygdala,0.3365
3,1,Insula,Amygdala,-0.0232
4,1,sCC,Amygdala,0.0384
5,1,dACC,Amygdala,0.083
6,1,vmPFC,Amygdala,-0.0408
1,2,Amygdala,Hippocampus,0.3365
2,2,Hippocampus,Hippocampus,0.0
3,2,Insula,Hippocampus,0.1062
4,2,sCC,Hippocampus,0.0462
5,2,dACC,Hippocampus,0.0397
6,2,vmPFC,Hippocampus,0.2383
1,3,Amygdala,Insula,-0.0232
2,3,Hippocampus,Insula,0.1062
3,3,Insula,Insula,0.0
4,3,sCC,Insula,0.0114
5,3,dACC,Insula,0.4309
6,3,vmPFC,Insula,0.0633
1,4,Amygdala,sCC,0.0384
2,4,Hippocampus,sCC,0.0462
3,4,Insula,sCC,0.0114
4,4,sCC,sCC,0.0
5,4,dACC,sCC,0.0057
6,4,vmPFC,sCC,0.5498
1,5,Amygdala,dACC,0.083
2,5,Hippocampus,dACC,0.0397
3,5,Insula,dACC,0.4309
4,5,sCC,dACC,0.0057
5,5,dACC,dACC,0.0
6,5,vmPFC,dACC,0.0731
1,6,Amygdala,vmPFC,-0.0408
2,6,Hippocampus,vmPFC,0.2383
3,6,Insula,vmPFC,0.0633
4,6,sCC,vmPFC,0.5498
5,6,dACC,vmPFC,0.0731
6,6,vmPFC,vmPFC,0.0
