state,steepest_neighbor,local_minimum_state
1,1,1
2,1,1
3,1,1
4,2,1
5,1,1
6,2,1
7,5,1
8,24,24
9,1,1
10,2,1
11,43,44
12,44,44
13,5,1
14,10,1
15,47,64
16,48,64
17,1,1
18,2,1
19,17,1
20,24,24
21,21,21
22,21,21
23,21,21
24,24,24
25,17,1
26,18,1
27,59,64
28,60,64
29,21,21
30,22,21
31,63,64
32,64,64
33,1,1
34,2,1
35,43,44
36,44,44
37,5,1
38,6,1
39,47,64
40,48,64
41,41,41
42,44,44
43,44,44
44,44,44
45,41,41
46,48,64
47,63,64
48,64,64
49,17,1
50,18,1
51,55,64
52,60,64
53,21,21
54,22,21
55,63,64
56,64,64
57,41,41
58,60,64
59,63,64
60,64,64
61,63,64
62,64,64
63,64,64
64,64,64
