category,file_name,relative_path,size_bytes,modified_time_epoch
feature,J_parameters_long.csv,ELA_features_trialblock/J_parameters_long.csv,394,1780482779.0088952
feature,basin_graph.csv,ELA_features_trialblock/basin_graph.csv,573,1780482779.2497606
feature,basin_metadata.csv,ELA_features_trialblock/basin_metadata.csv,110,1780482778.9789283
feature,basin_metadata_with_members.csv,ELA_features_trialblock/basin_metadata_with_members.csv,389,1780482778.9919212
feature,basin_occupancy_long.csv,ELA_features_trialblock/basin_occupancy_long.csv,14141,1780482779.17176
feature,basin_role_map.csv,ELA_features_trialblock/basin_role_map.csv,408,1780482778.9979079
feature,branch_lengths.csv,ELA_features_trialblock/branch_lengths.csv,979,1780482779.0328991
feature,confirmatory_features_6basin_acq_FINAL_curated.csv,ELA_features_trialblock/confirmatory_features_6basin_acq_FINAL_curated.csv,32355,1780486526.7785482
feature,confirmatory_features_6basin_acq_comprehensive.csv,ELA_features_trialblock/confirmatory_features_6basin_acq_comprehensive.csv,132674,1780485283.0657065
feature,direct_transition_long.csv,ELA_features_trialblock/direct_transition_long.csv,57710,1780482779.0568974
feature,disconnectivity_numeric.csv,ELA_features_trialblock/disconnectivity_numeric.csv,3717,1780482779.0268955
feature,dwell_events_long.csv,ELA_features_trialblock/dwell_events_long.csv,195336,1780482779.1647847
feature,dynamics_frequency_long.csv,ELA_features_trialblock/dynamics_frequency_long.csv,10346,1780482779.0468948
feature,empirical_mfpt_long.csv,ELA_features_trialblock/empirical_mfpt_long.csv,74208,1780482779.2267606
feature,epoch_basin_occupancy_long.csv,ELA_features_trialblock/epoch_basin_occupancy_long.csv,70740,1780482779.7305136
feature,epoch_state_occupancy_long.csv,ELA_features_trialblock/epoch_state_occupancy_long.csv,301925,1780482779.7575126
feature,epoch_subject_features_long.csv,ELA_features_trialblock/epoch_subject_features_long.csv,132606,1780482779.7185369
feature,epoch_transition_long.csv,ELA_features_trialblock/epoch_transition_long.csv,478253,1780482779.7965364
feature,event_basin_occupancy_long.csv,ELA_features_trialblock/event_basin_occupancy_long.csv,369464,1780482779.427498
feature,event_state_occupancy_long.csv,ELA_features_trialblock/event_state_occupancy_long.csv,1477940,1780482779.5240135
feature,event_subject_features.csv,ELA_features_trialblock/event_subject_features.csv,336677,1780482779.2827837
feature,event_subject_features_long.csv,ELA_features_trialblock/event_subject_features_long.csv,650504,1780482779.3977866
feature,event_transition_long.csv,ELA_features_trialblock/event_transition_long.csv,2469828,1780482779.684537
feature,group_comparison_stats.csv,ELA_features_trialblock/group_comparison_stats.csv,154560,1780482782.32725
feature,h_parameters.csv,ELA_features_trialblock/h_parameters.csv,72,1780482779.0038948
feature,indirect_transition_long.csv,ELA_features_trialblock/indirect_transition_long.csv,65561,1780482779.0779214
feature,landscape_features.csv,ELA_features_trialblock/landscape_features.csv,417,1780482779.0388942
feature,local_minima_features.csv,ELA_features_trialblock/local_minima_features.csv,279,1780482779.0208962
feature,minima_transition_long.csv,ELA_features_trialblock/minima_transition_long.csv,85287,1780482779.2157593
feature,model_summary.json,ELA_features_trialblock/model_summary.json,6753,1780482779.8045142
feature,node_strength.csv,ELA_features_trialblock/node_strength.csv,500,1780482779.0148962
feature,observed_transition_long.csv,ELA_features_trialblock/observed_transition_long.csv,115756,1780482779.2037592
feature,pre_during_post_sankey_edges.csv,ELA_features_trialblock/pre_during_post_sankey_edges.csv,31398,1780482779.6925132
feature,sankey_edges_basin.csv,ELA_features_trialblock/sankey_edges_basin.csv,1430,1780482779.2317598
feature,state_energy_table.csv,ELA_features_trialblock/state_energy_table.csv,2997,1780482779.0848942
feature,state_occupancy_long.csv,ELA_features_trialblock/state_occupancy_long.csv,113647,1780482779.1867845
feature,state_space_edges_hamming1.csv,ELA_features_trialblock/state_space_edges_hamming1.csv,11362,1780482779.2457614
feature,state_space_nodes.csv,ELA_features_trialblock/state_space_nodes.csv,2997,1780482779.23876
feature,subject_features_whole_run.csv,ELA_features_trialblock/subject_features_whole_run.csv,120549,1780482779.1027603
feature,summary_all_features.csv,ELA_features_trialblock/summary_all_features.csv,456151,1780482779.1487856
feature,summary_long_by_group_task.csv,ELA_features_trialblock/summary_long_by_group_task.csv,206016,1780482780.9389172
feature,total_transition_long.csv,ELA_features_trialblock/total_transition_long.csv,58790,1780482779.0668948
