state,basin,basin_label,local_minimum_state,is_local_minimum,binary_01,hamming_to_min
1,1,B1,1,True,000000,0
2,1,B1,1,False,100000,1
3,1,B1,1,False,010000,1
4,1,B1,1,False,110000,2
5,1,B1,1,False,001000,1
6,1,B1,1,False,101000,2
7,1,B1,1,False,011000,2
9,1,B1,1,False,000100,1
10,1,B1,1,False,100100,2
13,1,B1,1,False,001100,2
14,1,B1,1,False,101100,3
17,1,B1,1,False,000010,1
18,1,B1,1,False,100010,2
19,1,B1,1,False,010010,2
25,1,B1,1,False,000110,2
26,1,B1,1,False,100110,3
33,1,B1,1,False,000001,1
34,1,B1,1,False,100001,2
37,1,B1,1,False,001001,2
38,1,B1,1,False,101001,3
49,1,B1,1,False,000011,2
50,1,B1,1,False,100011,3
21,2,B2,21,True,001010,0
22,2,B2,21,False,101010,1
23,2,B2,21,False,011010,1
29,2,B2,21,False,001110,1
30,2,B2,21,False,101110,2
53,2,B2,21,False,001011,1
54,2,B2,21,False,101011,2
8,3,B3,24,False,111000,1
20,3,B3,24,False,110010,1
24,3,B3,24,True,111010,0
41,4,B4,41,True,000101,0
45,4,B4,41,False,001101,1
57,4,B4,41,False,000111,1
11,5,B5,44,False,010100,2
12,5,B5,44,False,110100,1
35,5,B5,44,False,010001,2
36,5,B5,44,False,110001,1
42,5,B5,44,False,100101,1
43,5,B5,44,False,010101,1
44,5,B5,44,True,110101,0
15,6,B6,64,False,011100,3
16,6,B6,64,False,111100,2
27,6,B6,64,False,010110,3
28,6,B6,64,False,110110,2
31,6,B6,64,False,011110,2
32,6,B6,64,False,111110,1
39,6,B6,64,False,011001,3
40,6,B6,64,False,111001,2
46,6,B6,64,False,101101,2
47,6,B6,64,False,011101,2
48,6,B6,64,False,111101,1
51,6,B6,64,False,010011,3
52,6,B6,64,False,110011,2
55,6,B6,64,False,011011,2
56,6,B6,64,False,111011,1
58,6,B6,64,False,100111,2
59,6,B6,64,False,010111,2
60,6,B6,64,False,110111,1
61,6,B6,64,False,001111,2
62,6,B6,64,False,101111,1
63,6,B6,64,False,011111,1
64,6,B6,64,True,111111,0
