state,binary_01,sigma_pattern,basin,basin_label,local_minimum_state,is_local_minimum,hamming_to_min,neighbors_json,energy,roi1_name,roi1_bit,roi1_sigma,roi2_name,roi2_bit,roi2_sigma,roi3_name,roi3_bit,roi3_sigma,roi4_name,roi4_bit,roi4_sigma,roi5_name,roi5_bit,roi5_sigma,roi6_name,roi6_bit,roi6_sigma
1,000000,------,1,B1,1,True,0,"[2, 3, 5, 9, 17, 33]",-1.9650999999999996,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
2,100000,+-----,1,B1,1,False,1,"[1, 4, 6, 10, 18, 34]",-1.1743,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
5,001000,--+---,1,B1,1,False,1,"[6, 7, 1, 13, 21, 37]",-0.7855000000000001,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
17,000010,----+-,1,B1,1,False,1,"[18, 19, 21, 25, 1, 49]",-0.6980999999999999,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
9,000100,---+--,1,B1,1,False,1,"[10, 11, 13, 1, 25, 41]",-0.6597,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
3,010000,-+----,1,B1,1,False,1,"[4, 1, 7, 11, 19, 35]",-0.4296999999999999,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
33,000001,-----+,1,B1,1,False,1,"[34, 35, 37, 41, 49, 1]",-0.1961,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
4,110000,++----,1,B1,1,False,2,"[3, 2, 8, 12, 20, 36]",-0.9848999999999999,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
18,100010,+---+-,1,B1,1,False,2,"[17, 20, 22, 26, 2, 50]",-0.23929999999999996,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
10,100100,+--+--,1,B1,1,False,2,"[9, 12, 14, 2, 26, 42]",-0.022499999999999985,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
6,101000,+-+---,1,B1,1,False,2,"[5, 8, 2, 14, 22, 38]",0.09809999999999999,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
7,011000,-++---,1,B1,1,False,2,"[8, 5, 3, 15, 23, 39]",0.32510000000000006,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
13,001100,--++--,1,B1,1,False,2,"[14, 15, 9, 5, 29, 45]",0.4742999999999999,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
25,000110,---++-,1,B1,1,False,2,"[26, 27, 29, 17, 9, 57]",0.5845,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,0,-1
19,010010,-+--+-,1,B1,1,False,2,"[20, 17, 23, 27, 3, 51]",0.6785000000000002,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
37,001001,--+--+,1,B1,1,False,2,"[38, 39, 33, 45, 53, 5]",0.7302999999999998,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
34,100001,+----+,1,B1,1,False,2,"[33, 36, 38, 42, 50, 2]",0.7579,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
49,000011,----++,1,B1,1,False,2,"[50, 51, 53, 57, 33, 17]",0.7784999999999999,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,1,1
26,100110,+--++-,1,B1,1,False,3,"[25, 28, 30, 18, 10, 58]",0.8896999999999998,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,0,-1
14,101100,+-++--,1,B1,1,False,3,"[13, 16, 10, 6, 30, 46]",1.2043000000000001,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
50,100011,+---++,1,B1,1,False,3,"[49, 52, 54, 58, 34, 18]",1.4005,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,1,1
38,101001,+-+--+,1,B1,1,False,3,"[37, 40, 34, 46, 54, 6]",1.7770999999999997,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
21,001010,--+-+-,2,B2,21,True,0,"[22, 23, 17, 29, 5, 53]",-1.2421,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
22,101010,+-+-+-,2,B2,21,False,1,"[21, 24, 18, 30, 6, 54]",-0.6905,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
23,011010,-++-+-,2,B2,21,False,1,"[24, 21, 19, 31, 7, 55]",-0.2902999999999999,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
53,001011,--+-++,2,B2,21,False,1,"[54, 55, 49, 61, 37, 21]",-0.018699999999999984,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,1,1
29,001110,--+++-,2,B2,21,False,1,"[30, 31, 25, 21, 13, 61]",-0.005100000000000116,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,0,-1
30,101110,+-+++-,2,B2,21,False,2,"[29, 32, 26, 22, 14, 62]",0.3929,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,0,-1
54,101011,+-+-++,2,B2,21,False,2,"[53, 56, 50, 62, 38, 22]",0.6961,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,1,1
24,111010,+++-+-,3,B3,24,True,0,"[23, 22, 20, 32, 8, 56]",-1.0847,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
20,110010,++--+-,3,B3,24,False,1,"[19, 18, 24, 28, 4, 52]",-0.20869999999999997,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,0,-1
8,111000,+++---,3,B3,24,False,1,"[7, 6, 4, 16, 24, 40]",-0.13729999999999992,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,0,-1
41,000101,---+-+,4,B4,41,True,0,"[42, 43, 45, 33, 57, 9]",-1.0898999999999999,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,1,1
45,001101,--++-+,4,B4,41,False,1,"[46, 47, 41, 37, 61, 13]",-0.20909999999999998,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,1,1
57,000111,---+++,4,B4,41,False,1,"[58, 59, 61, 49, 41, 25]",-0.13809999999999995,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,1,1
44,110101,++-+-+,5,B5,44,True,0,"[43, 42, 48, 36, 60, 12]",-1.2381,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,1,1
43,010101,-+-+-+,5,B5,44,False,1,"[44, 41, 47, 35, 59, 11]",-0.6925,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,1,1
42,100101,+--+-+,5,B5,44,False,1,"[41, 44, 46, 34, 58, 10]",-0.28949999999999987,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,1,1
12,110100,++-+--,5,B5,44,False,1,"[11, 10, 16, 4, 28, 44]",-0.017899999999999982,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
36,110001,++---+,5,B5,44,False,1,"[35, 34, 40, 44, 52, 4]",-0.005900000000000116,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
35,010001,-+---+,5,B5,44,False,2,"[36, 33, 39, 43, 51, 3]",0.3861,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
11,010100,-+-+--,5,B5,44,False,2,"[12, 9, 15, 3, 27, 43]",0.6909,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
64,111111,++++++,6,B6,64,True,0,"[63, 62, 60, 56, 48, 32]",-1.9518999999999997,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,1,1
63,011111,-+++++,6,B6,64,False,1,"[64, 61, 59, 55, 47, 31]",-1.1670999999999998,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,1,1
60,110111,++-+++,6,B6,64,False,1,"[59, 58, 64, 52, 44, 28]",-0.7771000000000001,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,1,1
48,111101,++++-+,6,B6,64,False,1,"[47, 46, 44, 40, 64, 16]",-0.6893,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,1,1
56,111011,+++-++,6,B6,64,False,1,"[55, 54, 52, 64, 40, 24]",-0.6513,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,1,1
62,101111,+-++++,6,B6,64,False,1,"[61, 64, 58, 54, 46, 30]",-0.4196999999999999,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,1,1
32,111110,+++++-,6,B6,64,False,1,"[31, 30, 28, 24, 16, 64]",-0.1861,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,0,-1
61,001111,--++++,6,B6,64,False,2,"[62, 63, 57, 53, 45, 29]",-0.9808999999999999,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,1,1
47,011101,-+++-+,6,B6,64,False,2,"[48, 45, 43, 39, 63, 15]",-0.23649999999999993,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,1,1
55,011011,-++-++,6,B6,64,False,2,"[56, 53, 51, 63, 39, 23]",-0.020099999999999986,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,1,1,vmPFC,1,1
59,010111,-+-+++,6,B6,64,False,2,"[60, 57, 63, 51, 43, 27]",0.1005,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,1,1
58,100111,+--+++,6,B6,64,False,2,"[57, 60, 62, 50, 42, 26]",0.33030000000000004,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,1,1
52,110011,++--++,6,B6,64,False,2,"[51, 50, 56, 60, 36, 20]",0.47789999999999994,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,1,1
40,111001,+++--+,6,B6,64,False,2,"[39, 38, 36, 48, 56, 8]",0.5885,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
46,101101,+-++-+,6,B6,64,False,2,"[45, 48, 42, 38, 62, 14]",0.6841000000000003,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,1,1
28,110110,++-++-,6,B6,64,False,2,"[27, 26, 32, 20, 12, 60]",0.7354999999999999,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,0,-1
31,011110,-++++-,6,B6,64,False,2,"[32, 29, 27, 23, 15, 63]",0.7619,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,1,1,vmPFC,0,-1
16,111100,++++--,6,B6,64,False,2,"[15, 14, 12, 8, 32, 48]",0.7840999999999999,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
39,011001,-++--+,6,B6,64,False,3,"[40, 37, 35, 47, 55, 7]",0.8876999999999998,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,0,-1,dACC,0,-1,vmPFC,1,1
51,010011,-+--++,6,B6,64,False,3,"[52, 49, 55, 59, 35, 19]",1.2019,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,0,-1,dACC,1,1,vmPFC,1,1
15,011100,-+++--,6,B6,64,False,3,"[16, 13, 11, 7, 31, 47]",1.4001000000000001,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,sCC,1,1,dACC,0,-1,vmPFC,0,-1
27,010110,-+-++-,6,B6,64,False,3,"[28, 25, 31, 19, 11, 59]",1.7762999999999998,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,sCC,1,1,dACC,1,1,vmPFC,0,-1
