category,file_name,relative_path,size_bytes,modified_time_epoch
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,108622,1777587842.951938
confirmatory,confirmatory_analysis_summary_baseline77.md,ELA_features/confirmatory_analysis/confirmatory_analysis_summary_baseline77.md,5262,1777587843.4761014
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,17599,1777587843.457749
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis/group_tests_by_task_confirmatory.csv,1,1777587841.6198285
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis/group_tests_confirmatory.csv,19495,1777587841.6128285
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis/merged_confirmatory_dataset.csv,230472,1777587841.395828
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis/selected_confirmatory_features.csv,3624,1777587841.4258294
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis_v3/clinical_spearman_confirmatory.csv,63071,1777592815.099866
confirmatory,confirmatory_analysis_summary_baseline13.md,ELA_features/confirmatory_analysis_v3/confirmatory_analysis_summary_baseline13.md,11526,1777592815.8677886
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis_v3/covariate_models_confirmatory.csv,6125,1777592815.602075
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis_v3/feature_specs_used.csv,3029,1777592810.4557233
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis_v3/group_tests_by_task_confirmatory.csv,1,1777592810.9101257
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis_v3/group_tests_confirmatory.csv,6350,1777592810.882954
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis_v3/merged_confirmatory_dataset.csv,230472,1777592810.4467025
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis_v3/primary_results_for_manuscript.csv,6659,1777592815.6240737
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis_v3/selected_confirmatory_features.csv,2675,1777592810.473817
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/clinical_spearman_confirmatory.csv,97965,1777597246.3950813
confirmatory,confirmatory_analysis_summary_baseline19.md,ELA_features/confirmatory_analysis_v3_notaskfilter/confirmatory_analysis_summary_baseline19.md,12724,1777597246.9929135
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/covariate_models_confirmatory.csv,9519,1777597246.9481065
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/feature_specs_used.csv,4358,1777597239.7612493
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/group_tests_by_task_confirmatory.csv,1,1777597240.258809
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/group_tests_confirmatory.csv,9710,1777597240.2507958
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/merged_confirmatory_dataset.csv,230472,1777597239.7532485
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/primary_results_for_manuscript.csv,8760,1777597246.9710884
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/selected_confirmatory_features.csv,4338,1777597239.7797928
