cohort,basin,basin_label_readable,occupancy,n_states_occupied,count_CSplus,count_CSminus,count_ITI,prop_CSplus,prop_CSminus,prop_ITI,cs_delta
HC,1,Global off,1013,12,176,206,631,0.17374136229022705,0.2033563672260612,0.6229022704837117,-0.02961500493583416
HC,2,Threat-like,399,4,96,100,203,0.24060150375939848,0.2506265664160401,0.5087719298245614,-0.010025062656641603
HC,3,Safety-like,541,6,123,84,334,0.22735674676524953,0.15526802218114602,0.6173752310536045,0.07208872458410351
HC,4,Global on,851,10,189,193,469,0.22209165687426558,0.22679200940070504,0.5511163337250293,-0.004700352526439466
PTSD,1,Global off,979,12,175,203,601,0.1787538304392237,0.20735444330949948,0.6138917262512769,-0.028600612870275793
PTSD,2,Threat-like,349,4,76,73,200,0.2177650429799427,0.20916905444126074,0.5730659025787965,0.008595988538681959
PTSD,3,Safety-like,479,6,89,90,300,0.18580375782881003,0.18789144050104384,0.6263048016701461,-0.0020876826722338038
PTSD,4,Global on,833,10,192,192,449,0.2304921968787515,0.2304921968787515,0.539015606242497,0.0
merged,1,Global off,1992,12,351,409,1232,0.17620481927710843,0.20532128514056225,0.6184738955823293,-0.029116465863453816
merged,2,Threat-like,748,4,172,173,403,0.22994652406417113,0.23128342245989306,0.5387700534759359,-0.0013368983957219305
merged,3,Safety-like,1020,6,212,174,634,0.20784313725490197,0.17058823529411765,0.6215686274509804,0.03725490196078432
merged,4,Global on,1684,10,381,385,918,0.22624703087885986,0.22862232779097388,0.5451306413301663,-0.002375296912114022
