state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
30,4,Global on,False,-0.0784313725490196,0.19607843137254904,-0.27450980392156865,0.019318181818181818,0.01818830242510699,0.0011298793930748265,51,51,0,CS-,CS+,10111,10111,+-+++,-0.019607843137254943,0.2549019607843137,-0.23529411764705888,0.05573378748464755,0.27450980392156865
18,3,Safety-like,False,-0.10526315789473684,0.14492753623188406,-0.25019069412662087,0.014393939393939395,0.024607703281027102,-0.010213763887087708,38,69,-31,ITI,CS+,10001,10001,+---+,-0.17009916094584288,0.08009153318077802,0.09000762776506488,0.030000889790516877,0.25019069412662087
12,3,Safety-like,False,0.2,0.0,0.2,0.013257575757575758,0.023537803138373753,-0.010280227380797995,35,66,-31,CS+,CS-,11010,11010,++-+-,0.08354978354978354,-0.11645021645021647,0.032900432900432874,0.08995189309026683,0.2
19,3,Safety-like,False,-0.0625,0.10344827586206898,-0.16594827586206898,0.024242424242424242,0.031027104136947217,-0.006784679894522975,64,87,-23,ITI,ITI,1001,1001,-+--+,-0.02442528735632185,0.14152298850574713,-0.1170977011494253,-0.12041006876279148,0.16594827586206898
26,4,Global on,False,0.10344827586206898,-0.02941176470588236,0.13286004056795134,0.010984848484848484,0.012125534950071327,-0.001140686465222843,29,34,-5,CS+,ITI,10011,10011,+--++,0.12373225152129819,-0.00912778904665315,-0.11460446247464506,-0.1116211143095368,0.13286004056795134
25,1,Global off,False,0.0,-0.125,0.125,0.020833333333333332,0.014265335235378032,0.0065679980979553,55,40,15,ITI,ITI,11,11,---++,0.07045454545454545,-0.054545454545454564,-0.015909090909090873,-0.019221458522457047,0.125
29,2,Threat-like,False,-0.04950495049504949,0.07547169811320756,-0.12497664860825705,0.038257575757575754,0.037803138373751786,0.00045443738382396764,101,106,-5,ITI,CS+,111,111,--+++,-0.1066691574817859,0.018307491126471148,0.08836166635531484,0.04913699018005588,0.12497664860825705
13,2,Threat-like,True,0.0958904109589041,-0.026845637583892606,0.12273604854279671,0.055303030303030305,0.053138373751783166,0.002164656551247139,146,149,-3,CS+,CS-,110,110,--++-,0.052496092672611905,-0.0702399558701848,0.017743863197572818,0.032052564629202585,0.12273604854279671
27,4,Global on,False,-0.04255319148936171,0.07142857142857142,-0.11398176291793313,0.017803030303030303,0.014978601997146932,0.002824428305883371,47,42,5,ITI,ITI,1011,1011,-+-++,-0.02026342451874366,0.09371833839918947,-0.07345491388044578,-0.07676728149381196,0.11398176291793313
2,1,Global off,False,0.0078125,-0.09285714285714286,0.10066964285714286,0.048484848484848485,0.04992867332382311,-0.0014438248389746222,128,140,-12,CS+,CS-,10000,10000,+----,0.05379464285714286,-0.046875,-0.00691964285714286,-0.032660390459516714,0.10066964285714286
7,1,Global off,False,-0.12,-0.02941176470588236,-0.09058823529411764,0.00946969696969697,0.012125534950071327,-0.0026558379803743575,25,34,-9,CS-,CS-,1100,1100,-++--,-0.08352941176470591,0.0070588235294117285,0.07647058823529412,0.0036124482214101583,0.09058823529411764
11,1,Global off,False,0.14285714285714285,0.05263157894736842,0.09022556390977443,0.007954545454545454,0.006776034236804565,0.0011785112177408888,21,19,2,CS+,CS+,1010,1010,-+-+-,0.012531328320802004,-0.07769423558897243,0.06516290726817042,0.01929007124216975,0.09022556390977443
31,4,Global on,False,0.03448275862068967,-0.05511811023622046,0.08960086885691013,0.04393939393939394,0.04529243937232525,-0.001353045432931313,116,127,-11,CS+,CS-,1111,1111,-++++,-0.004208525658430634,-0.09380939451534076,0.09801792017377131,-0.052924526354167806,0.08960086885691013
4,3,Safety-like,False,0.04065040650406504,0.11926605504587157,-0.07861564854180653,0.04659090909090909,0.03887303851640513,0.00771787057450396,123,109,14,CS+,CS+,11000,11000,++---,-0.05780562392779892,0.020810024614007605,0.03699559931379126,-0.05104688100643118,0.07861564854180653
20,3,Safety-like,True,-0.02312138728323701,0.05405405405405406,-0.07717544133729107,0.06553030303030304,0.052781740370898715,0.01274856265940432,173,148,25,ITI,ITI,11001,11001,++--+,-0.02343383846274022,0.05374160287455085,-0.0303077644118106,-0.033620132025176774,0.07717544133729107
1,1,Global off,True,-0.054545454545454536,0.015625,-0.07017045454545454,0.10416666666666667,0.0912981455064194,0.012868521160247268,275,256,19,ITI,ITI,0,0,-----,-0.008238636363636365,0.06193181818181817,-0.053693181818181834,-0.05700554943154801,0.07017045454545454
22,4,Global on,False,-0.09090909090909091,-0.16,0.06909090909090909,0.004166666666666667,0.00891583452211127,-0.0047491678554446035,11,25,-14,ITI,ITI,10101,10101,+-+-+,0.05090909090909091,-0.018181818181818188,-0.032727272727272716,-0.03603964034063889,0.06909090909090909
23,4,Global on,False,0.11764705882352941,0.051724137931034475,0.06592292089249494,0.012878787878787878,0.020684736091298145,-0.007805948212510266,34,58,-24,CS+,ITI,1101,1101,-++-+,0.04056795131845842,-0.025354969574036518,-0.015212981744421872,0.0435512994835667,0.06592292089249494
15,2,Threat-like,False,0.02777777777777779,-0.0357142857142857,0.06349206349206349,0.013636363636363636,0.019971469329529243,-0.006335105693165607,36,56,-20,CS+,CS-,1110,1110,-+++-,0.0,-0.06349206349206349,0.06349206349206349,-0.029312176173802412,0.06349206349206349
10,1,Global off,False,-0.051282051282051294,-0.10666666666666666,0.055384615384615365,0.014772727272727272,0.02674750356633381,-0.011974776293606536,39,75,-36,CS-,CS-,10010,10010,+--+-,0.019487179487179485,-0.03589743589743588,0.016410256410256396,-0.03934381120543745,0.055384615384615365
16,4,Global on,False,0.010416666666666685,-0.030612244897959218,0.0410289115646259,0.03636363636363636,0.03495007132667618,0.0014135650369601835,96,98,-2,CS+,CS-,11110,11110,++++-,0.005952380952380987,-0.035076530612244916,0.02912414965986393,-0.018257754405094945,0.0410289115646259
28,4,Global on,False,-0.021739130434782594,0.019230769230769246,-0.04096989966555184,0.03484848484848485,0.037089871611982884,-0.0022413867634980336,92,104,-12,CS-,CS+,11011,11011,++-++,-0.035117056856187295,0.005852842809364545,0.02926421404682278,-0.016467668348521813,0.04096989966555184
14,2,Threat-like,False,-0.10606060606060608,-0.06818181818181818,-0.0378787878787879,0.025,0.03138373751783167,-0.006383737517831667,66,88,-22,CS-,CS-,10110,10110,+-++-,-0.06439393939393939,-0.02651515151515149,0.09090909090909088,-0.029961526823153062,0.0378787878787879
3,1,Global off,False,0.0,-0.037735849056603765,0.037735849056603765,0.01628787878787879,0.018901569186875893,-0.0026136903989971046,43,53,-10,ITI,CS-,1000,1000,-+---,-0.06801228609039053,-0.1057481351469943,0.17376042123738478,0.0964432626246376,0.037735849056603765
5,1,Global off,False,-0.033898305084745756,0.0,-0.033898305084745756,0.0446969696969697,0.029957203994293864,0.014739765702675836,118,84,34,CS-,CS-,100,100,--+--,-0.01937046004842613,0.014527845036319625,0.004842615012106588,0.011081469728318055,0.033898305084745756
32,4,Global on,True,-0.010989010989011005,-0.03225806451612903,0.021269053527118026,0.10340909090909091,0.0884450784593438,0.014964012449747113,273,248,25,CS-,CS-,11111,11111,+++++,0.012288786482334862,-0.008980267044783163,-0.003308519437551727,-0.012426642352784734,0.021269053527118026
6,1,Global off,False,-0.048780487804878064,-0.02941176470588236,-0.019368723098995705,0.01553030303030303,0.012125534950071327,0.003404768080231702,41,34,7,CS-,ITI,10100,10100,+-+--,0.10186513629842181,0.12123385939741751,-0.22309899569583935,-0.09455622657601997,0.019368723098995705
17,1,Global off,False,0.0,0.016129032258064516,-0.016129032258064516,0.035606060606060606,0.0442225392296719,-0.008616478623611291,94,124,-30,ITI,ITI,1,1,----+,0.030542210020590266,0.04667124227865478,-0.07721345229924503,-0.08052581991261121,0.016129032258064516
24,4,Global on,False,0.0,0.015625,-0.015625,0.031818181818181815,0.02282453637660485,0.008993645441576964,84,64,20,ITI,ITI,11101,11101,+++-+,0.014880952380952384,0.030505952380952384,-0.04538690476190477,-0.04869927237527094,0.015625
9,1,Global off,False,-0.021739130434782594,-0.012987012987012964,-0.00875211744776963,0.03484848484848485,0.02746077032810271,0.00738771452038214,92,77,15,ITI,CS-,10,10,---+-,-0.04474872953133824,-0.03599661208356861,0.08074534161490687,0.05219074119868014,0.00875211744776963
8,3,Safety-like,False,-0.021739130434782594,-0.016129032258064502,-0.005610098176718092,0.017424242424242425,0.02211126961483595,-0.0046870271905935235,46,62,-16,CS-,CS-,11100,11100,+++--,-0.018934081346423548,-0.013323983169705456,0.03225806451612906,-0.016770358477707026,0.005610098176718092
21,1,Global off,False,-0.08333333333333334,-0.07792207792207792,-0.005411255411255422,0.01818181818181818,0.02746077032810271,-0.00927895214628453,48,77,-29,ITI,ITI,101,101,--+-+,-0.03084415584415584,-0.025432900432900418,0.05627705627705626,0.052964688663690085,0.005411255411255422
