source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
30,32,4.0,4.0,Global on,Global on,12.0,46.0,0.2608695652173913,10.0,0.4166666666666667,ITI,ITI,4.0,4.0,Global on,Global on,3.0,50.0,0.06,3.0,0.125,ITI,CS+,4.0,4.0,Global on,Global on,9.0,0.2008695652173913,7.0,0.2916666666666667,0.2008695652173913
11,1,1.0,1.0,Global off,Global off,4.0,20.0,0.2,4.0,0.16666666666666666,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,4.0,0.2,4.0,0.16666666666666666,0.2
11,2,1.0,1.0,Global off,Global off,1.0,20.0,0.05,1.0,0.041666666666666664,CS+,CS+,1.0,1.0,Global off,Global off,4.0,17.0,0.23529411764705882,4.0,0.16666666666666666,ITI,CS+,1.0,1.0,Global off,Global off,-3.0,-0.18529411764705883,-3.0,-0.125,0.18529411764705883
22,6,4.0,1.0,Global on,Global off,2.0,11.0,0.18181818181818182,2.0,0.08333333333333333,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,0.18181818181818182,2.0,0.08333333333333333,0.18181818181818182
26,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,6.0,33.0,0.18181818181818182,6.0,0.25,ITI,ITI,4.0,1.0,Global on,Global off,-6.0,-0.18181818181818182,-6.0,-0.25,0.18181818181818182
15,13,2.0,2.0,Threat-like,Threat-like,2.0,35.0,0.05714285714285714,2.0,0.08333333333333333,ITI,ITI,2.0,2.0,Threat-like,Threat-like,11.0,49.0,0.22448979591836735,7.0,0.2916666666666667,ITI,ITI,2.0,2.0,Threat-like,Threat-like,-9.0,-0.1673469387755102,-5.0,-0.20833333333333337,0.1673469387755102
11,25,1.0,1.0,Global off,Global off,3.0,20.0,0.15,3.0,0.125,CS-,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,0.15,3.0,0.125,0.15
30,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,7.0,50.0,0.14,5.0,0.20833333333333334,ITI,CS+,4.0,1.0,Global on,Global off,-7.0,-0.14,-5.0,-0.20833333333333334,0.14
25,32,1.0,4.0,Global off,Global on,10.0,54.0,0.18518518518518517,7.0,0.2916666666666667,ITI,ITI,1.0,4.0,Global off,Global on,2.0,37.0,0.05405405405405406,2.0,0.08333333333333333,CS-,CS+,1.0,4.0,Global off,Global on,8.0,0.13113113113113112,5.0,0.20833333333333337,0.13113113113113112
26,17,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,4.0,33.0,0.12121212121212122,3.0,0.125,ITI,ITI,4.0,1.0,Global on,Global off,-4.0,-0.12121212121212122,-3.0,-0.125,0.12121212121212122
11,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,2.0,17.0,0.11764705882352941,2.0,0.08333333333333333,CS+,CS+,1.0,1.0,Global off,Global off,-2.0,-0.11764705882352941,-2.0,-0.08333333333333333,0.11764705882352941
11,15,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,Global off,Threat-like,2.0,17.0,0.11764705882352941,2.0,0.08333333333333333,CS-,CS-,1.0,2.0,Global off,Threat-like,-2.0,-0.11764705882352941,-2.0,-0.08333333333333333,0.11764705882352941
27,28,4.0,4.0,Global on,Global on,1.0,43.0,0.023255813953488372,1.0,0.041666666666666664,ITI,CS-,4.0,4.0,Global on,Global on,5.0,37.0,0.13513513513513514,4.0,0.16666666666666666,CS-,ITI,4.0,4.0,Global on,Global on,-4.0,-0.11187932118164677,-3.0,-0.125,0.11187932118164677
6,1,1.0,1.0,Global off,Global off,3.0,38.0,0.07894736842105263,3.0,0.125,ITI,CS-,1.0,1.0,Global off,Global off,6.0,32.0,0.1875,5.0,0.20833333333333334,ITI,ITI,1.0,1.0,Global off,Global off,-3.0,-0.10855263157894737,-2.0,-0.08333333333333334,0.10855263157894737
10,1,1.0,1.0,Global off,Global off,8.0,39.0,0.20512820512820512,6.0,0.25,CS-,ITI,1.0,1.0,Global off,Global off,7.0,72.0,0.09722222222222222,6.0,0.25,ITI,ITI,1.0,1.0,Global off,Global off,1.0,0.1079059829059829,0.0,0.0,0.1079059829059829
29,21,2.0,1.0,Threat-like,Global off,1.0,91.0,0.01098901098901099,1.0,0.041666666666666664,ITI,ITI,2.0,1.0,Threat-like,Global off,11.0,94.0,0.11702127659574468,6.0,0.25,ITI,ITI,2.0,1.0,Threat-like,Global off,-10.0,-0.10603226560673369,-5.0,-0.20833333333333334,0.10603226560673369
28,20,4.0,3.0,Global on,Safety-like,17.0,82.0,0.2073170731707317,13.0,0.5416666666666666,ITI,ITI,4.0,3.0,Global on,Safety-like,9.0,87.0,0.10344827586206896,8.0,0.3333333333333333,CS+,ITI,4.0,3.0,Global on,Safety-like,8.0,0.10386879730866273,5.0,0.20833333333333331,0.10386879730866273
3,1,1.0,1.0,Global off,Global off,10.0,42.0,0.23809523809523808,9.0,0.375,ITI,ITI,1.0,1.0,Global off,Global off,7.0,52.0,0.1346153846153846,6.0,0.25,ITI,ITI,1.0,1.0,Global off,Global off,3.0,0.10347985347985347,3.0,0.125,0.10347985347985347
2,1,1.0,1.0,Global off,Global off,26.0,117.0,0.2222222222222222,15.0,0.625,ITI,ITI,1.0,1.0,Global off,Global off,15.0,126.0,0.11904761904761904,10.0,0.4166666666666667,ITI,ITI,1.0,1.0,Global off,Global off,11.0,0.10317460317460317,5.0,0.20833333333333331,0.10317460317460317
7,31,1.0,4.0,Global off,Global on,4.0,24.0,0.16666666666666666,3.0,0.125,CS-,CS-,1.0,4.0,Global off,Global on,2.0,31.0,0.06451612903225806,2.0,0.08333333333333333,CS+,ITI,1.0,4.0,Global off,Global on,2.0,0.1021505376344086,1.0,0.04166666666666667,0.1021505376344086
7,5,1.0,1.0,Global off,Global off,4.0,24.0,0.16666666666666666,4.0,0.16666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,2.0,31.0,0.06451612903225806,2.0,0.08333333333333333,CS+,ITI,1.0,1.0,Global off,Global off,2.0,0.1021505376344086,2.0,0.08333333333333333,0.1021505376344086
22,21,4.0,1.0,Global on,Global off,2.0,11.0,0.18181818181818182,2.0,0.08333333333333333,ITI,ITI,4.0,1.0,Global on,Global off,2.0,25.0,0.08,1.0,0.041666666666666664,CS-,CS-,4.0,1.0,Global on,Global off,0.0,0.10181818181818182,1.0,0.041666666666666664,0.10181818181818182
12,5,3.0,1.0,Safety-like,Global off,4.0,34.0,0.11764705882352941,4.0,0.16666666666666666,ITI,ITI,3.0,1.0,Safety-like,Global off,1.0,58.0,0.017241379310344827,1.0,0.041666666666666664,ITI,CS+,3.0,1.0,Safety-like,Global off,3.0,0.10040567951318458,3.0,0.125,0.10040567951318458
11,19,1.0,3.0,Global off,Safety-like,2.0,20.0,0.1,2.0,0.08333333333333333,CS+,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,0.1,2.0,0.08333333333333333,0.1
18,20,3.0,3.0,Safety-like,Safety-like,7.0,36.0,0.19444444444444445,5.0,0.20833333333333334,CS-,ITI,3.0,3.0,Safety-like,Safety-like,6.0,62.0,0.0967741935483871,5.0,0.20833333333333334,CS+,ITI,3.0,3.0,Safety-like,Safety-like,1.0,0.09767025089605735,0.0,0.0,0.09767025089605735
22,15,4.0,2.0,Global on,Threat-like,1.0,11.0,0.09090909090909091,1.0,0.041666666666666664,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,1.0,0.09090909090909091,1.0,0.041666666666666664,0.09090909090909091
22,24,4.0,4.0,Global on,Global on,1.0,11.0,0.09090909090909091,1.0,0.041666666666666664,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,1.0,0.09090909090909091,1.0,0.041666666666666664,0.09090909090909091
