cohort,state,basin,basin_label_readable,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,energy,binary,binary_01,sigma_pattern
HC,1,1,Global off,256,0.0912981455064194,0.015625,0.171875,0.15625,0.671875,ITI,0.08806615549215402,-1.2795,0,0,-----
HC,13,2,Threat-like,149,0.053138373751783166,-0.026845637583892606,0.2214765100671141,0.2483221476510067,0.5302013422818792,CS-,0.04040488659537192,-0.7568999999999999,110,110,--++-
HC,20,3,Safety-like,148,0.052781740370898715,0.05405405405405406,0.16216216216216217,0.10810810810810811,0.7297297297297297,ITI,0.14592088522188373,-0.7541,11001,11001,++--+
HC,32,4,Global on,248,0.0884450784593438,-0.03225806451612903,0.22580645161290322,0.25806451612903225,0.5161290322580645,CS-,0.050147255073397456,-1.2635,11111,11111,+++++
PTSD,1,1,Global off,275,0.10416666666666667,-0.054545454545454536,0.16363636363636364,0.21818181818181817,0.6181818181818182,ITI,0.03106060606060601,-1.2795,0,0,-----
PTSD,13,2,Threat-like,146,0.055303030303030305,0.0958904109589041,0.273972602739726,0.1780821917808219,0.547945205479452,CS+,0.0724574512245745,-0.7568999999999999,110,110,--++-
PTSD,20,3,Safety-like,173,0.06553030303030304,-0.02312138728323701,0.13872832369942195,0.16184971098265896,0.6994219653179191,ITI,0.11230075319670696,-0.7541,11001,11001,++--+
PTSD,32,4,Global on,273,0.10340909090909091,-0.010989010989011005,0.23809523809523808,0.2490842490842491,0.5128205128205128,CS-,0.03772061272061272,-1.2635,11111,11111,+++++
merged,1,1,Global off,531,0.09753857457751654,-0.020715630885122405,0.16760828625235405,0.18832391713747645,0.6440677966101694,ITI,0.05865266068070585,-1.2795,0,0,-----
merged,13,2,Threat-like,295,0.054188096987509184,0.03389830508474578,0.24745762711864408,0.2135593220338983,0.5389830508474577,CS+,0.042461300887931375,-0.7568999999999999,110,110,--++-
merged,20,3,Safety-like,321,0.05896399706098457,0.012461059190031154,0.14953271028037382,0.13707165109034267,0.7133956386292835,ITI,0.12798050269981986,-0.7541,11001,11001,++--+
merged,32,4,Global on,521,0.09570168993387215,-0.021113243761996137,0.23224568138195778,0.2533589251439539,0.5143953934740882,CS-,0.04377038730413027,-1.2635,11111,11111,+++++
