cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,22,4,Global on,False,25,0.00891583452211127,-0.16,0.04,0.2,0.76,ITI,0.17619115549215403,-0.16827389443651924,-0.007917261055634783,0.17619115549215403,10101,10101,+-+-+
HC,25,1,Global off,False,40,0.014265335235378032,-0.125,0.075,0.2,0.725,ITI,0.141191155492154,-0.13327389443651927,-0.007917261055634783,0.141191155492154,11,11,---++
HC,10,1,Global off,False,75,0.02674750356633381,-0.10666666666666666,0.16,0.26666666666666666,0.5733333333333334,CS-,0.05874940561103187,-0.04827389443651925,0.05874940561103187,-0.01047551117451262,10010,10010,+--+-
HC,2,1,Global off,False,140,0.04992867332382311,-0.09285714285714286,0.15714285714285714,0.25,0.5928571428571429,CS-,0.042082738944365206,-0.05113103729366211,0.042082738944365206,0.00904829834929688,10000,10000,+----
HC,21,1,Global off,False,77,0.02746077032810271,-0.07792207792207792,0.15584415584415584,0.23376623376623376,0.6103896103896104,ITI,0.02658076588176439,-0.05242973859236341,0.025848972710598966,0.02658076588176439,101,101,--+-+
HC,14,2,Threat-like,False,88,0.03138373751783167,-0.06818181818181818,0.26136363636363635,0.32954545454545453,0.4090909090909091,CS-,0.12162819348981974,0.0530897419271171,0.12162819348981974,-0.17471793541693686,10110,10110,+-++-
HC,31,4,Global on,False,127,0.04529243937232525,-0.05511811023622046,0.2283464566929134,0.28346456692913385,0.4881889763779528,CS-,0.07554730587349906,0.020072562256394144,0.07554730587349906,-0.0956198681298932,1111,1111,-++++
HC,3,1,Global off,False,53,0.018901569186875893,-0.037735849056603765,0.20754716981132076,0.24528301886792453,0.5471698113207547,CS-,0.037365757812289735,-0.0007267246251984882,0.037365757812289735,-0.036639033187091274,1000,1000,-+---
HC,15,2,Threat-like,False,56,0.019971469329529243,-0.0357142857142857,0.25,0.2857142857142857,0.4642857142857143,CS-,0.0777970246586509,0.04172610556348075,0.0777970246586509,-0.11952313022213168,1110,1110,-+++-
HC,32,4,Global on,True,248,0.0884450784593438,-0.03225806451612903,0.22580645161290322,0.25806451612903225,0.5161290322580645,CS-,0.050147255073397456,0.017532557176383967,0.050147255073397456,-0.06767981224978148,11111,11111,+++++
HC,16,4,Global on,False,98,0.03495007132667618,-0.030612244897959218,0.2857142857142857,0.3163265306122449,0.3979591836734694,CS-,0.10840926955661012,0.07744039127776645,0.10840926955661012,-0.1858496608343766,11110,11110,++++-
HC,6,1,Global off,False,34,0.012125534950071327,-0.02941176470588236,0.11764705882352941,0.14705882352941177,0.7352941176470589,ITI,0.1514852731392129,-0.09062683561298984,-0.060858437526223025,0.1514852731392129,10100,10100,+-+--
PTSD,7,1,Global off,False,25,0.00946969696969697,-0.12,0.24,0.36,0.4,CS-,0.14863636363636362,0.03848484848484848,0.14863636363636362,-0.18712121212121213,1100,1100,-++--
PTSD,14,2,Threat-like,False,66,0.025,-0.10606060606060608,0.19696969696969696,0.30303030303030304,0.5,CS-,0.09166666666666667,-0.004545454545454547,0.09166666666666667,-0.08712121212121215,10110,10110,+-++-
PTSD,18,3,Safety-like,False,38,0.014393939393939395,-0.10526315789473684,0.10526315789473684,0.21052631578947367,0.6842105263157895,ITI,0.09708931419457734,-0.09625199362041467,-0.0008373205741626921,0.09708931419457734,10001,10001,+---+
PTSD,22,4,Global on,False,11,0.004166666666666667,-0.09090909090909091,0.09090909090909091,0.18181818181818182,0.7272727272727273,ITI,0.14015151515151514,-0.1106060606060606,-0.02954545454545454,0.14015151515151514,10101,10101,+-+-+
PTSD,21,1,Global off,False,48,0.01818181818181818,-0.08333333333333334,0.125,0.20833333333333334,0.6666666666666666,ITI,0.07954545454545447,-0.07651515151515151,-0.003030303030303022,0.07954545454545447,101,101,--+-+
PTSD,30,4,Global on,False,51,0.019318181818181818,-0.0784313725490196,0.2549019607843137,0.3333333333333333,0.4117647058823529,CS-,0.12196969696969695,0.0533868092691622,0.12196969696969695,-0.17535650623885923,10111,10111,+-+++
PTSD,19,3,Safety-like,False,64,0.024242424242424242,-0.0625,0.125,0.1875,0.6875,ITI,0.10037878787878785,-0.07651515151515151,-0.023863636363636365,0.10037878787878785,1001,1001,-+--+
PTSD,1,1,Global off,True,275,0.10416666666666667,-0.054545454545454536,0.16363636363636364,0.21818181818181817,0.6181818181818182,ITI,0.03106060606060601,-0.03787878787878787,0.006818181818181807,0.03106060606060601,0,0,-----
