cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,30,4,Global on,False,51,0.01818830242510699,0.19607843137254904,0.27450980392156865,0.0784313725490196,0.6470588235294118,CS+,0.0662359094850494,0.0662359094850494,-0.1294858885066152,0.06324997902156582,10111,10111,+-+++
HC,18,3,Safety-like,False,69,0.024607703281027102,0.14492753623188406,0.2753623188405797,0.13043478260869565,0.5942028985507246,CS+,0.06708842440406046,0.06708842440406046,-0.07748247844693915,0.010394054042878631,10001,10001,+---+
HC,4,3,Safety-like,False,109,0.03887303851640513,0.11926605504587157,0.29357798165137616,0.1743119266055046,0.5321100917431193,CS+,0.08530408721485691,0.08530408721485691,-0.0336053344501302,-0.051698752764726685,11000,11000,++---
HC,19,3,Safety-like,False,87,0.031027104136947217,0.10344827586206898,0.14942528735632185,0.04597701149425287,0.8045977011494253,ITI,0.22078885664157932,-0.0588486070801974,-0.16194024956138192,0.22078885664157932,1001,1001,-+--+
HC,29,2,Threat-like,False,106,0.037803138373751786,0.07547169811320756,0.24528301886792453,0.16981132075471697,0.5849056603773585,CS+,0.03700912443140528,0.03700912443140528,-0.03810594030091782,0.0010968158695124908,111,111,--+++
HC,27,4,Global on,False,42,0.014978601997146932,0.07142857142857142,0.19047619047619047,0.11904761904761904,0.6904761904761905,ITI,0.10666734596834448,-0.017797703960328787,-0.08886964200801575,0.10666734596834448,1011,1011,-+-++
HC,20,3,Safety-like,True,148,0.052781740370898715,0.05405405405405406,0.16216216216216217,0.10810810810810811,0.7297297297297297,ITI,0.14592088522188373,-0.04611173227435708,-0.09980915294752668,0.14592088522188373,11001,11001,++--+
HC,11,1,Global off,False,19,0.006776034236804565,0.05263157894736842,0.3684210526315789,0.3157894736842105,0.3157894736842105,CS+,0.16014715819505967,0.16014715819505967,0.10787221262857571,-0.26801937082363547,1010,1010,-+-+-
HC,23,4,Global on,False,58,0.020684736091298145,0.051724137931034475,0.22413793103448276,0.1724137931034483,0.603448275862069,ITI,0.01963943135422297,0.01586403659796351,-0.03550346795218651,0.01963943135422297,1101,1101,-++-+
HC,28,4,Global on,False,104,0.037089871611982884,0.019230769230769246,0.23076923076923078,0.21153846153846154,0.5576923076923077,CS+,0.02249533633271153,0.02249533633271153,0.003621200482826742,-0.02611653681553827,11011,11011,++-++
