cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,19,3,Safety-like,False,87,0.031027104136947217,0.10344827586206898,0.14942528735632185,0.04597701149425287,0.8045977011494253,ITI,0.22078885664157932,-0.0588486070801974,-0.16194024956138192,0.22078885664157932,1001,1001,-+--+
HC,22,4,Global on,False,25,0.00891583452211127,-0.16,0.04,0.2,0.76,ITI,0.17619115549215403,-0.16827389443651924,-0.007917261055634783,0.17619115549215403,10101,10101,+-+-+
HC,17,1,Global off,False,124,0.0442225392296719,0.016129032258064516,0.12903225806451613,0.11290322580645161,0.7580645161290323,ITI,0.17425567162118627,-0.07924163637200313,-0.09501403524918318,0.17425567162118627,1,1,----+
HC,11,1,Global off,False,19,0.006776034236804565,0.05263157894736842,0.3684210526315789,0.3157894736842105,0.3157894736842105,CS+,0.16014715819505967,0.16014715819505967,0.10787221262857571,-0.26801937082363547,1010,1010,-+-+-
HC,6,1,Global off,False,34,0.012125534950071327,-0.02941176470588236,0.11764705882352941,0.14705882352941177,0.7352941176470589,ITI,0.1514852731392129,-0.09062683561298984,-0.060858437526223025,0.1514852731392129,10100,10100,+-+--
HC,26,4,Global on,False,34,0.012125534950071327,-0.02941176470588236,0.11764705882352941,0.14705882352941177,0.7352941176470589,ITI,0.1514852731392129,-0.09062683561298984,-0.060858437526223025,0.1514852731392129,10011,10011,+--++
HC,20,3,Safety-like,True,148,0.052781740370898715,0.05405405405405406,0.16216216216216217,0.10810810810810811,0.7297297297297297,ITI,0.14592088522188373,-0.04611173227435708,-0.09980915294752668,0.14592088522188373,11001,11001,++--+
HC,7,1,Global off,False,34,0.012125534950071327,-0.02941176470588236,0.3235294117647059,0.35294117647058826,0.3235294117647059,CS-,0.14502391541495346,0.11525551732818665,0.14502391541495346,-0.2602794327431401,1100,1100,-++--
HC,25,1,Global off,False,40,0.014265335235378032,-0.125,0.075,0.2,0.725,ITI,0.141191155492154,-0.13327389443651927,-0.007917261055634783,0.141191155492154,11,11,---++
HC,14,2,Threat-like,False,88,0.03138373751783167,-0.06818181818181818,0.26136363636363635,0.32954545454545453,0.4090909090909091,CS-,0.12162819348981974,0.0530897419271171,0.12162819348981974,-0.17471793541693686,10110,10110,+-++-
