cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,31,32,22,4,4,ITI,ITI,112,0.19642857142857142,14,24,0.5833333333333334,Global on,Global on
HC,28,32,16,4,4,ITI,ITI,87,0.1839080459770115,11,24,0.4583333333333333,Global on,Global on
HC,20,32,22,3,4,ITI,ITI,122,0.18032786885245902,17,24,0.7083333333333334,Safety-like,Global on
HC,5,1,13,1,1,CS-,ITI,73,0.1780821917808219,11,24,0.4583333333333333,Global off,Global off
HC,24,32,10,4,4,CS-,CS+,58,0.1724137931034483,10,24,0.4166666666666667,Global on,Global on
HC,19,20,10,3,3,ITI,ITI,78,0.1282051282051282,10,24,0.4166666666666667,Safety-like,Safety-like
HC,16,32,11,4,4,CS+,CS+,88,0.125,10,24,0.4166666666666667,Global on,Global on
HC,2,1,15,1,1,ITI,ITI,126,0.11904761904761904,10,24,0.4166666666666667,Global off,Global off
HC,4,1,11,3,1,ITI,ITI,94,0.11702127659574468,10,24,0.4166666666666667,Safety-like,Global off
HC,13,14,14,2,2,ITI,ITI,121,0.11570247933884298,10,24,0.4166666666666667,Threat-like,Threat-like
PTSD,30,32,12,4,4,ITI,ITI,46,0.2608695652173913,10,24,0.4166666666666667,Global on,Global on
PTSD,2,1,26,1,1,ITI,ITI,117,0.2222222222222222,15,24,0.625,Global off,Global off
PTSD,28,20,17,4,3,ITI,ITI,82,0.2073170731707317,13,24,0.5416666666666666,Global on,Safety-like
PTSD,9,1,16,1,1,ITI,ITI,82,0.1951219512195122,11,24,0.4583333333333333,Global off,Global off
PTSD,28,32,14,4,4,ITI,CS-,82,0.17073170731707318,13,24,0.5416666666666666,Global on,Global on
PTSD,19,20,10,3,3,ITI,ITI,62,0.16129032258064516,10,24,0.4166666666666667,Safety-like,Safety-like
PTSD,31,32,15,4,4,ITI,ITI,104,0.14423076923076922,13,24,0.5416666666666666,Global on,Global on
PTSD,2,5,15,1,1,ITI,ITI,117,0.1282051282051282,12,24,0.5,Global off,Global off
PTSD,1,2,22,1,1,ITI,ITI,197,0.1116751269035533,15,24,0.625,Global off,Global off
PTSD,32,20,22,4,3,CS-,ITI,199,0.11055276381909548,14,24,0.5833333333333334,Global on,Safety-like
PTSD,1,5,21,1,1,ITI,ITI,197,0.1065989847715736,13,24,0.5416666666666666,Global off,Global off
merged,9,1,28,1,1,ITI,ITI,152,0.18421052631578946,20,48,0.4166666666666667,Global off,Global off
merged,24,32,24,4,4,ITI,ITI,132,0.18181818181818182,19,48,0.3958333333333333,Global on,Global on
merged,3,1,17,1,1,ITI,ITI,94,0.18085106382978725,15,48,0.3125,Global off,Global off
merged,28,32,30,4,4,ITI,ITI,169,0.17751479289940827,24,48,0.5,Global on,Global on
merged,27,32,14,4,4,ITI,CS+,80,0.175,12,48,0.25,Global on,Global on
merged,31,32,37,4,4,ITI,ITI,216,0.1712962962962963,27,48,0.5625,Global on,Global on
merged,2,1,41,1,1,ITI,ITI,243,0.16872427983539096,25,48,0.5208333333333334,Global off,Global off
merged,30,32,15,4,4,ITI,ITI,96,0.15625,13,48,0.2708333333333333,Global on,Global on
merged,28,20,26,4,3,ITI,ITI,169,0.15384615384615385,21,48,0.4375,Global on,Safety-like
merged,14,13,22,2,2,ITI,ITI,146,0.1506849315068493,14,48,0.2916666666666667,Threat-like,Threat-like
merged,19,20,20,3,3,ITI,ITI,140,0.14285714285714285,20,48,0.4166666666666667,Safety-like,Safety-like
merged,5,1,25,1,1,ITI,ITI,177,0.14124293785310735,20,48,0.4166666666666667,Global off,Global off
merged,10,1,15,1,1,ITI,ITI,111,0.13513513513513514,12,48,0.25,Global off,Global off
merged,20,32,35,3,4,ITI,ITI,260,0.1346153846153846,28,48,0.5833333333333334,Safety-like,Global on
merged,18,20,13,3,3,CS-,ITI,98,0.1326530612244898,10,48,0.20833333333333334,Safety-like,Safety-like
merged,25,17,12,1,1,ITI,ITI,91,0.13186813186813187,11,48,0.22916666666666666,Global off,Global off
merged,19,32,18,3,4,ITI,ITI,140,0.12857142857142856,14,48,0.2916666666666667,Safety-like,Global on
merged,21,1,14,1,1,ITI,ITI,112,0.125,10,48,0.20833333333333334,Global off,Global off
merged,4,1,25,3,1,ITI,ITI,202,0.12376237623762376,19,48,0.3958333333333333,Safety-like,Global off
merged,16,32,22,4,4,ITI,CS+,178,0.12359550561797752,18,48,0.375,Global on,Global on
merged,24,20,16,4,3,ITI,ITI,132,0.12121212121212122,15,48,0.3125,Global on,Safety-like
merged,8,4,12,3,3,CS+,ITI,101,0.1188118811881188,11,48,0.22916666666666666,Safety-like,Safety-like
merged,29,32,20,2,4,ITI,CS+,185,0.10810810810810811,15,48,0.3125,Threat-like,Global on
merged,14,1,15,2,1,CS-,ITI,146,0.10273972602739725,11,48,0.22916666666666666,Threat-like,Global off
