cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
merged,9,1,28,1,1,ITI,ITI,152,0.18421052631578946,20,48,0.4166666666666667,Global off,Global off
merged,24,32,24,4,4,ITI,ITI,132,0.18181818181818182,19,48,0.3958333333333333,Global on,Global on
merged,3,1,17,1,1,ITI,ITI,94,0.18085106382978725,15,48,0.3125,Global off,Global off
merged,28,32,30,4,4,ITI,ITI,169,0.17751479289940827,24,48,0.5,Global on,Global on
merged,27,32,14,4,4,ITI,CS+,80,0.175,12,48,0.25,Global on,Global on
merged,31,32,37,4,4,ITI,ITI,216,0.1712962962962963,27,48,0.5625,Global on,Global on
merged,2,1,41,1,1,ITI,ITI,243,0.16872427983539096,25,48,0.5208333333333334,Global off,Global off
merged,30,32,15,4,4,ITI,ITI,96,0.15625,13,48,0.2708333333333333,Global on,Global on
merged,15,13,13,2,2,ITI,ITI,84,0.15476190476190477,9,48,0.1875,Threat-like,Threat-like
merged,28,20,26,4,3,ITI,ITI,169,0.15384615384615385,21,48,0.4375,Global on,Safety-like
merged,14,13,22,2,2,ITI,ITI,146,0.1506849315068493,14,48,0.2916666666666667,Threat-like,Threat-like
merged,19,20,20,3,3,ITI,ITI,140,0.14285714285714285,20,48,0.4166666666666667,Safety-like,Safety-like
merged,5,1,25,1,1,ITI,ITI,177,0.14124293785310735,20,48,0.4166666666666667,Global off,Global off
merged,10,1,15,1,1,ITI,ITI,111,0.13513513513513514,12,48,0.25,Global off,Global off
merged,11,2,5,1,1,CS+,CS+,37,0.13513513513513514,5,48,0.10416666666666667,Global off,Global off
merged,20,32,35,3,4,ITI,ITI,260,0.1346153846153846,28,48,0.5833333333333334,Safety-like,Global on
merged,18,20,13,3,3,CS-,ITI,98,0.1326530612244898,10,48,0.20833333333333334,Safety-like,Safety-like
merged,23,31,11,4,4,ITI,ITI,83,0.13253012048192772,9,48,0.1875,Global on,Global on
merged,25,17,12,1,1,ITI,ITI,91,0.13186813186813187,11,48,0.22916666666666666,Global off,Global off
merged,25,32,12,1,4,ITI,ITI,91,0.13186813186813187,9,48,0.1875,Global off,Global on
merged,26,32,8,4,4,ITI,CS-,62,0.12903225806451613,7,48,0.14583333333333334,Global on,Global on
merged,19,32,18,3,4,ITI,ITI,140,0.12857142857142856,14,48,0.2916666666666667,Safety-like,Global on
merged,6,1,9,1,1,ITI,ITI,70,0.12857142857142856,8,48,0.16666666666666666,Global off,Global off
merged,6,14,9,1,2,ITI,ITI,70,0.12857142857142856,9,48,0.1875,Global off,Threat-like
merged,21,1,14,1,1,ITI,ITI,112,0.125,10,48,0.20833333333333334,Global off,Global off
merged,4,1,25,3,1,ITI,ITI,202,0.12376237623762376,19,48,0.3958333333333333,Safety-like,Global off
merged,16,32,22,4,4,ITI,CS+,178,0.12359550561797752,18,48,0.375,Global on,Global on
merged,24,20,16,4,3,ITI,ITI,132,0.12121212121212122,15,48,0.3125,Global on,Safety-like
merged,15,32,10,2,4,ITI,ITI,84,0.11904761904761904,8,48,0.16666666666666666,Threat-like,Global on
merged,8,4,12,3,3,CS+,ITI,101,0.1188118811881188,11,48,0.22916666666666666,Safety-like,Safety-like
merged,18,32,11,3,4,ITI,CS+,98,0.11224489795918367,9,48,0.1875,Safety-like,Global on
merged,22,21,4,4,1,ITI,ITI,36,0.1111111111111111,3,48,0.0625,Global on,Global off
merged,7,1,6,1,1,CS+,ITI,55,0.10909090909090909,5,48,0.10416666666666667,Global off,Global off
merged,7,5,6,1,1,CS+,ITI,55,0.10909090909090909,6,48,0.125,Global off,Global off
merged,7,16,6,1,4,ITI,ITI,55,0.10909090909090909,6,48,0.125,Global off,Global on
merged,7,31,6,1,4,CS-,ITI,55,0.10909090909090909,5,48,0.10416666666666667,Global off,Global on
merged,23,32,9,4,4,ITI,ITI,83,0.10843373493975904,8,48,0.16666666666666666,Global on,Global on
merged,29,32,20,2,4,ITI,CS+,185,0.10810810810810811,15,48,0.3125,Threat-like,Global on
merged,11,1,4,1,1,ITI,ITI,37,0.10810810810810811,4,48,0.08333333333333333,Global off,Global off
merged,11,9,4,1,1,CS+,ITI,37,0.10810810810810811,4,48,0.08333333333333333,Global off,Global off
merged,14,1,15,2,1,CS-,ITI,146,0.10273972602739725,11,48,0.22916666666666666,Threat-like,Global off
merged,25,29,9,1,2,ITI,ITI,91,0.0989010989010989,8,48,0.16666666666666666,Global off,Threat-like
merged,21,2,11,1,1,ITI,ITI,112,0.09821428571428571,7,48,0.14583333333333334,Global off,Global off
merged,26,1,6,4,1,ITI,ITI,62,0.0967741935483871,6,48,0.125,Global on,Global off
