cohort,basin,basin_label_readable,occupancy,n_states_occupied,count_CSplus,count_CSminus,count_ITI,prop_CSplus,prop_CSminus,prop_ITI,cs_delta
HC,1,Global off,2020,12,375,395,1250,0.18564356435643564,0.19554455445544555,0.6188118811881188,-0.00990099009900991
HC,2,Threat-like,841,4,207,220,414,0.24613555291319858,0.2615933412604043,0.49227110582639716,-0.015457788347205709
HC,3,Safety-like,1080,6,218,176,686,0.20185185185185187,0.16296296296296298,0.6351851851851852,0.03888888888888889
HC,4,Global on,1738,10,394,384,960,0.22669735327963175,0.22094361334867663,0.5523590333716916,0.005753739930955126
PTSD,1,Global off,1897,12,354,378,1165,0.18661043753294676,0.1992619926199262,0.614127569847127,-0.012651555086979432
PTSD,2,Threat-like,710,4,184,159,367,0.2591549295774648,0.223943661971831,0.5169014084507042,0.035211267605633784
PTSD,3,Safety-like,899,6,167,159,573,0.185761957730812,0.17686318131256953,0.6373748609566184,0.008898776418242466
PTSD,4,Global on,1683,10,360,375,948,0.21390374331550802,0.22281639928698752,0.5632798573975044,-0.0089126559714795
merged,1,Global off,3917,12,729,773,2415,0.18611182027061526,0.19734490681644115,0.6165432729129435,-0.011233086545825888
merged,2,Threat-like,1551,4,391,379,781,0.25209542230818827,0.2443584784010316,0.5035460992907801,0.007736943907156679
merged,3,Safety-like,1979,6,385,335,1259,0.19454269833249116,0.16927741283476502,0.6361798888327438,0.025265285497726137
merged,4,Global on,3421,10,754,759,1908,0.22040339082139726,0.22186495176848875,0.557731657410114,-0.0014615609470914892
