source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
22,6,4.0,1.0,Global on,Global off,4.0,29.0,0.13793103448275862,4.0,0.16666666666666666,CS-,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,4.0,0.13793103448275862,4.0,0.16666666666666666,0.13793103448275862
30,32,4.0,4.0,Global on,Global on,20.0,95.0,0.21052631578947367,13.0,0.5416666666666666,ITI,ITI,4.0,4.0,Global on,Global on,9.0,106.0,0.08490566037735849,8.0,0.3333333333333333,ITI,ITI,4.0,4.0,Global on,Global on,11.0,0.1256206554121152,5.0,0.20833333333333331,0.1256206554121152
22,31,4.0,4.0,Global on,Global on,5.0,29.0,0.1724137931034483,4.0,0.16666666666666666,ITI,ITI,4.0,4.0,Global on,Global on,2.0,40.0,0.05,2.0,0.08333333333333333,ITI,ITI,4.0,4.0,Global on,Global on,3.0,0.12241379310344828,2.0,0.08333333333333333,0.12241379310344828
10,1,1.0,1.0,Global off,Global off,13.0,64.0,0.203125,8.0,0.3333333333333333,CS-,ITI,1.0,1.0,Global off,Global off,11.0,130.0,0.08461538461538462,9.0,0.375,ITI,ITI,1.0,1.0,Global off,Global off,2.0,0.11850961538461538,-1.0,-0.041666666666666685,0.11850961538461538
6,1,1.0,1.0,Global off,Global off,6.0,88.0,0.06818181818181818,5.0,0.20833333333333334,ITI,CS-,1.0,1.0,Global off,Global off,12.0,66.0,0.18181818181818182,10.0,0.4166666666666667,ITI,ITI,1.0,1.0,Global off,Global off,-6.0,-0.11363636363636365,-5.0,-0.20833333333333334,0.11363636363636365
26,1,4.0,1.0,Global on,Global off,1.0,59.0,0.01694915254237288,1.0,0.041666666666666664,ITI,ITI,4.0,1.0,Global on,Global off,8.0,64.0,0.125,7.0,0.2916666666666667,ITI,ITI,4.0,1.0,Global on,Global off,-7.0,-0.10805084745762712,-6.0,-0.25,0.10805084745762712
18,20,3.0,3.0,Safety-like,Safety-like,13.0,77.0,0.16883116883116883,7.0,0.2916666666666667,ITI,ITI,3.0,3.0,Safety-like,Safety-like,7.0,112.0,0.0625,6.0,0.25,ITI,ITI,3.0,3.0,Safety-like,Safety-like,6.0,0.10633116883116883,1.0,0.041666666666666685,0.10633116883116883
11,32,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,4.0,39.0,0.10256410256410256,4.0,0.16666666666666666,ITI,ITI,1.0,4.0,Global off,Global on,-4.0,-0.10256410256410256,-4.0,-0.16666666666666666,0.10256410256410256
11,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,4.0,39.0,0.10256410256410256,4.0,0.16666666666666666,ITI,ITI,1.0,1.0,Global off,Global off,-4.0,-0.10256410256410256,-4.0,-0.16666666666666666,0.10256410256410256
11,1,1.0,1.0,Global off,Global off,5.0,40.0,0.125,4.0,0.16666666666666666,CS+,ITI,1.0,1.0,Global off,Global off,1.0,39.0,0.02564102564102564,1.0,0.041666666666666664,CS+,CS+,1.0,1.0,Global off,Global off,4.0,0.09935897435897437,3.0,0.125,0.09935897435897437
