cohort,state,basin,basin_label_readable,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,energy,binary,binary_01,sigma_pattern
HC,1,1,Global off,494,0.08698714562422961,0.03036437246963561,0.19635627530364372,0.1659919028340081,0.6376518218623481,ITI,0.05480272871214564,-1.2795,0,0,-----
HC,13,2,Threat-like,311,0.05476316252861419,-0.03858520900321544,0.2282958199356913,0.26688102893890675,0.5048231511254019,CS-,0.05997840523755088,-0.7568999999999999,110,110,--++-
HC,20,3,Safety-like,317,0.05581968656453601,0.012618296529968459,0.14511041009463724,0.13249211356466878,0.722397476340694,ITI,0.13954838319049145,-0.7541,11001,11001,++--+
HC,32,4,Global on,478,0.08416974819510477,-0.023012552301255235,0.23221757322175732,0.25523012552301255,0.5125523012552301,CS-,0.04832750182165668,-1.2635,11111,11111,+++++
PTSD,1,1,Global off,532,0.10252457120832531,-0.03759398496240601,0.17105263157894737,0.20864661654135339,0.6203007518796992,ITI,0.03194075958831366,-1.2795,0,0,-----
PTSD,13,2,Threat-like,287,0.0553093081518597,0.027874564459930307,0.2578397212543554,0.22996515679442509,0.5121951219512195,CS+,0.05259786347829065,-0.7568999999999999,110,110,--++-
PTSD,20,3,Safety-like,298,0.0574291771054153,-0.023489932885906062,0.14093959731543623,0.1644295302013423,0.6946308724832215,ITI,0.10627088019183595,-0.7541,11001,11001,++--+
PTSD,32,4,Global on,529,0.10194642513008287,-0.0056710775047258966,0.22306238185255198,0.22873345935727787,0.5482041587901701,CS-,0.02233530942472825,-1.2635,11111,11111,+++++
merged,1,1,Global off,1026,0.0944055944055944,-0.004873294346978557,0.18323586744639375,0.1881091617933723,0.6286549707602339,ITI,0.04317466159571426,-1.2795,0,0,-----
merged,13,2,Threat-like,598,0.05502392344497608,-0.006688963210702337,0.24247491638795987,0.2491638795986622,0.5083612040133779,CS-,0.042502120305323965,-0.7568999999999999,110,110,--++-
merged,20,3,Safety-like,615,0.056588148693411854,-0.004878048780487809,0.14308943089430895,0.14796747967479676,0.7089430894308943,ITI,0.1234627802663747,-0.7541,11001,11001,++--+
merged,32,4,Global on,1007,0.09265734265734266,-0.01390268123138036,0.22740814299900694,0.2413108242303873,0.5312810327706058,CS-,0.03464906493704906,-1.2635,11111,11111,+++++
