cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
merged,1,1026,0.0944055944055944,188,193,645,0,0.18323586744639375,0.1881091617933723,0.6286549707602339,-0.004873294346978557,ITI,ITI,0.04317466159571426,-0.024622064095748325,-0.018552597499965934,0.04317466159571426,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,True,0,-1.2795,0,0,-----
merged,32,1007,0.09265734265734266,229,243,535,0,0.22740814299900694,0.2413108242303873,0.5312810327706058,-0.01390268123138036,ITI,CS-,0.03464906493704906,0.019550211456864863,0.03464906493704906,-0.054199276393913864,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,True,0,-1.2635,11111,11111,+++++
merged,20,615,0.056588148693411854,88,91,436,0,0.14308943089430895,0.14796747967479676,0.7089430894308943,-0.004878048780487809,ITI,ITI,0.1234627802663747,-0.06476850064783313,-0.058694279618541484,0.1234627802663747,0.20785793154214208,0.20666175929333824,0.5854803091645197,3,Safety-like,20,True,0,-0.7541,11001,11001,++--+
merged,13,598,0.05502392344497608,145,149,304,0,0.24247491638795987,0.2491638795986622,0.5083612040133779,-0.006688963210702337,ITI,CS-,0.042502120305323965,0.034616984845817794,0.042502120305323965,-0.07711910515114173,0.20785793154214208,0.20666175929333824,0.5854803091645197,2,Threat-like,13,True,0,-0.7568999999999999,110,110,--++-
merged,2,491,0.045178505704821494,91,112,288,0,0.18533604887983707,0.22810590631364563,0.5865580448065173,-0.04276985743380857,ITI,CS-,0.02144414702030739,-0.02252188266230501,0.02144414702030739,0.0010777356419976458,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,1,-0.5604999999999999,10000,10000,+----
merged,31,485,0.044626426205373576,108,107,270,0,0.22268041237113403,0.22061855670103092,0.5567010309278351,0.002061855670103113,ITI,CS+,0.014822480828991957,0.014822480828991957,0.013956797407692678,-0.02877927823668458,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,1,-0.5520999999999999,1111,1111,-++++
merged,4,451,0.04149797570850203,98,90,263,0,0.21729490022172948,0.19955654101995565,0.5831485587583148,0.01773835920177383,ITI,CS+,0.009436968679587404,0.009436968679587404,-0.007105218273382591,-0.0023317504062048133,0.20785793154214208,0.20666175929333824,0.5854803091645197,3,Safety-like,20,False,1,-0.4577,11000,11000,++---
merged,16,429,0.039473684210526314,124,134,171,0,0.289044289044289,0.3123543123543124,0.3986013986013986,-0.023310023310023353,ITI,CS-,0.10569255306097414,0.08118635750214695,0.10569255306097414,-0.18687891056312106,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,1,-0.4467000000000001,11110,11110,++++-
merged,17,422,0.03882959146117041,56,56,310,0,0.13270142180094788,0.13270142180094788,0.7345971563981043,0.0,ITI,ITI,0.14911684723358465,-0.0751565097411942,-0.07396033749239037,0.14911684723358465,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,1,-0.4559000000000001,1,1,----+
merged,29,416,0.03827751196172249,95,90,231,0,0.2283653846153846,0.21634615384615385,0.5552884615384616,0.012019230769230754,ITI,CS+,0.020507453073242532,0.020507453073242532,0.009684394552815612,-0.030191847626058088,0.20785793154214208,0.20666175929333824,0.5854803091645197,2,Threat-like,13,False,1,-0.4537,111,111,--+++
merged,5,406,0.03735737946264262,86,86,234,0,0.21182266009852216,0.21182266009852216,0.5763546798029556,0.0,ITI,CS-,0.005160900805183916,0.003964728556380082,0.005160900805183916,-0.009125629361564025,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,1,-0.3969,100,100,--+--
merged,28,400,0.0368052999631947,75,85,240,0,0.1875,0.2125,0.6,-0.024999999999999994,ITI,ITI,0.014519690835480326,-0.020357931542142077,0.005838240706661751,0.014519690835480326,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,1,-0.3880999999999999,11011,11011,++-++
merged,14,327,0.030088332719911667,93,87,147,0,0.28440366972477066,0.26605504587155965,0.44954128440366975,0.01834862385321101,ITI,CS+,0.07654573818262858,0.07654573818262858,0.059393286578221405,-0.1359390247608499,0.20785793154214208,0.20666175929333824,0.5854803091645197,2,Threat-like,13,False,1,-0.0887,10110,10110,+-++-
merged,9,316,0.029076186970923814,66,60,190,0,0.2088607594936709,0.189873417721519,0.6012658227848101,0.01898734177215189,ITI,ITI,0.01578551362029046,0.0010028279515288119,-0.016788341571819243,0.01578551362029046,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,1,-0.1511,10,10,---+-
merged,24,316,0.029076186970923814,59,52,205,0,0.18670886075949367,0.16455696202531644,0.6487341772151899,0.022151898734177222,ITI,ITI,0.06325386805067024,-0.02114907078264841,-0.0421047972680218,0.06325386805067024,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,1,-0.1411,11101,11101,+++-+
merged,19,296,0.027235921972764077,50,31,215,0,0.16891891891891891,0.10472972972972973,0.7263513513513513,0.06418918918918919,ITI,ITI,0.14087104218683166,-0.03893901262322316,-0.10193202956360851,0.14087104218683166,0.20785793154214208,0.20666175929333824,0.5854803091645197,3,Safety-like,20,False,1,-0.0935,1001,1001,-+--+
merged,21,245,0.022543246227456754,33,54,158,0,0.1346938775510204,0.22040816326530613,0.6448979591836734,-0.08571428571428572,ITI,ITI,0.05941765001915378,-0.07316405399112166,0.013746403971967885,0.05941765001915378,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,2,0.2918999999999999,101,101,--+-+
merged,25,232,0.021347073978652927,35,33,164,0,0.15086206896551724,0.14224137931034483,0.7068965517241379,0.008620689655172403,ITI,ITI,0.12141624255961825,-0.05699586257662484,-0.06442037998299341,0.12141624255961825,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,2,0.2869,11,11,---++
merged,30,213,0.01959882223040118,63,45,105,0,0.29577464788732394,0.2112676056338028,0.49295774647887325,0.08450704225352113,ITI,CS+,0.08791671634518186,0.08791671634518186,0.00460584634046457,-0.0925225626856464,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,1,0.2804999999999999,10111,10111,+-+++
merged,8,211,0.019414795730585205,60,50,101,0,0.2843601895734597,0.23696682464454977,0.4786729857819905,0.04739336492890994,ITI,CS+,0.07650225803131763,0.07650225803131763,0.030305065351211524,-0.10680732338252913,0.20785793154214208,0.20666175929333824,0.5854803091645197,3,Safety-like,20,False,2,0.2900999999999999,11100,11100,+++--
merged,3,210,0.019322782480677217,39,36,135,0,0.18571428571428572,0.17142857142857143,0.6428571428571429,0.01428571428571429,ITI,ITI,0.05737683369262325,-0.022143645827856356,-0.03523318786476681,0.05737683369262325,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,1,0.2688999999999999,1000,1000,-+---
merged,15,210,0.019322782480677217,58,53,99,0,0.2761904761904762,0.2523809523809524,0.4714285714285714,0.023809523809523836,ITI,CS+,0.06833254464833413,0.06833254464833413,0.04571919308761413,-0.11405173773594823,0.20785793154214208,0.20666175929333824,0.5854803091645197,2,Threat-like,13,False,1,0.3307000000000001,1110,1110,-+++-
merged,12,204,0.018770702981229296,56,44,104,0,0.27450980392156865,0.21568627450980393,0.5098039215686274,0.05882352941176472,ITI,CS+,0.06665187237942657,0.06665187237942657,0.00902451521646569,-0.07567638759589224,0.20785793154214208,0.20666175929333824,0.5854803091645197,3,Safety-like,20,False,2,0.2938999999999999,11010,11010,++-+-
merged,18,202,0.018586676481413322,33,29,140,0,0.16336633663366337,0.14356435643564355,0.693069306930693,0.01980198019801982,ITI,ITI,0.10758899776617337,-0.044491594908478704,-0.06309740285769469,0.10758899776617337,0.20785793154214208,0.20666175929333824,0.5854803091645197,3,Safety-like,20,False,1,0.3291,10001,10001,+---+
merged,23,202,0.018586676481413322,35,35,132,0,0.17326732673267325,0.17326732673267325,0.6534653465346535,0.0,ITI,ITI,0.06798503737013384,-0.03459060480946882,-0.03339443256066499,0.06798503737013384,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,2,0.3230999999999999,1101,1101,-++-+
merged,10,200,0.01840264998159735,44,50,106,0,0.22,0.25,0.53,-0.03,ITI,CS-,0.04333824070666176,0.012142068457857924,0.04333824070666176,-0.055480309164519626,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,2,0.3207,10010,10010,+--+-
merged,27,176,0.016194331983805668,33,27,116,0,0.1875,0.1534090909090909,0.6590909090909091,0.03409090909090909,ITI,ITI,0.07361059992638941,-0.020357931542142077,-0.05325266838424733,0.07361059992638941,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,2,0.5196999999999999,1011,1011,-+-++
merged,6,161,0.014814133235185867,33,36,92,0,0.20496894409937888,0.2236024844720497,0.5714285714285714,-0.018633540372670815,ITI,CS-,0.016940725178711452,-0.0028889874427631967,0.016940725178711452,-0.014051737735948255,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,2,0.5184999999999998,10100,10100,+-+--
merged,7,125,0.011501656238498343,32,38,55,0,0.256,0.304,0.44,-0.04799999999999999,ITI,CS-,0.09733824070666175,0.04814206845785793,0.09733824070666175,-0.14548030916451965,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,2,0.8202999999999999,1100,1100,-++--
merged,26,124,0.011409642988590356,22,19,83,0,0.1774193548387097,0.1532258064516129,0.6693548387096774,0.02419354838709678,ITI,ITI,0.08387452954515773,-0.03043857670343239,-0.05343595284172534,0.08387452954515773,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,2,0.8246999999999999,10011,10011,+--++
merged,11,83,0.0076370997423629,26,19,38,0,0.3132530120481928,0.2289156626506024,0.4578313253012048,0.08433734939759038,ITI,CS+,0.1053950805060507,0.1053950805060507,0.022253903357264154,-0.12764898386331486,0.20785793154214208,0.20666175929333824,0.5854803091645197,1,Global off,1,False,2,1.2677,1010,1010,-+-+-
merged,22,69,0.006348914243651086,6,12,51,0,0.08695652173913043,0.17391304347826086,0.7391304347826086,-0.08695652173913043,ITI,ITI,0.153650125618089,-0.12090140980301164,-0.03274871581507738,0.153650125618089,0.20785793154214208,0.20666175929333824,0.5854803091645197,4,Global on,32,False,2,1.2733,10101,10101,+-+-+
HC,1,494,0.08698714562422961,97,82,315,0,0.19635627530364372,0.1659919028340081,0.6376518218623481,0.03036437246963561,ITI,ITI,0.05480272871214564,-0.01389200784479791,-0.04091072086734776,0.05480272871214564,0.21024828314844163,0.20690262370135587,0.5828490931502025,1,Global off,1,True,0,-1.2795,0,0,-----
