subset,clinical_variable,feature,n,spearman_rho,p_value,correction_method,p_corrected,reject_corrected,file_name,path,rank_in_file,sort_col,sort_value,formula,term,beta,t,r_squared,adj_r_squared,analysis,test,n_group1,n_group2,group1,group2,mean_group1,mean_group2,median_group1,median_group2,delta_mean_group1_minus_group2,statistic,cohen_d_group1_minus_group2,cliffs_delta_group1_minus_group2,task_scope,task,clinical_scope,matched_pattern,family,feature_task_scope,hypothesis,source,p_bonferroni,reject_bonferroni,p_holm,reject_holm,n_tests_in_scope,result_type,manuscript_note
PTSD,BDI,event_trial_type_onset__CSplus_freq_B3,24.0,-0.6466493214526947,0.0006390403886994,holm,0.0492061099298576,True,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,1,p_value,0.0006390403886994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,peripheral_to_major_rate,23.0,-0.6338218260678257,0.0011649049436411,holm,0.0896976806603709,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,2,p_value,0.0011649049436411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,peripheral_to_major_rate,23.0,-0.6338218260678257,0.0011649049436411,holm,0.0896976806603709,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,3,p_value,0.0011649049436411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,obs_freq_B2,23.0,-0.6333266527662101,0.0011785610369437,holm,0.0896976806603709,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,4,p_value,0.0011785610369437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,dyn_Frequency_of_B2,23.0,-0.6333266527662101,0.0011785610369437,holm,0.0896976806603709,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,5,p_value,0.0011785610369437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,dyn_Frequency_of_B2,23.0,-0.6333266527662101,0.0011785610369437,holm,0.0896976806603709,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,6,p_value,0.0011785610369437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,obs_freq_B2,23.0,-0.6333266527662101,0.0011785610369437,holm,0.0896976806603709,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,7,p_value,0.0011785610369437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BDI,event_trial_type_onset__CSplus_freq_B4,47.0,0.4578678575168867,0.0012116449546074,holm,0.0932966615047748,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,8,p_value,0.0012116449546074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,IUS,event_trial_type_hrf4__CSplus_freq_B1,24.0,0.6195438733673049,0.0012440849794363,holm,0.0957945434166022,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,9,p_value,0.0012440849794363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,major_to_peripheral_rate,23.0,-0.615995587209668,0.0017508918066761,holm,0.1295659936940372,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,10,p_value,0.0017508918066761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,major_to_peripheral_rate,23.0,-0.615995587209668,0.0017508918066761,holm,0.1295659936940372,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,11,p_value,0.0017508918066761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,event_trial_type_hrf2__CSplus_freq_B4,23.0,0.6061440868486988,0.0021708797231652,holm,0.1584742197910596,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,12,p_value,0.0021708797231652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,event_trial_type_hrf2__CSplus_freq_B4,23.0,0.6061440868486988,0.0021708797231652,holm,0.1584742197910596,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,13,p_value,0.0021708797231652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,BDI,event_trial_type_onset__CSplus_freq_B4,23.0,0.6004012819061231,0.0024529818253337,holm,0.1888796005507016,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,14,p_value,0.0024529818253337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,event_trial_type_onset__CSplus_freq_B3,23.0,-0.5968312852210506,0.002643525760428,holm,0.1903338547508231,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,15,p_value,0.002643525760428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,event_trial_type_onset__CSplus_freq_B3,23.0,-0.5968312852210506,0.002643525760428,holm,0.1903338547508231,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,16,p_value,0.002643525760428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,IUS,event_trial_type_onset__ITI_freq_B1,24.0,0.5816110139608744,0.0028723642174899,holm,0.218299680529236,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,17,p_value,0.0028723642174899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,IUS,event_trial_type_hrf4__ITI_freq_B4,24.0,0.5785522032187812,0.0030595428042211,holm,0.2294657103165829,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,18,p_value,0.0030595428042211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BDI,event_trial_type_onset__CSplus_freq_B3,47.0,-0.4129316838266568,0.0039186399402852,holm,0.2978166354616804,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,19,p_value,0.0039186399402852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,IUS,event_trial_type_hrf4__ITI_freq_B3,47.0,-0.4074711262293762,0.0044723074693395,holm,0.3443676751391476,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,20,p_value,0.0044723074693395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dyn_Direct_transitions_from_B2_to_B1,48.0,,0.0148723508560548,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,1,p_value,0.0148723508560548,dyn_Direct_transitions_from_B2_to_B1 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0119023557202221,-2.535083535481763,0.1438593243389858,0.0854860964530076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dyn_Frequency_of_B4,48.0,,0.0212285220732167,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,2,p_value,0.0212285220732167,dyn_Frequency_of_B4 ~ C(group) + age + C(sex),C(group)[T.PTSD],0.0266174925278459,2.3893803458918814,0.1305261030867903,0.071243791933617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,obs_freq_B4,48.0,,0.0212297084871743,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,3,p_value,0.0212297084871743,obs_freq_B4 ~ C(group) + age + C(sex),C(group)[T.PTSD],0.0266172924898244,2.3893570712658074,0.1305246488030663,0.0712422384941845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_hrf4__ITI_freq_B3,48.0,,0.0213512843821717,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,4,p_value,0.0213512843821717,event_trial_type_hrf4__ITI_freq_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0275875059217789,-2.386978229832775,0.1216537767833567,0.0617665342913129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dyn_Frequency_of_B3,48.0,,0.028063268416552,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,5,p_value,0.028063268416552,dyn_Frequency_of_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0254235289966328,-2.271464483434341,0.1110029491446062,0.0503895138590113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,obs_freq_B3,48.0,,0.0280634723547315,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,6,p_value,0.0280634723547315,obs_freq_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.025423404285738,-2.271461368010636,0.1110029932999774,0.0503895610249759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_hrf4__CSplus_freq_B3,48.0,,0.0333431397743271,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,7,p_value,0.0333431397743271,event_trial_type_hrf4__CSplus_freq_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0556607917078114,-2.196849972060261,0.1191228295108667,0.0590630224320621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_onset__ITI_freq_B4,48.0,,0.0370965499872001,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,8,p_value,0.0370965499872001,event_trial_type_onset__ITI_freq_B4 ~ C(group) + age + C(sex),C(group)[T.PTSD],0.034723075836114,2.149938231625492,0.1431816249991616,0.0847621903400136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_hrf4__ITI_freq_B4,48.0,,0.0375856516085268,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,9,p_value,0.0375856516085268,event_trial_type_hrf4__ITI_freq_B4 ~ C(group) + age + C(sex),C(group)[T.PTSD],0.0347163506768008,2.1441370082384363,0.1013415787827024,0.0400694136997049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_hrf2__ITI_freq_B3,48.0,,0.0381665084274405,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,10,p_value,0.0381665084274405,event_trial_type_hrf2__ITI_freq_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.034044673679105,-2.1373331545118384,0.1138541151850053,0.053435077583983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,state_entropy,48.0,,0.0407603612998952,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,11,p_value,0.0407603612998952,state_entropy ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0293096160544544,-2.1080183576598244,0.0936662129554833,0.0318707274751755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_onset__ITI_freq_B3,48.0,,0.0451725497872228,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,12,p_value,0.0451725497872228,event_trial_type_onset__ITI_freq_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0330508521449402,-2.0617134955828518,0.1109115351883575,0.0502918671330182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,within_peripheral_rate_including_stay,48.0,,0.046618928746103,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,13,p_value,0.046618928746103,within_peripheral_rate_including_stay ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0281374128614476,-2.047392725478785,0.1093429764153938,0.0486163611709888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,event_trial_type_hrf6__CSplus_freq_B3,48.0,,0.0508372649401057,holm,1.0,False,covariate_models_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_baseline_ela_5ROI/ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,14,p_value,0.0508372649401057,event_trial_type_hrf6__CSplus_freq_B3 ~ C(group) + age + C(sex),C(group)[T.PTSD],-0.0504489930931711,-2.007728231784499,0.0930091801494228,0.0311688969777925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
