cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,22,4,Global on,False,40,0.007043493572812115,-0.15000000000000002,0.05,0.2,0.75,ITI,0.1671509068497975,-0.16024828314844164,-0.006902623701355859,0.1671509068497975,10101,10101,+-+-+
HC,21,1,Global off,False,151,0.026589188237365734,-0.09271523178807947,0.1456953642384106,0.23841059602649006,0.6158940397350994,ITI,0.03304494658489687,-0.06455291891003104,0.03150797232513419,0.03304494658489687,101,101,--+-+
HC,2,1,Global off,False,261,0.04595879556259905,-0.06513409961685823,0.16091954022988506,0.2260536398467433,0.6130268199233716,ITI,0.0301777267731691,-0.04932874291855657,0.019151016145387417,0.0301777267731691,10000,10000,+----
HC,3,1,Global off,False,109,0.019193519985913014,-0.045871559633027525,0.1651376146788991,0.21100917431192662,0.6238532110091743,ITI,0.041004117858971845,-0.045110668469542536,0.004106550610570747,0.041004117858971845,1000,1000,-+---
HC,13,2,Threat-like,True,311,0.05476316252861419,-0.03858520900321544,0.2282958199356913,0.26688102893890675,0.5048231511254019,CS-,0.05997840523755088,0.018047536787249685,0.05997840523755088,-0.07802594202480062,110,110,--++-
HC,15,2,Threat-like,False,123,0.021658742736397254,-0.03252032520325204,0.25203252032520324,0.2845528455284553,0.4634146341463415,CS-,0.07765022182709941,0.04178423717676161,0.07765022182709941,-0.11943445900386102,1110,1110,-+++-
HC,25,1,Global off,False,106,0.018665257967952105,-0.028301886792452824,0.12264150943396226,0.1509433962264151,0.7264150943396226,ITI,0.1435660011894201,-0.08760677371447936,-0.05595922747494078,0.1435660011894201,11,11,---++
HC,5,1,Global off,False,197,0.03468920584609966,-0.02538071065989847,0.18781725888324874,0.2131979695431472,0.5989847715736041,ITI,0.016135678423401578,-0.02243102426519289,0.006295345841791339,0.016135678423401578,100,100,--+--
HC,11,1,Global off,False,42,0.007395668251452721,-0.02380952380952378,0.2619047619047619,0.2857142857142857,0.4523809523809524,CS-,0.07881166201292983,0.05165647875632029,0.07881166201292983,-0.13046814076925012,1010,1010,-+-+-
HC,32,4,Global on,True,478,0.08416974819510477,-0.023012552301255235,0.23221757322175732,0.25523012552301255,0.5125523012552301,CS-,0.04832750182165668,0.02196929007331569,0.04832750182165668,-0.0702967918949724,11111,11111,+++++
HC,16,4,Global on,False,229,0.040324000704349355,-0.021834061135371174,0.3056768558951965,0.32751091703056767,0.36681222707423583,CS-,0.1206082933292118,0.09542857274675487,0.1206082933292118,-0.21603686607596667,11110,11110,++++-
HC,10,1,Global off,False,134,0.023595703468920586,-0.014925373134328346,0.23134328358208955,0.2462686567164179,0.5223880597014925,CS-,0.03936603301506203,0.021095000433647926,0.03936603301506203,-0.06046103344871001,10010,10010,+--+-
HC,6,1,Global off,False,69,0.012150026413100899,-0.014492753623188415,0.17391304347826086,0.18840579710144928,0.6376811594202898,ITI,0.0548320662700873,-0.03633523967018076,-0.01849682659990659,0.0548320662700873,10100,10100,+-+--
HC,8,3,Safety-like,False,112,0.019721782003873922,-0.008928571428571452,0.25,0.25892857142857145,0.49107142857142855,CS-,0.05202594772721558,0.03975171685155837,0.05202594772721558,-0.09177766457877395,11100,11100,+++--
