cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,19,3,Safety-like,False,172,0.030287022363092095,0.08720930232558141,0.16279069767441862,0.0755813953488372,0.7616279069767442,ITI,0.1787788138265417,-0.04745758547402301,-0.13132122835251867,0.1787788138265417,1001,1001,-+--+
HC,22,4,Global on,False,40,0.007043493572812115,-0.15000000000000002,0.05,0.2,0.75,ITI,0.1671509068497975,-0.16024828314844164,-0.006902623701355859,0.1671509068497975,10101,10101,+-+-+
HC,17,1,Global off,False,232,0.04085226272231027,0.008620689655172403,0.1336206896551724,0.125,0.7413793103448276,ITI,0.15853021719462512,-0.07662759349326922,-0.08190262370135587,0.15853021719462512,1,1,----+
HC,25,1,Global off,False,106,0.018665257967952105,-0.028301886792452824,0.12264150943396226,0.1509433962264151,0.7264150943396226,ITI,0.1435660011894201,-0.08760677371447936,-0.05595922747494078,0.1435660011894201,11,11,---++
HC,20,3,Safety-like,True,317,0.05581968656453601,0.012618296529968459,0.14511041009463724,0.13249211356466878,0.722397476340694,ITI,0.13954838319049145,-0.06513787305380439,-0.07441051013668709,0.13954838319049145,11001,11001,++--+
HC,16,4,Global on,False,229,0.040324000704349355,-0.021834061135371174,0.3056768558951965,0.32751091703056767,0.36681222707423583,CS-,0.1206082933292118,0.09542857274675487,0.1206082933292118,-0.21603686607596667,11110,11110,++++-
HC,14,2,Threat-like,False,182,0.032047895756295124,0.027472527472527486,0.3076923076923077,0.2802197802197802,0.41208791208791207,CS+,0.09744402454386608,0.09744402454386608,0.07331715651842435,-0.17076118106229043,10110,10110,+-++-
HC,27,4,Global on,False,79,0.013910899806303927,0.05063291139240508,0.189873417721519,0.13924050632911392,0.6708860759493671,ITI,0.08803698279916461,-0.020374865426922628,-0.06766211737224195,0.08803698279916461,1011,1011,-+-++
HC,30,4,Global on,False,108,0.01901743264659271,0.18518518518518517,0.2962962962962963,0.1111111111111111,0.5925925925925926,CS+,0.08604801314785465,0.08604801314785465,-0.09579151259024477,0.009743499442390058,10111,10111,+-+++
HC,24,4,Global on,False,153,0.02694136291600634,0.0326797385620915,0.1830065359477124,0.1503267973856209,0.6666666666666666,ITI,0.08381757351646413,-0.02724174720072922,-0.05657582631573496,0.08381757351646413,11101,11101,+++-+
HC,23,4,Global on,False,123,0.021658742736397254,-0.008130081300813025,0.16260162601626016,0.17073170731707318,0.6666666666666666,ITI,0.08381757351646413,-0.04764665713218147,-0.036170916384282686,0.08381757351646413,1101,1101,-++-+
HC,18,3,Safety-like,False,120,0.021130480718436345,0.06666666666666668,0.2,0.13333333333333333,0.6666666666666666,ITI,0.08381757351646413,-0.010248283148441617,-0.07356929036802254,0.08381757351646413,10001,10001,+---+
