cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,9,1,26,1,1,ITI,ITI,140,0.18571428571428572,15,24,0.625,Global off,Global off
HC,6,1,12,1,1,ITI,ITI,66,0.18181818181818182,10,24,0.4166666666666667,Global off,Global off
HC,20,32,43,3,4,ITI,ITI,256,0.16796875,21,24,0.875,Safety-like,Global on
HC,24,32,24,4,4,ITI,ITI,143,0.16783216783216784,16,24,0.6666666666666666,Global on,Global on
HC,28,32,28,4,4,ITI,ITI,176,0.1590909090909091,13,24,0.5416666666666666,Global on,Global on
HC,31,32,36,4,4,ITI,ITI,232,0.15517241379310345,20,24,0.8333333333333334,Global on,Global on
HC,15,13,17,2,2,CS-,ITI,110,0.15454545454545454,12,24,0.5,Threat-like,Threat-like
HC,27,19,11,4,3,ITI,ITI,73,0.1506849315068493,6,24,0.25,Global on,Safety-like
HC,3,1,15,1,1,ITI,CS+,105,0.14285714285714285,10,24,0.4166666666666667,Global off,Global off
HC,5,1,24,1,1,ITI,ITI,174,0.13793103448275862,15,24,0.625,Global off,Global off
HC,27,32,10,4,4,ITI,CS+,73,0.136986301369863,6,24,0.25,Global on,Global on
HC,14,13,23,2,2,ITI,ITI,171,0.13450292397660818,15,24,0.625,Threat-like,Threat-like
HC,7,1,9,1,1,CS+,ITI,69,0.13043478260869565,6,24,0.25,Global off,Global off
HC,19,20,20,3,3,ITI,ITI,157,0.12738853503184713,13,24,0.5416666666666666,Safety-like,Safety-like
HC,28,20,22,4,3,ITI,ITI,176,0.125,15,24,0.625,Global on,Safety-like
HC,26,1,8,4,1,ITI,ITI,64,0.125,7,24,0.2916666666666667,Global on,Global off
HC,2,1,28,1,1,ITI,ITI,233,0.12017167381974249,16,24,0.6666666666666666,Global off,Global off
HC,23,31,13,4,4,ITI,ITI,111,0.11711711711711711,11,24,0.4583333333333333,Global on,Global on
HC,23,32,13,4,4,ITI,ITI,111,0.11711711711711711,9,24,0.375,Global on,Global on
HC,18,32,13,3,4,ITI,ITI,112,0.11607142857142858,7,24,0.2916666666666667,Safety-like,Global on
HC,8,4,12,3,3,CS+,CS+,107,0.11214953271028037,9,24,0.375,Safety-like,Safety-like
HC,26,17,7,4,1,CS+,CS+,64,0.109375,5,24,0.20833333333333334,Global on,Global off
HC,5,13,19,1,2,ITI,ITI,174,0.10919540229885058,10,24,0.4166666666666667,Global off,Threat-like
HC,15,32,12,2,4,ITI,ITI,110,0.10909090909090909,11,24,0.4583333333333333,Threat-like,Global on
HC,6,2,7,1,1,ITI,ITI,66,0.10606060606060606,5,24,0.20833333333333334,Global off,Global off
HC,14,1,18,2,1,CS-,ITI,171,0.10526315789473684,11,24,0.4583333333333333,Threat-like,Global off
HC,13,14,27,2,2,ITI,ITI,259,0.10424710424710425,16,24,0.6666666666666666,Threat-like,Threat-like
HC,7,5,7,1,1,CS+,ITI,69,0.10144927536231885,7,24,0.2916666666666667,Global off,Global off
HC,9,13,14,1,2,ITI,ITI,140,0.1,12,24,0.5,Global off,Threat-like
HC,12,1,12,3,1,ITI,ITI,121,0.09917355371900827,8,24,0.3333333333333333,Safety-like,Global off
HC,25,1,10,1,1,ITI,ITI,101,0.09900990099009901,9,24,0.375,Global off,Global off
HC,25,29,10,1,2,ITI,ITI,101,0.09900990099009901,7,24,0.2916666666666667,Global off,Threat-like
HC,18,1,11,3,1,ITI,ITI,112,0.09821428571428571,10,24,0.4166666666666667,Safety-like,Global off
HC,16,32,20,4,4,ITI,CS+,204,0.09803921568627451,14,24,0.5833333333333334,Global on,Global on
HC,17,20,20,1,3,ITI,ITI,206,0.0970873786407767,16,24,0.6666666666666666,Global off,Safety-like
HC,29,32,20,2,4,ITI,CS-,207,0.0966183574879227,15,24,0.625,Threat-like,Global on
HC,13,1,25,2,1,ITI,ITI,259,0.09652509652509653,15,24,0.625,Threat-like,Global off
HC,19,32,15,3,4,ITI,ITI,157,0.09554140127388536,11,24,0.4583333333333333,Safety-like,Global on
HC,8,1,10,3,1,ITI,ITI,107,0.09345794392523364,7,24,0.2916666666666667,Safety-like,Global off
HC,24,20,13,4,3,ITI,ITI,143,0.09090909090909091,10,24,0.4166666666666667,Global on,Safety-like
HC,12,4,11,3,3,CS-,CS+,121,0.09090909090909091,5,24,0.20833333333333334,Safety-like,Safety-like
HC,2,4,21,1,3,ITI,ITI,233,0.09012875536480687,11,24,0.4583333333333333,Global off,Safety-like
HC,17,32,18,1,4,ITI,ITI,206,0.08737864077669903,12,24,0.5,Global off,Global on
HC,20,28,22,3,4,ITI,ITI,256,0.0859375,13,24,0.5416666666666666,Safety-like,Global on
HC,30,20,9,4,3,ITI,ITI,106,0.08490566037735849,8,24,0.3333333333333333,Global on,Safety-like
HC,30,32,9,4,4,ITI,ITI,106,0.08490566037735849,8,24,0.3333333333333333,Global on,Global on
HC,10,1,11,1,1,ITI,ITI,130,0.08461538461538462,9,24,0.375,Global off,Global off
HC,29,1,17,2,1,ITI,ITI,207,0.0821256038647343,13,24,0.5416666666666666,Threat-like,Global off
