category,file_name,relative_path,size_bytes,modified_time_epoch
feature,J_parameters_long.csv,ELA_features/J_parameters_long.csv,280,1777573820.3654497
feature,basin_graph.csv,ELA_features/basin_graph.csv,301,1777573820.6525152
feature,basin_metadata.csv,ELA_features/basin_metadata.csv,90,1777573820.3058176
feature,basin_metadata_with_members.csv,ELA_features/basin_metadata_with_members.csv,235,1777573820.3149009
feature,basin_occupancy_long.csv,ELA_features/basin_occupancy_long.csv,9234,1777573820.5875113
feature,basin_role_map.csv,ELA_features/basin_role_map.csv,300,1777573820.3208964
feature,branch_lengths.csv,ELA_features/branch_lengths.csv,795,1777573820.419755
feature,direct_transition_long.csv,ELA_features/direct_transition_long.csv,22989,1777573820.4777334
feature,disconnectivity_numeric.csv,ELA_features/disconnectivity_numeric.csv,2061,1777573820.4107513
feature,dwell_events_long.csv,ELA_features/dwell_events_long.csv,183276,1777573820.5794868
feature,dynamics_frequency_long.csv,ELA_features/dynamics_frequency_long.csv,6727,1777573820.4497569
feature,empirical_mfpt_long.csv,ELA_features/empirical_mfpt_long.csv,32030,1777573820.6284866
feature,event_basin_occupancy_long.csv,ELA_features/event_basin_occupancy_long.csv,194815,1777573820.7485049
feature,event_state_occupancy_long.csv,ELA_features/event_state_occupancy_long.csv,846580,1777573820.806487
feature,event_subject_features.csv,ELA_features/event_subject_features.csv,157001,1777573820.6734872
feature,event_subject_features_long.csv,ELA_features/event_subject_features_long.csv,282873,1777573820.727487
feature,event_transition_long.csv,ELA_features/event_transition_long.csv,938291,1777573820.8795128
feature,group_comparison_stats_mergeExtinction.csv,ELA_features/group_comparison_stats_mergeExtinction.csv,68861,1777573822.1526256
feature,h_parameters.csv,ELA_features/h_parameters.csv,61,1777573820.3279014
feature,indirect_transition_long.csv,ELA_features/indirect_transition_long.csv,26427,1777573820.5004876
feature,landscape_features.csv,ELA_features/landscape_features.csv,427,1777573820.426753
feature,local_minima_features.csv,ELA_features/local_minima_features.csv,225,1777573820.4027534
feature,minima_transition_long.csv,ELA_features/minima_transition_long.csv,41406,1777573820.619487
feature,model_summary.json,ELA_features/model_summary.json,6628,1777573820.8974864
feature,node_strength.csv,ELA_features/node_strength.csv,424,1777573820.3904922
feature,observed_transition_long.csv,ELA_features/observed_transition_long.csv,54768,1777573820.6104863
feature,pre_during_post_sankey_edges.csv,ELA_features/pre_during_post_sankey_edges.csv,13694,1777573820.8864908
feature,sankey_edges_basin.csv,ELA_features/sankey_edges_basin.csv,680,1777573820.634487
feature,state_energy_table.csv,ELA_features/state_energy_table.csv,1444,1777573820.508487
feature,state_occupancy_long.csv,ELA_features/state_occupancy_long.csv,66638,1777573820.5994873
feature,state_space_edges_hamming1.csv,ELA_features/state_space_edges_hamming1.csv,4951,1777573820.6474876
feature,state_space_nodes.csv,ELA_features/state_space_nodes.csv,1444,1777573820.6404886
feature,subject_features_whole_run.csv,ELA_features/subject_features_whole_run.csv,73551,1777573820.5274873
feature,summary_all_features.csv,ELA_features/summary_all_features.csv,229525,1777573820.5604873
feature,summary_long_by_group_task.csv,ELA_features/summary_long_by_group_task.csv,92244,1777573821.4384859
feature,total_transition_long.csv,ELA_features/total_transition_long.csv,23009,1777573820.4904785
feature,J_parameters_long.csv,ELA_features_trialblock/J_parameters_long.csv,280,1778393397.4348843
feature,basin_graph.csv,ELA_features_trialblock/basin_graph.csv,301,1778393397.7138493
feature,basin_metadata.csv,ELA_features_trialblock/basin_metadata.csv,90,1778393397.333763
feature,basin_metadata_with_members.csv,ELA_features_trialblock/basin_metadata_with_members.csv,235,1778393397.359796
feature,basin_occupancy_long.csv,ELA_features_trialblock/basin_occupancy_long.csv,9234,1778393397.6198885
feature,basin_role_map.csv,ELA_features_trialblock/basin_role_map.csv,300,1778393397.3917954
feature,branch_lengths.csv,ELA_features_trialblock/branch_lengths.csv,795,1778393397.4668777
feature,direct_transition_long.csv,ELA_features_trialblock/direct_transition_long.csv,22989,1778393397.4868805
feature,disconnectivity_numeric.csv,ELA_features_trialblock/disconnectivity_numeric.csv,2061,1778393397.4588768
feature,dwell_events_long.csv,ELA_features_trialblock/dwell_events_long.csv,183276,1778393397.5758798
feature,dynamics_frequency_long.csv,ELA_features_trialblock/dynamics_frequency_long.csv,6727,1778393397.478878
feature,empirical_mfpt_long.csv,ELA_features_trialblock/empirical_mfpt_long.csv,30997,1778393397.68785
feature,epoch_basin_occupancy_long.csv,ELA_features_trialblock/epoch_basin_occupancy_long.csv,52108,1778393397.9523952
feature,epoch_state_occupancy_long.csv,ELA_features_trialblock/epoch_state_occupancy_long.csv,204684,1778393397.9740865
feature,epoch_subject_features_long.csv,ELA_features_trialblock/epoch_subject_features_long.csv,101409,1778393397.9393942
feature,epoch_transition_long.csv,ELA_features_trialblock/epoch_transition_long.csv,245044,1778393397.9990866
feature,event_basin_occupancy_long.csv,ELA_features_trialblock/event_basin_occupancy_long.csv,149657,1778393397.8094633
feature,event_state_occupancy_long.csv,ELA_features_trialblock/event_state_occupancy_long.csv,626668,1778393397.8584633
feature,event_subject_features.csv,ELA_features_trialblock/event_subject_features.csv,182035,1778393397.7354634
feature,event_subject_features_long.csv,ELA_features_trialblock/event_subject_features_long.csv,293805,1778393397.7904658
feature,event_transition_long.csv,ELA_features_trialblock/event_transition_long.csv,715740,1778393397.9104636
feature,group_comparison_stats.csv,ELA_features_trialblock/group_comparison_stats.csv,85654,1778393399.5651047
feature,group_comparison_stats_by_task.csv,ELA_features_trialblock/group_comparison_stats_by_task.csv,89388,1778393400.5210755
feature,h_parameters.csv,ELA_features_trialblock/h_parameters.csv,61,1778393397.4168816
feature,indirect_transition_long.csv,ELA_features_trialblock/indirect_transition_long.csv,26427,1778393397.5038774
feature,landscape_features.csv,ELA_features_trialblock/landscape_features.csv,427,1778393397.4728773
feature,local_minima_features.csv,ELA_features_trialblock/local_minima_features.csv,225,1778393397.452878
feature,minima_transition_long.csv,ELA_features_trialblock/minima_transition_long.csv,41406,1778393397.6768503
feature,model_summary.json,ELA_features_trialblock/model_summary.json,7769,1778393398.0080857
feature,node_strength.csv,ELA_features_trialblock/node_strength.csv,424,1778393397.4458776
feature,observed_transition_long.csv,ELA_features_trialblock/observed_transition_long.csv,54768,1778393397.6678529
feature,pre_during_post_sankey_edges.csv,ELA_features_trialblock/pre_during_post_sankey_edges.csv,13694,1778393397.917464
feature,sankey_edges_basin.csv,ELA_features_trialblock/sankey_edges_basin.csv,680,1778393397.69485
feature,state_energy_table.csv,ELA_features_trialblock/state_energy_table.csv,1444,1778393397.5118778
feature,state_occupancy_long.csv,ELA_features_trialblock/state_occupancy_long.csv,66638,1778393397.6558523
feature,state_space_edges_hamming1.csv,ELA_features_trialblock/state_space_edges_hamming1.csv,4951,1778393397.707849
feature,state_space_nodes.csv,ELA_features_trialblock/state_space_nodes.csv,1444,1778393397.70085
feature,subject_features_whole_run.csv,ELA_features_trialblock/subject_features_whole_run.csv,81111,1778393397.5268798
feature,summary_all_features.csv,ELA_features_trialblock/summary_all_features.csv,262119,1778393397.5568767
