state,basin,basin_label,local_minimum_state,is_local_minimum,binary_01,hamming_to_min
1,1,B1,1,True,00000,0
2,1,B1,1,False,10000,1
3,1,B1,1,False,01000,1
5,1,B1,1,False,00100,1
6,1,B1,1,False,10100,2
7,1,B1,1,False,01100,2
9,1,B1,1,False,00010,1
10,1,B1,1,False,10010,2
11,1,B1,1,False,01010,2
17,1,B1,1,False,00001,1
13,2,B2,13,True,00110,0
14,2,B2,13,False,10110,1
15,2,B2,13,False,01110,1
21,2,B2,13,False,00101,2
25,2,B2,13,False,00011,2
29,2,B2,13,False,00111,1
4,3,B3,20,False,11000,1
8,3,B3,20,False,11100,2
12,3,B3,20,False,11010,2
18,3,B3,20,False,10001,1
19,3,B3,20,False,01001,1
20,3,B3,20,True,11001,0
16,4,B4,32,False,11110,1
22,4,B4,32,False,10101,2
23,4,B4,32,False,01101,2
24,4,B4,32,False,11101,1
26,4,B4,32,False,10011,2
27,4,B4,32,False,01011,2
28,4,B4,32,False,11011,1
30,4,B4,32,False,10111,1
31,4,B4,32,False,01111,1
32,4,B4,32,True,11111,0
