state,binary_01,sigma_pattern,basin,basin_label,local_minimum_state,is_local_minimum,hamming_to_min,neighbors_json,energy,roi1_name,roi1_bit,roi1_sigma,roi2_name,roi2_bit,roi2_sigma,roi3_name,roi3_bit,roi3_sigma,roi4_name,roi4_bit,roi4_sigma,roi5_name,roi5_bit,roi5_sigma
1,00000,-----,1,B1,1,True,0,"[2, 3, 5, 9, 17]",-1.3428999999999998,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,dACC,0,-1,vmPFC,0,-1
2,10000,+----,1,B1,1,False,1,"[1, 4, 6, 10, 18]",-0.5489000000000002,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,dACC,0,-1,vmPFC,0,-1
17,00001,----+,1,B1,1,False,1,"[18, 19, 21, 25, 1]",-0.41550000000000004,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,dACC,0,-1,vmPFC,1,1
5,00100,--+--,1,B1,1,False,1,"[6, 7, 1, 13, 21]",-0.37210000000000015,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,dACC,0,-1,vmPFC,0,-1
9,00010,---+-,1,B1,1,False,1,"[10, 11, 13, 1, 25]",-0.1860999999999999,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,dACC,1,1,vmPFC,0,-1
3,01000,-+---,1,B1,1,False,1,"[4, 1, 7, 11, 19]",0.1661000000000001,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,dACC,0,-1,vmPFC,0,-1
10,10010,+--+-,1,B1,1,False,2,"[9, 12, 14, 2, 26]",0.2623,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,dACC,1,1,vmPFC,0,-1
6,10100,+-+--,1,B1,1,False,2,"[5, 8, 2, 14, 22]",0.6515000000000001,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,dACC,0,-1,vmPFC,0,-1
7,01100,-++--,1,B1,1,False,2,"[8, 5, 3, 15, 23]",0.7745,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,dACC,0,-1,vmPFC,0,-1
11,01010,-+-+-,1,B1,1,False,2,"[12, 9, 15, 3, 27]",1.3957000000000002,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,dACC,1,1,vmPFC,0,-1
13,00110,--++-,2,B2,13,True,0,"[14, 15, 9, 5, 29]",-0.7972999999999998,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,dACC,1,1,vmPFC,0,-1
29,00111,--+++,2,B2,13,False,1,"[30, 31, 25, 21, 13]",-0.5443,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,dACC,1,1,vmPFC,1,1
14,10110,+-++-,2,B2,13,False,1,"[13, 16, 10, 6, 30]",-0.11930000000000004,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,dACC,1,1,vmPFC,0,-1
15,01110,-+++-,2,B2,13,False,1,"[16, 13, 11, 7, 31]",0.4221000000000001,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,dACC,1,1,vmPFC,0,-1
25,00011,---++,2,B2,13,False,2,"[26, 27, 29, 17, 9]",0.28770000000000007,Amygdala,0,-1,Hippocampus,0,-1,Insula,0,-1,dACC,1,1,vmPFC,1,1
21,00101,--+-+,2,B2,13,False,2,"[22, 23, 17, 29, 5]",0.3345,Amygdala,0,-1,Hippocampus,0,-1,Insula,1,1,dACC,0,-1,vmPFC,1,1
20,11001,++--+,3,B3,20,True,0,"[19, 18, 24, 28, 4]",-0.7948999999999998,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,dACC,0,-1,vmPFC,1,1
4,11000,++---,3,B3,20,False,1,"[3, 2, 8, 12, 20]",-0.5475000000000001,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,dACC,0,-1,vmPFC,0,-1
19,01001,-+--+,3,B3,20,False,1,"[20, 17, 23, 27, 3]",-0.12330000000000005,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,dACC,0,-1,vmPFC,1,1
18,10001,+---+,3,B3,20,False,1,"[17, 20, 22, 26, 2]",0.42050000000000004,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,dACC,0,-1,vmPFC,1,1
8,11100,+++--,3,B3,20,False,2,"[7, 6, 4, 16, 24]",0.2905000000000001,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,dACC,0,-1,vmPFC,0,-1
12,11010,++-+-,3,B3,20,False,2,"[11, 10, 16, 4, 28]",0.3365,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,dACC,1,1,vmPFC,0,-1
32,11111,+++++,4,B4,32,True,0,"[31, 30, 28, 24, 16]",-1.3293,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,dACC,1,1,vmPFC,1,1
31,01111,-++++,4,B4,32,False,1,"[32, 29, 27, 23, 15]",-0.5417000000000001,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,dACC,1,1,vmPFC,1,1
16,11110,++++-,4,B4,32,False,1,"[15, 14, 12, 8, 32]",-0.40750000000000003,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,dACC,1,1,vmPFC,0,-1
28,11011,++-++,4,B4,32,False,1,"[27, 26, 32, 20, 12]",-0.3645000000000001,Amygdala,1,1,Hippocampus,1,1,Insula,0,-1,dACC,1,1,vmPFC,1,1
24,11101,+++-+,4,B4,32,False,1,"[23, 22, 20, 32, 8]",-0.17769999999999989,Amygdala,1,1,Hippocampus,1,1,Insula,1,1,dACC,0,-1,vmPFC,1,1
30,10111,+-+++,4,B4,32,False,1,"[29, 32, 26, 22, 14]",0.1757000000000001,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,dACC,1,1,vmPFC,1,1
23,01101,-++-+,4,B4,32,False,2,"[24, 21, 19, 31, 7]",0.2643,Amygdala,0,-1,Hippocampus,1,1,Insula,1,1,dACC,0,-1,vmPFC,1,1
27,01011,-+-++,4,B4,32,False,2,"[28, 25, 31, 19, 11]",0.6527000000000002,Amygdala,0,-1,Hippocampus,1,1,Insula,0,-1,dACC,1,1,vmPFC,1,1
26,10011,+--++,4,B4,32,False,2,"[25, 28, 30, 18, 10]",0.7781,Amygdala,1,1,Hippocampus,0,-1,Insula,0,-1,dACC,1,1,vmPFC,1,1
22,10101,+-+-+,4,B4,32,False,2,"[21, 24, 18, 30, 6]",1.4001000000000001,Amygdala,1,1,Hippocampus,0,-1,Insula,1,1,dACC,0,-1,vmPFC,1,1
