cohort,basin,basin_label_readable,occupancy,n_states_occupied,count_CSplus,count_CSminus,count_ITI,prop_CSplus,prop_CSminus,prop_ITI,cs_delta
HC,1,Global off,834,10,182,144,508,0.2182254196642686,0.17266187050359713,0.6091127098321343,0.04556354916067146
HC,2,Threat-like,480,6,142,104,234,0.29583333333333334,0.21666666666666667,0.4875,0.07916666666666666
HC,3,Safety-like,528,6,87,103,338,0.16477272727272727,0.19507575757575757,0.6401515151515151,-0.030303030303030304
HC,4,Global on,791,10,166,183,442,0.20986093552465235,0.23135271807838179,0.5587863463969659,-0.021491782553729438
PTSD,1,Global off,862,10,200,171,491,0.23201856148491878,0.19837587006960558,0.5696055684454756,0.0336426914153132
PTSD,2,Threat-like,469,6,128,96,245,0.27292110874200426,0.2046908315565032,0.5223880597014925,0.06823027718550106
PTSD,3,Safety-like,483,6,69,82,332,0.14285714285714285,0.16977225672877846,0.6873706004140787,-0.026915113871635615
PTSD,4,Global on,842,10,153,190,499,0.18171021377672208,0.22565320665083136,0.5926365795724465,-0.04394299287410927
merged,1,Global off,1696,10,382,315,999,0.22523584905660377,0.1857311320754717,0.5890330188679245,0.03950471698113206
merged,2,Threat-like,949,6,270,200,479,0.2845100105374078,0.2107481559536354,0.5047418335089568,0.07376185458377241
merged,3,Safety-like,1011,6,156,185,670,0.1543026706231454,0.18298714144411474,0.6627101879327398,-0.028684470820969338
merged,4,Global on,1633,10,319,373,941,0.19534598897734232,0.22841396203306796,0.5762400489895897,-0.03306797305572565
