state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
27,4,Global on,False,0.07142857142857142,-0.25806451612903225,0.32949308755760365,0.01581325301204819,0.011773642233194076,0.004039610778854116,42,31,11,ITI,ITI,1011,1011,-+-++,0.13440860215053763,-0.19508448540706608,0.06067588325652851,0.04873879765624667,0.32949308755760365
30,4,Global on,False,-0.23809523809523808,0.0,-0.23809523809523808,0.02371987951807229,0.017470565894417017,0.006249313623655273,63,46,17,CS-,CS-,10111,10111,+-+++,-0.11801242236024845,0.12008281573498963,-0.0020703933747412417,0.11995655108657449,0.23809523809523808
29,2,Threat-like,False,0.0697674418604651,-0.12871287128712872,0.19848031314759382,0.048569277108433735,0.038359285985567794,0.010209991122865941,129,101,28,CS+,CS-,111,111,--+++,0.05434031775270551,-0.1441399953948883,0.08979967764218277,-0.07864038444789859,0.19848031314759382
22,4,Global on,False,-0.09090909090909091,0.08,-0.1709090909090909,0.004141566265060241,0.0094948727687049,-0.0053533065036446585,11,25,-14,ITI,ITI,10101,10101,+-+-+,-0.06909090909090909,0.10181818181818182,-0.032727272727272716,-0.044664358327554554,0.1709090909090909
13,2,Threat-like,True,0.06569343065693431,0.23170731707317074,-0.16601388641623643,0.05158132530120482,0.06228636536270414,-0.010705040061499319,137,164,-27,CS+,CS+,110,110,--++-,-0.08977212034894072,0.07624176606729571,0.013530354281645007,-0.07770877010024368,0.16601388641623643
11,1,Global off,False,0.2222222222222222,0.0625,0.1597222222222222,0.00677710843373494,0.0060767185719711354,0.0007003898617638045,18,16,2,CS+,CS+,1010,1010,-+-+-,0.19444444444444442,0.03472222222222221,-0.22916666666666669,0.20650779469314146,0.1597222222222222
3,1,Global off,False,-0.01999999999999999,0.13207547169811323,-0.15207547169811322,0.01882530120481928,0.020129130269654388,-0.001303829064835109,50,53,-3,ITI,ITI,1000,1000,-+---,-0.06754716981132075,0.08452830188679246,-0.016981132075471694,-0.028918217675753533,0.15207547169811322
28,4,Global on,False,-0.12987012987012986,0.0,-0.12987012987012986,0.028990963855421686,0.03304215723509305,-0.004051193379671365,77,87,-10,ITI,ITI,11011,11011,++-++,-0.06702492909389461,0.06284520077623526,0.004179728317659337,-0.007757357282622501,0.12987012987012986
19,3,Safety-like,False,-0.1139240506329114,0.0,-0.1139240506329114,0.029743975903614456,0.03494113178883403,-0.005197155885219577,79,92,-13,ITI,ITI,1001,1001,-+--+,-0.10883324160704456,0.005090809025866838,0.10374243258117777,0.09180534698089593,0.1139240506329114
18,3,Safety-like,False,0.022727272727272735,-0.0816326530612245,0.10435992578849723,0.016566265060240965,0.0186099506266616,-0.002043685566420636,44,49,-5,ITI,ITI,10001,10001,+---+,0.038961038961038974,-0.06539888682745826,0.02643784786641923,0.01450076226613739,0.10435992578849723
