source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
11,32,1.0,4.0,Global off,Global on,5.0,17.0,0.29411764705882354,5.0,0.20833333333333334,CS+,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,5.0,0.29411764705882354,5.0,0.20833333333333334,0.29411764705882354
6,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,5.0,26.0,0.19230769230769232,5.0,0.20833333333333334,ITI,ITI,1.0,1.0,Global off,Global off,-5.0,-0.19230769230769232,-5.0,-0.20833333333333334,0.19230769230769232
9,1,1.0,1.0,Global off,Global off,12.0,74.0,0.16216216216216217,10.0,0.4166666666666667,CS-,CS+,1.0,1.0,Global off,Global off,21.0,60.0,0.35,13.0,0.5416666666666666,ITI,ITI,1.0,1.0,Global off,Global off,-9.0,-0.1878378378378378,-3.0,-0.12499999999999994,0.1878378378378378
22,23,4.0,4.0,Global on,Global on,2.0,10.0,0.2,2.0,0.08333333333333333,CS+,CS-,4.0,4.0,Global on,Global on,1.0,25.0,0.04,1.0,0.041666666666666664,ITI,ITI,4.0,4.0,Global on,Global on,1.0,0.16,1.0,0.041666666666666664,0.16
10,1,1.0,1.0,Global off,Global off,9.0,38.0,0.23684210526315788,8.0,0.3333333333333333,ITI,ITI,1.0,1.0,Global off,Global off,4.0,45.0,0.08888888888888889,4.0,0.16666666666666666,ITI,CS-,1.0,1.0,Global off,Global off,5.0,0.147953216374269,4.0,0.16666666666666666,0.147953216374269
10,2,1.0,1.0,Global off,Global off,3.0,38.0,0.07894736842105263,3.0,0.125,CS+,CS+,1.0,1.0,Global off,Global off,10.0,45.0,0.2222222222222222,7.0,0.2916666666666667,CS+,ITI,1.0,1.0,Global off,Global off,-7.0,-0.14327485380116958,-4.0,-0.16666666666666669,0.14327485380116958
15,5,2.0,1.0,Threat-like,Global off,4.0,30.0,0.13333333333333333,3.0,0.125,ITI,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1.0,Threat-like,Global off,4.0,0.13333333333333333,3.0,0.125,0.13333333333333333
18,1,3.0,1.0,Safety-like,Global off,10.0,42.0,0.23809523809523808,8.0,0.3333333333333333,ITI,ITI,3.0,1.0,Safety-like,Global off,5.0,47.0,0.10638297872340426,4.0,0.16666666666666666,ITI,ITI,3.0,1.0,Safety-like,Global off,5.0,0.13171225937183384,4.0,0.16666666666666666,0.13171225937183384
11,12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,16.0,0.125,2.0,0.08333333333333333,CS+,ITI,1.0,3.0,Global off,Safety-like,-2.0,-0.125,-2.0,-0.08333333333333333,0.125
22,19,4.0,3.0,Global on,Safety-like,2.0,10.0,0.2,2.0,0.08333333333333333,ITI,ITI,4.0,3.0,Global on,Safety-like,2.0,25.0,0.08,2.0,0.08333333333333333,ITI,ITI,4.0,3.0,Global on,Safety-like,0.0,0.12000000000000001,0.0,0.0,0.12000000000000001
22,18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,3.0,Global on,Safety-like,3.0,25.0,0.12,3.0,0.125,ITI,ITI,4.0,3.0,Global on,Safety-like,-3.0,-0.12,-3.0,-0.125,0.12
24,32,4.0,4.0,Global on,Global on,21.0,70.0,0.3,13.0,0.5416666666666666,ITI,ITI,4.0,4.0,Global on,Global on,10.0,55.0,0.18181818181818182,8.0,0.3333333333333333,ITI,ITI,4.0,4.0,Global on,Global on,11.0,0.11818181818181817,5.0,0.20833333333333331,0.11818181818181817
14,5,2.0,1.0,Threat-like,Global off,3.0,71.0,0.04225352112676056,3.0,0.125,CS+,CS+,2.0,1.0,Threat-like,Global off,12.0,76.0,0.15789473684210525,8.0,0.3333333333333333,CS+,ITI,2.0,1.0,Threat-like,Global off,-9.0,-0.11564121571534469,-5.0,-0.20833333333333331,0.11564121571534469
27,13,4.0,2.0,Global on,Threat-like,1.0,38.0,0.02631578947368421,1.0,0.041666666666666664,ITI,CS+,4.0,2.0,Global on,Threat-like,4.0,30.0,0.13333333333333333,4.0,0.16666666666666666,ITI,ITI,4.0,2.0,Global on,Threat-like,-3.0,-0.10701754385964912,-3.0,-0.125,0.10701754385964912
18,13,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,2.0,Safety-like,Threat-like,5.0,47.0,0.10638297872340426,4.0,0.16666666666666666,ITI,CS+,3.0,2.0,Safety-like,Threat-like,-5.0,-0.10638297872340426,-4.0,-0.16666666666666666,0.10638297872340426
19,32,3.0,4.0,Safety-like,Global on,9.0,69.0,0.13043478260869565,7.0,0.2916666666666667,ITI,ITI,3.0,4.0,Safety-like,Global on,2.0,81.0,0.024691358024691357,2.0,0.08333333333333333,CS+,CS+,3.0,4.0,Safety-like,Global on,7.0,0.10574342458400429,5.0,0.20833333333333337,0.10574342458400429
22,3,4.0,1.0,Global on,Global off,1.0,10.0,0.1,1.0,0.041666666666666664,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,1.0,0.1,1.0,0.041666666666666664,0.1
6,5,1.0,1.0,Global off,Global off,3.0,30.0,0.1,2.0,0.08333333333333333,ITI,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,0.1,2.0,0.08333333333333333,0.1
3,31,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,5.0,50.0,0.1,2.0,0.08333333333333333,ITI,ITI,1.0,4.0,Global off,Global on,-5.0,-0.1,-2.0,-0.08333333333333333,0.1
27,19,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,3.0,Global on,Safety-like,3.0,30.0,0.1,2.0,0.08333333333333333,ITI,ITI,4.0,3.0,Global on,Safety-like,-3.0,-0.1,-2.0,-0.08333333333333333,0.1
12,16,3.0,4.0,Safety-like,Global on,1.0,41.0,0.024390243902439025,1.0,0.041666666666666664,ITI,ITI,3.0,4.0,Safety-like,Global on,7.0,57.0,0.12280701754385964,7.0,0.2916666666666667,ITI,ITI,3.0,4.0,Safety-like,Global on,-6.0,-0.09841677364142062,-6.0,-0.25,0.09841677364142062
25,29,2.0,2.0,Threat-like,Threat-like,6.0,50.0,0.12,5.0,0.20833333333333334,ITI,ITI,2.0,2.0,Threat-like,Threat-like,1.0,44.0,0.022727272727272728,1.0,0.041666666666666664,CS-,ITI,2.0,2.0,Threat-like,Threat-like,5.0,0.09727272727272726,4.0,0.16666666666666669,0.09727272727272726
6,16,1.0,4.0,Global off,Global on,4.0,30.0,0.13333333333333333,4.0,0.16666666666666666,CS+,ITI,1.0,4.0,Global off,Global on,1.0,26.0,0.038461538461538464,1.0,0.041666666666666664,ITI,CS-,1.0,4.0,Global off,Global on,3.0,0.09487179487179487,3.0,0.125,0.09487179487179487
8,16,3.0,4.0,Safety-like,Global on,2.0,54.0,0.037037037037037035,2.0,0.08333333333333333,CS+,CS+,3.0,4.0,Safety-like,Global on,8.0,61.0,0.13114754098360656,8.0,0.3333333333333333,CS+,ITI,3.0,4.0,Safety-like,Global on,-6.0,-0.09411050394656953,-6.0,-0.25,0.09411050394656953
29,19,2.0,3.0,Threat-like,Safety-like,1.0,120.0,0.008333333333333333,1.0,0.041666666666666664,ITI,ITI,2.0,3.0,Threat-like,Safety-like,9.0,89.0,0.10112359550561797,8.0,0.3333333333333333,ITI,ITI,2.0,3.0,Threat-like,Safety-like,-8.0,-0.09279026217228464,-7.0,-0.29166666666666663,0.09279026217228464
21,17,2.0,1.0,Threat-like,Global off,1.0,41.0,0.024390243902439025,1.0,0.041666666666666664,CS-,ITI,2.0,1.0,Threat-like,Global off,5.0,43.0,0.11627906976744186,5.0,0.20833333333333334,ITI,ITI,2.0,1.0,Threat-like,Global off,-4.0,-0.09188882586500283,-4.0,-0.16666666666666669,0.09188882586500283
20,32,3.0,4.0,Safety-like,Global on,11.0,128.0,0.0859375,10.0,0.4166666666666667,ITI,ITI,3.0,4.0,Safety-like,Global on,23.0,130.0,0.17692307692307693,15.0,0.625,ITI,ITI,3.0,4.0,Safety-like,Global on,-12.0,-0.09098557692307693,-5.0,-0.20833333333333331,0.09098557692307693
26,12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,3.0,Global on,Safety-like,2.0,22.0,0.09090909090909091,2.0,0.08333333333333333,CS-,CS+,4.0,3.0,Global on,Safety-like,-2.0,-0.09090909090909091,-2.0,-0.08333333333333333,0.09090909090909091
