cohort,state,basin,basin_label_readable,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,energy,binary,binary_01,sigma_pattern
HC,1,1,Global off,246,0.0934295480440562,-0.02032520325203252,0.18699186991869918,0.2073170731707317,0.6056910569105691,ITI,0.027643202751814866,-1.3428999999999998,0,0,-----
HC,13,2,Threat-like,164,0.06228636536270414,0.23170731707317074,0.39634146341463417,0.16463414634146342,0.43902439024390244,CS+,0.1771997999129251,-0.7972999999999998,110,110,--++-
HC,20,3,Safety-like,163,0.061906570451955946,-0.024539877300613494,0.1411042944785276,0.1656441717791411,0.6932515337423313,ITI,0.11520367958357702,-0.7948999999999998,11001,11001,++--+
HC,32,4,Global on,245,0.09304975313330802,-0.0489795918367347,0.2163265306122449,0.2653061224489796,0.5183673469387755,CS-,0.062495640109442946,-1.3293,11111,11111,+++++
PTSD,1,1,Global off,267,0.10052710843373494,0.02996254681647939,0.20599250936329588,0.1760299625468165,0.6179775280898876,ITI,0.027992588330851498,-1.3428999999999998,0,0,-----
PTSD,13,2,Threat-like,137,0.05158132530120482,0.06569343065693431,0.30656934306569344,0.24087591240875914,0.45255474452554745,CS+,0.0994910298126814,-0.7972999999999998,110,110,--++-
PTSD,20,3,Safety-like,151,0.056852409638554216,0.006622516556291397,0.15894039735099338,0.152317880794702,0.6887417218543046,ITI,0.0987567820952685,-0.7948999999999998,11001,11001,++--+
PTSD,32,4,Global on,261,0.09826807228915663,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,CS-,0.019285475234270405,-1.3293,11111,11111,+++++
merged,1,1,Global off,513,0.09699376063528077,0.005847953216374269,0.1968810916179337,0.19103313840155944,0.6120857699805068,ITI,0.028043417929079273,-1.3428999999999998,0,0,-----
merged,13,2,Threat-like,301,0.056910569105691054,0.15614617940199335,0.3554817275747508,0.19933554817275748,0.44518272425249167,CS+,0.14239796883018663,-0.7972999999999998,110,110,--++-
merged,20,3,Safety-like,314,0.059368500661750805,-0.009554140127388533,0.14968152866242038,0.1592356687898089,0.6910828025477707,ITI,0.10704045049634314,-0.7948999999999998,11001,11001,++--+
merged,32,4,Global on,506,0.09567025902817168,-0.023715415019762848,0.21936758893280633,0.24308300395256918,0.5375494071146245,CS-,0.04020911474856087,-1.3293,11111,11111,+++++
