subset,clinical_variable,feature,n,spearman_rho,p_value,correction_method,p_corrected,reject_corrected,file_name,path,rank_in_file,sort_col,sort_value,formula,term,beta,t,r_squared,adj_r_squared,analysis,test,n_group1,n_group2,group1,group2,mean_group1,mean_group2,median_group1,median_group2,delta_mean_group1_minus_group2,statistic,cohen_d_group1_minus_group2,cliffs_delta_group1_minus_group2,task_scope,task,clinical_scope,matched_pattern,family,feature_task_scope,hypothesis,source,p_bonferroni,reject_bonferroni,p_holm,reject_holm,n_tests_in_scope,result_type,manuscript_note
PTSD,BAI_pre,event_trial_type_hrf4__ITI_freq_B4,24.0,0.5413771281937667,0.0062934349159479,holm,0.4845944885279912,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,1,p_value,0.0062934349159479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,SAI_pre,event_trial_type_hrf2__CSplus_freq_B1,24.0,0.5152505446623094,0.0099747090683098,holm,0.7680525982598582,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,2,p_value,0.0099747090683098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,event_trial_type_hrf4__CSminus_freq_B1,24.0,0.5101291052755023,0.0108726202732881,holm,0.8263191407698973,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,3,p_value,0.0108726202732881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,IUS,event_trial_type_hrf4__ITI_freq_B1,24.0,-0.4801191851103946,0.0175743686725658,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,4,p_value,0.0175743686725658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,SAI_pre,event_trial_type_hrf6__CSplus_freq_B3,24.0,0.4733980164107056,0.0194617934990383,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,5,p_value,0.0194617934990383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,SAI_pre,event_trial_type_hrf4__CSminus_freq_B4,48.0,-0.3283968482533423,0.0226769897391638,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,6,p_value,0.0226769897391638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,BAI_pre,event_trial_type_onset__CSplus_freq_B1,24.0,-0.461235615040565,0.0232939386721868,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,7,p_value,0.0232939386721868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,event_trial_type_onset__ITI_freq_B1,24.0,0.4539321329607799,0.0258732356138165,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,8,p_value,0.0258732356138165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,PCL,event_trial_type_onset__CSplus_freq_B3,23.0,-0.462949549979906,0.0261108371015247,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,9,p_value,0.0261108371015247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,PCL,event_trial_type_onset__CSplus_freq_B3,23.0,-0.462949549979906,0.0261108371015247,holm,1.0,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_extinction_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,10,p_value,0.0261108371015247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
