cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,13,2,Threat-like,True,164,0.06228636536270414,0.23170731707317074,0.39634146341463417,0.16463414634146342,0.43902439024390244,CS+,0.1771997999129251,0.1771997999129251,-0.03817633599807324,-0.13902346391485182,110,110,--++-
HC,10,1,Global off,False,48,0.018230155715913406,0.1875,0.3125,0.125,0.5625,CS+,0.09335833649829092,0.09335833649829092,-0.07781048233953666,-0.01554785415875426,10010,10010,+--+-
HC,14,2,Threat-like,False,81,0.030763387770603876,0.1728395061728395,0.35802469135802467,0.18518518518518517,0.4567901234567901,CS+,0.1388830278563156,0.1388830278563156,-0.017625297154351488,-0.12125773070196416,10110,10110,+-++-
HC,3,1,Global off,False,53,0.020129130269654388,0.13207547169811323,0.20754716981132076,0.07547169811320754,0.7169811320754716,ITI,0.1389332779167174,-0.011594493690388313,-0.1273387842263291,0.1389332779167174,1000,1000,-+---
HC,9,1,Global off,False,68,0.025826053930877325,0.11764705882352944,0.36764705882352944,0.25,0.38235294117647056,CS+,0.14850539532182036,0.14850539532182036,0.04718951766046334,-0.1956949129822837,10,10,---+-
HC,5,1,Global off,False,98,0.0372199012533232,0.11224489795918366,0.2755102040816326,0.16326530612244897,0.5612244897959183,CS+,0.05636854057992355,0.05636854057992355,-0.039545176217087696,-0.016823364362835935,100,100,--+--
HC,2,1,Global off,False,127,0.04823395366502089,0.08661417322834644,0.2204724409448819,0.13385826771653545,0.6456692913385826,ITI,0.06762143717982838,0.0013307774431728092,-0.06895221462300122,0.06762143717982838,10000,10000,+----
HC,26,4,Global on,False,24,0.009115077857956703,0.08333333333333331,0.3333333333333333,0.25,0.4166666666666667,CS+,0.11419166983162424,0.11419166983162424,0.04718951766046334,-0.16138118749208757,10011,10011,+--++
HC,22,4,Global on,False,25,0.0094948727687049,0.08,0.16,0.08,0.76,ITI,0.18195214584124575,-0.059141663501709074,-0.12281048233953666,0.18195214584124575,10101,10101,+-+-+
HC,6,1,Global off,False,29,0.011014052411697683,0.06896551724137931,0.20689655172413793,0.13793103448275862,0.6551724137931034,ITI,0.07712455963434917,-0.01224511177757115,-0.06487944785677804,0.07712455963434917,10100,10100,+-+--
HC,11,1,Global off,False,16,0.0060767185719711354,0.0625,0.25,0.1875,0.5625,CS+,0.030858336498290923,0.030858336498290923,-0.015310482339536663,-0.01554785415875426,1010,1010,-+-+-
HC,12,3,Safety-like,False,64,0.024306874287884542,0.046875,0.234375,0.1875,0.578125,CS+,0.015233336498290923,0.015233336498290923,-0.015310482339536663,7.714584124574042e-05,11010,11010,++-+-
HC,16,4,Global on,False,93,0.03532092669958223,0.04301075268817203,0.26881720430107525,0.22580645161290322,0.5053763440860215,CS+,0.049675540799366175,0.049675540799366175,0.022995969273366557,-0.07267151007273276,11110,11110,++++-
