cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,22,4,Global on,False,25,0.0094948727687049,0.08,0.16,0.08,0.76,ITI,0.18195214584124575,-0.059141663501709074,-0.12281048233953666,0.18195214584124575,10101,10101,+-+-+
HC,13,2,Threat-like,True,164,0.06228636536270414,0.23170731707317074,0.39634146341463417,0.16463414634146342,0.43902439024390244,CS+,0.1771997999129251,0.1771997999129251,-0.03817633599807324,-0.13902346391485182,110,110,--++-
HC,9,1,Global off,False,68,0.025826053930877325,0.11764705882352944,0.36764705882352944,0.25,0.38235294117647056,CS+,0.14850539532182036,0.14850539532182036,0.04718951766046334,-0.1956949129822837,10,10,---+-
HC,4,3,Safety-like,False,96,0.03646031143182681,-0.09375,0.09375,0.1875,0.71875,ITI,0.14070214584124574,-0.12539166350170908,-0.015310482339536663,0.14070214584124574,11000,11000,++---
HC,3,1,Global off,False,53,0.020129130269654388,0.13207547169811323,0.20754716981132076,0.07547169811320754,0.7169811320754716,ITI,0.1389332779167174,-0.011594493690388313,-0.1273387842263291,0.1389332779167174,1000,1000,-+---
HC,14,2,Threat-like,False,81,0.030763387770603876,0.1728395061728395,0.35802469135802467,0.18518518518518517,0.4567901234567901,CS+,0.1388830278563156,0.1388830278563156,-0.017625297154351488,-0.12125773070196416,10110,10110,+-++-
HC,17,1,Global off,False,113,0.042916824914546146,-0.035398230088495575,0.12389380530973451,0.1592920353982301,0.7168141592920354,ITI,0.13876630513328114,-0.09524785819197457,-0.04351844694130658,0.13876630513328114,1,1,----+
HC,20,3,Safety-like,True,163,0.061906570451955946,-0.024539877300613494,0.1411042944785276,0.1656441717791411,0.6932515337423313,ITI,0.11520367958357702,-0.07803736902318148,-0.03716631056039557,0.11520367958357702,11001,11001,++--+
HC,26,4,Global on,False,24,0.009115077857956703,0.08333333333333331,0.3333333333333333,0.25,0.4166666666666667,CS+,0.11419166983162424,0.11419166983162424,0.04718951766046334,-0.16138118749208757,10011,10011,+--++
HC,29,2,Threat-like,False,101,0.038359285985567794,-0.12871287128712872,0.1782178217821782,0.3069306930693069,0.5148514851485149,CS-,0.10412021072977026,-0.04092384171953087,0.10412021072977026,-0.0631963690102394,111,111,--+++
HC,27,4,Global on,False,31,0.011773642233194076,-0.25806451612903225,0.03225806451612903,0.2903225806451613,0.6774193548387096,ITI,0.09937150067995537,-0.18688359898558005,0.08751209830562465,0.09937150067995537,1011,1011,-+-++
HC,10,1,Global off,False,48,0.018230155715913406,0.1875,0.3125,0.125,0.5625,CS+,0.09335833649829092,0.09335833649829092,-0.07781048233953666,-0.01554785415875426,10010,10010,+--+-
HC,8,3,Safety-like,False,64,0.024306874287884542,-0.03125,0.25,0.28125,0.46875,CS-,0.07843951766046334,0.030858336498290923,0.07843951766046334,-0.10929785415875426,11100,11100,+++--
HC,6,1,Global off,False,29,0.011014052411697683,0.06896551724137931,0.20689655172413793,0.13793103448275862,0.6551724137931034,ITI,0.07712455963434917,-0.01224511177757115,-0.06487944785677804,0.07712455963434917,10100,10100,+-+--
HC,15,2,Threat-like,False,40,0.015191796429927839,0.0,0.275,0.275,0.45,CS-,0.07218951766046336,0.055858336498290945,0.07218951766046336,-0.12804785415875425,1110,1110,-+++-
HC,2,1,Global off,False,127,0.04823395366502089,0.08661417322834644,0.2204724409448819,0.13385826771653545,0.6456692913385826,ITI,0.06762143717982838,0.0013307774431728092,-0.06895221462300122,0.06762143717982838,10000,10000,+----
HC,32,4,Global on,True,245,0.09304975313330802,-0.0489795918367347,0.2163265306122449,0.2653061224489796,0.5183673469387755,CS-,0.062495640109442946,-0.002815132889464167,0.062495640109442946,-0.05968050721997875,11111,11111,+++++
HC,23,4,Global on,False,47,0.01785036080516521,-0.021276595744680854,0.1702127659574468,0.19148936170212766,0.6382978723404256,ITI,0.060250018181671305,-0.04892889754426227,-0.011321120637409005,0.060250018181671305,1101,1101,-++-+
