cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,9,1,21,1,1,ITI,ITI,60,0.35,13,24,0.5416666666666666,Global off,Global off
HC,2,1,24,1,1,ITI,ITI,108,0.2222222222222222,12,24,0.5,Global off,Global off
HC,10,2,10,1,1,CS+,ITI,45,0.2222222222222222,7,24,0.2916666666666667,Global off,Global off
HC,15,31,7,2,4,CS+,ITI,38,0.18421052631578946,6,24,0.25,Threat-like,Global on
HC,24,32,10,4,4,ITI,ITI,55,0.18181818181818182,8,24,0.3333333333333333,Global on,Global on
HC,17,1,17,1,1,ITI,ITI,96,0.17708333333333334,13,24,0.5416666666666666,Global off,Global off
HC,20,32,23,3,4,ITI,ITI,130,0.17692307692307693,15,24,0.625,Safety-like,Global on
HC,19,20,14,3,3,ITI,ITI,81,0.1728395061728395,12,24,0.5,Safety-like,Safety-like
HC,28,32,13,4,4,ITI,CS+,76,0.17105263157894737,9,24,0.375,Global on,Global on
HC,14,5,12,2,1,CS+,ITI,76,0.15789473684210525,8,24,0.3333333333333333,Threat-like,Global off
HC,5,13,13,1,2,CS+,ITI,86,0.1511627906976744,8,24,0.3333333333333333,Global off,Threat-like
HC,18,20,7,3,3,ITI,ITI,47,0.14893617021276595,6,24,0.25,Safety-like,Safety-like
HC,3,1,7,1,1,ITI,ITI,50,0.14,7,24,0.2916666666666667,Global off,Global off
HC,5,1,12,1,1,ITI,ITI,86,0.13953488372093023,9,24,0.375,Global off,Global off
HC,31,32,15,4,4,ITI,ITI,109,0.13761467889908258,11,24,0.4583333333333333,Global on,Global on
HC,32,31,25,4,4,ITI,ITI,190,0.13157894736842105,13,24,0.5416666666666666,Global on,Global on
HC,8,16,8,3,4,CS+,ITI,61,0.13114754098360656,8,24,0.3333333333333333,Safety-like,Global on
HC,18,17,6,3,1,ITI,ITI,47,0.1276595744680851,6,24,0.25,Safety-like,Global off
HC,4,20,11,3,3,ITI,ITI,87,0.12643678160919541,10,24,0.4166666666666667,Safety-like,Safety-like
HC,29,32,11,2,4,ITI,CS-,89,0.12359550561797752,11,24,0.4583333333333333,Threat-like,Global on
HC,12,16,7,3,4,ITI,ITI,57,0.12280701754385964,7,24,0.2916666666666667,Safety-like,Global on
HC,16,13,10,4,2,ITI,CS+,84,0.11904761904761904,8,24,0.3333333333333333,Global on,Threat-like
HC,16,32,10,4,4,ITI,CS+,84,0.11904761904761904,7,24,0.2916666666666667,Global on,Global on
HC,14,13,9,2,2,CS+,ITI,76,0.11842105263157894,6,24,0.25,Threat-like,Threat-like
HC,24,20,6,4,3,ITI,ITI,55,0.10909090909090909,6,24,0.25,Global on,Safety-like
HC,13,1,14,2,1,CS+,ITI,130,0.1076923076923077,9,24,0.375,Threat-like,Global off
HC,4,8,9,3,3,ITI,CS-,87,0.10344827586206896,7,24,0.2916666666666667,Safety-like,Safety-like
HC,29,19,9,2,3,ITI,ITI,89,0.10112359550561797,8,24,0.3333333333333333,Threat-like,Safety-like
PTSD,24,32,21,4,4,ITI,ITI,70,0.3,13,24,0.5416666666666666,Global on,Global on
PTSD,18,1,10,3,1,ITI,ITI,42,0.23809523809523808,8,24,0.3333333333333333,Safety-like,Global off
PTSD,10,1,9,1,1,ITI,ITI,38,0.23684210526315788,8,24,0.3333333333333333,Global off,Global off
PTSD,19,20,16,3,3,ITI,ITI,69,0.2318840579710145,12,24,0.5,Safety-like,Safety-like
PTSD,2,1,25,1,1,ITI,ITI,114,0.21929824561403508,16,24,0.6666666666666666,Global off,Global off
PTSD,26,20,9,4,3,ITI,ITI,43,0.20930232558139536,9,24,0.375,Global on,Safety-like
PTSD,31,32,21,4,4,ITI,ITI,108,0.19444444444444445,13,24,0.5416666666666666,Global on,Global on
PTSD,16,32,15,4,4,ITI,CS-,90,0.16666666666666666,13,24,0.5416666666666666,Global on,Global on
PTSD,9,1,12,1,1,CS-,CS+,74,0.16216216216216217,10,24,0.4166666666666667,Global off,Global off
PTSD,17,1,15,1,1,ITI,ITI,94,0.1595744680851064,10,24,0.4166666666666667,Global off,Global off
PTSD,27,20,6,4,3,ITI,ITI,38,0.15789473684210525,6,24,0.25,Global on,Safety-like
PTSD,14,13,11,2,2,CS-,ITI,71,0.15492957746478872,7,24,0.2916666666666667,Threat-like,Threat-like
PTSD,30,32,9,4,4,CS-,ITI,59,0.15254237288135594,7,24,0.2916666666666667,Global on,Global on
PTSD,14,16,10,2,4,CS+,CS-,71,0.14084507042253522,9,24,0.375,Threat-like,Global on
PTSD,25,1,7,2,1,CS+,CS+,50,0.14,6,24,0.25,Threat-like,Global off
