cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
merged,24,32,31,4,4,ITI,ITI,125,0.248,21,48,0.4375,Global on,Global on
merged,9,1,33,1,1,ITI,ITI,134,0.2462686567164179,23,48,0.4791666666666667,Global off,Global off
merged,2,1,49,1,1,ITI,ITI,222,0.22072072072072071,28,48,0.5833333333333334,Global off,Global off
merged,19,20,30,3,3,ITI,ITI,150,0.2,24,48,0.5,Safety-like,Safety-like
merged,26,20,12,4,3,ITI,ITI,65,0.18461538461538463,12,48,0.25,Global on,Safety-like
merged,18,1,15,3,1,ITI,ITI,89,0.16853932584269662,12,48,0.25,Safety-like,Global off
merged,17,1,32,1,1,ITI,ITI,190,0.16842105263157894,23,48,0.4791666666666667,Global off,Global off
merged,31,32,36,4,4,ITI,ITI,217,0.16589861751152074,24,48,0.5,Global on,Global on
merged,10,1,13,1,1,ITI,ITI,83,0.1566265060240964,12,48,0.25,Global off,Global off
merged,10,2,13,1,1,CS+,ITI,83,0.1566265060240964,10,48,0.20833333333333334,Global off,Global off
merged,11,32,5,1,4,CS+,ITI,33,0.15151515151515152,5,48,0.10416666666666667,Global off,Global on
merged,15,31,10,2,4,CS+,ITI,68,0.14705882352941177,9,48,0.1875,Threat-like,Global on
merged,27,20,10,4,3,ITI,CS-,68,0.14705882352941177,10,48,0.20833333333333334,Global on,Safety-like
merged,28,32,21,4,4,ITI,CS+,143,0.14685314685314685,14,48,0.2916666666666667,Global on,Global on
merged,16,32,25,4,4,ITI,CS-,174,0.14367816091954022,20,48,0.4166666666666667,Global on,Global on
merged,6,13,8,1,2,CS+,CS+,56,0.14285714285714285,7,48,0.14583333333333334,Global off,Threat-like
merged,22,32,5,4,4,ITI,ITI,35,0.14285714285714285,5,48,0.10416666666666667,Global on,Global on
merged,14,13,20,2,2,CS+,ITI,147,0.1360544217687075,13,48,0.2708333333333333,Threat-like,Threat-like
merged,5,13,23,1,2,ITI,ITI,171,0.13450292397660818,16,48,0.3333333333333333,Global off,Threat-like
merged,30,32,14,4,4,ITI,ITI,105,0.13333333333333333,12,48,0.25,Global on,Global on
merged,4,20,24,3,3,ITI,ITI,182,0.13186813186813187,18,48,0.375,Safety-like,Safety-like
merged,20,32,34,3,4,ITI,ITI,258,0.13178294573643412,25,48,0.5208333333333334,Safety-like,Global on
merged,5,1,22,1,1,ITI,ITI,171,0.1286549707602339,17,48,0.3541666666666667,Global off,Global off
merged,25,17,12,2,1,ITI,ITI,94,0.1276595744680851,10,48,0.20833333333333334,Threat-like,Global off
merged,18,20,11,3,3,ITI,ITI,89,0.12359550561797752,9,48,0.1875,Safety-like,Safety-like
merged,11,1,4,1,1,CS-,CS-,33,0.12121212121212122,4,48,0.08333333333333333,Global off,Global off
merged,3,1,12,1,1,ITI,ITI,100,0.12,12,48,0.25,Global off,Global off
merged,27,32,8,4,4,ITI,CS-,68,0.11764705882352941,7,48,0.14583333333333334,Global on,Global on
merged,25,1,11,2,1,CS+,ITI,94,0.11702127659574468,10,48,0.20833333333333334,Threat-like,Global off
merged,14,16,17,2,4,CS+,CS-,147,0.11564625850340136,15,48,0.3125,Threat-like,Global on
merged,7,32,9,1,4,CS+,ITI,78,0.11538461538461539,8,48,0.16666666666666666,Global off,Global on
merged,29,32,24,2,4,ITI,ITI,209,0.11483253588516747,23,48,0.4791666666666667,Threat-like,Global on
merged,22,19,4,4,3,ITI,ITI,35,0.11428571428571428,4,48,0.08333333333333333,Global on,Safety-like
merged,13,1,27,2,1,ITI,ITI,243,0.1111111111111111,19,48,0.3958333333333333,Threat-like,Global off
merged,23,20,10,4,3,ITI,ITI,92,0.10869565217391304,8,48,0.16666666666666666,Global on,Safety-like
merged,32,31,41,4,4,ITI,ITI,390,0.10512820512820513,25,48,0.5208333333333334,Global on,Global on
merged,8,32,12,3,4,ITI,CS+,115,0.10434782608695652,11,48,0.22916666666666666,Safety-like,Global on
merged,15,14,7,2,2,ITI,CS+,68,0.10294117647058823,6,48,0.125,Threat-like,Threat-like
merged,27,31,7,4,4,ITI,CS+,68,0.10294117647058823,7,48,0.14583333333333334,Global on,Global on
merged,14,5,15,2,1,CS+,ITI,147,0.10204081632653061,11,48,0.22916666666666666,Threat-like,Global off
merged,12,32,10,3,4,ITI,ITI,98,0.10204081632653061,8,48,0.16666666666666666,Safety-like,Global on
merged,18,17,9,3,1,ITI,ITI,89,0.10112359550561797,9,48,0.1875,Safety-like,Global off
merged,10,9,8,1,1,CS+,ITI,83,0.0963855421686747,8,48,0.16666666666666666,Global off,Global off
merged,17,32,18,1,4,ITI,ITI,190,0.09473684210526316,13,48,0.2708333333333333,Global off,Global on
merged,26,2,6,4,1,ITI,ITI,65,0.09230769230769231,4,48,0.08333333333333333,Global on,Global off
merged,26,17,6,4,1,CS+,CS+,65,0.09230769230769231,6,48,0.125,Global on,Global off
merged,26,29,6,4,2,ITI,ITI,65,0.09230769230769231,6,48,0.125,Global on,Threat-like
merged,16,13,16,4,2,ITI,CS+,174,0.09195402298850575,12,48,0.25,Global on,Threat-like
merged,12,1,9,3,1,ITI,ITI,98,0.09183673469387756,8,48,0.16666666666666666,Safety-like,Global off
merged,3,19,9,1,3,ITI,ITI,100,0.09,8,48,0.16666666666666666,Global off,Safety-like
merged,7,5,7,1,1,ITI,CS+,78,0.08974358974358974,7,48,0.14583333333333334,Global off,Global off
merged,6,2,5,1,1,ITI,ITI,56,0.08928571428571429,5,48,0.10416666666666667,Global off,Global off
merged,6,16,5,1,4,ITI,CS-,56,0.08928571428571429,5,48,0.10416666666666667,Global off,Global on
merged,6,31,5,1,4,ITI,ITI,56,0.08928571428571429,5,48,0.10416666666666667,Global off,Global on
merged,14,32,13,2,4,CS+,ITI,147,0.08843537414965986,11,48,0.22916666666666666,Threat-like,Global on
merged,4,2,16,3,1,ITI,ITI,182,0.08791208791208792,14,48,0.2916666666666667,Safety-like,Global off
merged,1,2,33,1,1,ITI,ITI,376,0.08776595744680851,22,48,0.4583333333333333,Global off,Global off
merged,31,29,19,4,2,ITI,ITI,217,0.08755760368663594,16,48,0.3333333333333333,Global on,Threat-like
merged,8,16,10,3,4,CS+,ITI,115,0.08695652173913043,10,48,0.20833333333333334,Safety-like,Global on
merged,23,32,8,4,4,ITI,ITI,92,0.08695652173913043,8,48,0.16666666666666666,Global on,Global on
merged,22,18,3,4,3,ITI,ITI,35,0.08571428571428572,3,48,0.0625,Global on,Safety-like
