category,file_name,relative_path,size_bytes,modified_time_epoch
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,113631,1777588319.1902769
confirmatory,confirmatory_analysis_summary_renewal79.md,ELA_features/confirmatory_analysis/confirmatory_analysis_summary_renewal79.md,5693,1777588101.1346755
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis/covariate_models_confirmatory.csv,18497,1777588319.7042634
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis/feature_specs_used.csv,4358,1777588228.0842698
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis/group_tests_by_task_confirmatory.csv,1,1777588317.8446474
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis/group_tests_confirmatory.csv,20050,1777588317.8374712
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis/merged_confirmatory_dataset.csv,208602,1777588317.5927136
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis/primary_results_for_manuscript.csv,8113,1777588235.5552883
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis/selected_confirmatory_features.csv,4043,1777588317.623803
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis_v3/clinical_spearman_confirmatory.csv,63845,1777589276.585886
confirmatory,confirmatory_analysis_summary_renewal13.md,ELA_features/confirmatory_analysis_v3/confirmatory_analysis_summary_renewal13.md,11589,1777589277.3588798
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis_v3/covariate_models_confirmatory.csv,6226,1777589277.102915
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis_v3/feature_specs_used.csv,3111,1777589271.799798
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis_v3/group_tests_by_task_confirmatory.csv,1,1777589272.2502222
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis_v3/group_tests_confirmatory.csv,6748,1777589272.2354584
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis_v3/merged_confirmatory_dataset.csv,208602,1777589271.789807
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis_v3/primary_results_for_manuscript.csv,6007,1777589277.125919
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis_v3/selected_confirmatory_features.csv,2811,1777589271.8176837
confirmatory,clinical_spearman_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/clinical_spearman_confirmatory.csv,96740,1777597277.4829037
confirmatory,confirmatory_analysis_summary_renewal19.md,ELA_features/confirmatory_analysis_v3_notaskfilter/confirmatory_analysis_summary_renewal19.md,11994,1777597278.1008847
confirmatory,covariate_models_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/covariate_models_confirmatory.csv,9373,1777597278.058012
confirmatory,feature_specs_used.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/feature_specs_used.csv,4358,1777597270.6566741
confirmatory,group_tests_by_task_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/group_tests_by_task_confirmatory.csv,1,1777597271.1456742
confirmatory,group_tests_confirmatory.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/group_tests_confirmatory.csv,9787,1777597271.1376736
confirmatory,merged_confirmatory_dataset.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/merged_confirmatory_dataset.csv,208602,1777597270.6486733
confirmatory,primary_results_for_manuscript.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/primary_results_for_manuscript.csv,6721,1777597278.0801718
confirmatory,selected_confirmatory_features.csv,ELA_features/confirmatory_analysis_v3_notaskfilter/selected_confirmatory_features.csv,4338,1777597270.676674
