group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC001,2,renewal,0,1,18,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,1,2,32,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,2,3,1,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,3,4,15,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,4,5,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,5,6,31,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,6,7,9,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,7,8,22,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,8,9,20,3,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,9,10,24,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,10,11,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,11,12,31,4,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,12,13,29,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,13,14,29,2,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC001,2,renewal,14,15,2,1,sub-FC001_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC001_ses-2_task-renewal_fearROIs_bin_BN.csv
