cohort,basin,basin_label_readable,occupancy,n_states_occupied,count_CSplus,count_CSminus,count_ITI,prop_CSplus,prop_CSminus,prop_ITI,cs_delta
HC,1,Global off,632,12,126,131,375,0.19936708860759494,0.20727848101265822,0.5933544303797469,-0.007911392405063278
HC,2,Threat-like,298,4,84,51,163,0.28187919463087246,0.17114093959731544,0.5469798657718121,0.11073825503355703
HC,3,Safety-like,348,6,42,88,218,0.1206896551724138,0.25287356321839083,0.6264367816091954,-0.13218390804597702
HC,4,Global on,528,10,112,120,296,0.21212121212121213,0.22727272727272727,0.5606060606060606,-0.015151515151515138
PTSD,1,Global off,640,12,125,127,388,0.1953125,0.1984375,0.60625,-0.003124999999999989
PTSD,2,Threat-like,257,4,69,60,128,0.26848249027237353,0.23346303501945526,0.4980544747081712,0.035019455252918275
PTSD,3,Safety-like,331,6,42,70,219,0.1268882175226586,0.21148036253776434,0.6616314199395771,-0.08459214501510573
PTSD,4,Global on,568,10,144,117,307,0.2535211267605634,0.20598591549295775,0.5404929577464789,0.047535211267605626
merged,1,Global off,1272,12,251,258,763,0.19732704402515724,0.2028301886792453,0.5998427672955975,-0.005503144654088049
merged,2,Threat-like,555,4,153,111,291,0.2756756756756757,0.2,0.5243243243243243,0.07567567567567568
merged,3,Safety-like,679,6,84,158,437,0.12371134020618557,0.23269513991163476,0.6435935198821797,-0.10898379970544919
merged,4,Global on,1096,10,256,237,603,0.23357664233576642,0.21624087591240876,0.5501824817518248,0.017335766423357657
