state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
22,4,Global on,False,0.07142857142857142,-0.25,0.3214285714285714,0.0077951002227171495,0.004429678848283499,0.0033654213744336503,14,8,6,ITI,CS-,10101,10101,+-+-+,0.01785714285714285,-0.3035714285714286,0.2857142857142857,0.046482955848729884,0.3214285714285714
23,4,Global on,False,-0.2,0.06666666666666665,-0.26666666666666666,0.019487750556792874,0.016611295681063124,0.0028764548757297496,35,30,5,CS-,CS+,1101,1101,-++-+,-0.12380952380952381,0.14285714285714285,-0.01904761904761909,0.0695003292662173,0.26666666666666666
11,1,Global off,False,-0.06666666666666665,0.15384615384615385,-0.2205128205128205,0.008351893095768375,0.007198228128460687,0.0011536649673076884,15,13,2,CS-,CS+,1010,1010,-+-+-,-0.18461538461538463,0.03589743589743588,0.1487179487179487,-0.12463886487297687,0.2205128205128205
25,1,Global off,False,0.08108108108108109,-0.12820512820512822,0.2092862092862093,0.02060133630289532,0.02159468438538206,-0.0009933480824867377,37,39,-2,ITI,ITI,11,11,---++,0.08662508662508664,-0.12266112266112267,0.03603603603603611,0.03836063086593988,0.2092862092862093
7,1,Global off,False,0.043478260869565244,-0.15789473684210525,0.2013729977116705,0.012806236080178173,0.010520487264673311,0.002285748815504862,23,19,4,CS+,CS-,1100,1100,-++--,0.1464530892448513,-0.05491990846681921,-0.09153318077803202,-0.007076095502898838,0.2013729977116705
32,4,Global on,True,0.0838709677419355,-0.10273972602739728,0.18661069376933279,0.08630289532293986,0.08084163898117387,0.005461256341765988,155,146,9,CS+,CS-,11111,11111,+++++,0.07273530711444987,-0.11387538665488292,0.04114007954043297,-0.025638866818592287,0.18661069376933279
30,4,Global on,False,-0.04999999999999999,0.13636363636363638,-0.18636363636363637,0.022271714922048998,0.024363233665559248,-0.0020915187435102504,40,44,-4,CS-,CS+,10111,10111,+-+++,-0.09545454545454546,0.09090909090909091,0.00454545454545463,-0.05214469237880437,0.18636363636363637
12,3,Safety-like,False,0.13043478260869568,-0.02439024390243902,0.1548250265111347,0.012806236080178173,0.022702104097452935,-0.009895868017274762,23,41,-18,CS+,CS-,11010,11010,++-+-,0.08483563096500532,-0.06998939554612937,-0.014846235418875975,0.06481093915692143,0.1548250265111347
20,3,Safety-like,True,-0.06250000000000001,-0.2,0.1375,0.062360801781737196,0.0664451827242525,-0.0040843809425153005,112,120,-8,ITI,ITI,11001,11001,++--+,0.04047619047619047,-0.09702380952380951,0.05654761904761907,0.05887221387752284,0.1375
13,2,Threat-like,True,0.05660377358490565,0.17796610169491525,-0.1213623281100096,0.05902004454342984,0.06533776301218161,-0.0063177184687517665,106,118,-12,CS+,CS+,110,110,--++-,-0.009753757595139134,0.11160857051487047,-0.10185481291973131,-0.01978466175770538,0.1213623281100096
18,3,Safety-like,False,-0.15384615384615383,-0.035714285714285726,-0.1181318681318681,0.021714922048997772,0.015503875968992248,0.006211046080005524,39,28,11,ITI,ITI,10001,10001,+---+,-0.04029304029304029,0.07783882783882781,-0.03754578754578752,-0.03522119271588375,0.1181318681318681
27,4,Global on,False,0.07692307692307693,-0.03571428571428571,0.11263736263736264,0.014476614699331848,0.015503875968992248,-0.0010272612696603997,26,28,-2,ITI,ITI,1011,1011,-+-++,0.12362637362637365,0.010989010989011005,-0.13461538461538458,-0.1322907897854808,0.11263736263736264
5,1,Global off,False,-0.08064516129032259,0.015625,-0.09627016129032259,0.034521158129175944,0.035437430786267994,-0.0009162726570920501,62,64,-2,CS-,CS+,100,100,--+--,-0.10433467741935484,-0.008064516129032251,0.11239919354838712,-0.03037966305329115,0.09627016129032259
29,2,Threat-like,False,-0.10810810810810811,-0.02439024390243902,-0.0837178642056691,0.04120267260579064,0.04540420819490587,-0.004201535589115228,74,82,-8,ITI,ITI,111,111,--+++,-0.049110085695451555,0.03460777851021754,0.014502307185234042,0.016826902015137812,0.0837178642056691
8,3,Safety-like,False,-0.2285714285714286,-0.3103448275862069,0.08177339901477831,0.019487750556792874,0.016057585825027684,0.0034301647317651895,35,29,6,CS-,CS-,11100,11100,+++--,0.039408866995073885,-0.042364532019704415,0.002955665024630516,-0.03465822268704194,0.08177339901477831
28,4,Global on,False,0.030303030303030304,-0.04918032786885246,0.07948335817188276,0.036748329621380846,0.033776301218161685,0.002972028403219161,66,61,5,CS+,ITI,11011,11011,++-++,0.09364133134624938,0.014157973174366623,-0.10779930452061603,0.00554641469344111,0.07948335817188276
24,4,Global on,False,0.016949152542372878,-0.05769230769230771,0.07464146023468059,0.03285077951002227,0.028792912513842746,0.0040578669961795245,59,52,7,ITI,ITI,11101,11101,+++-+,-0.015971316818774436,-0.09061277705345502,0.10658409387222945,0.10890868870213322,0.07464146023468059
9,1,Global off,False,0.053571428571428575,0.11538461538461539,-0.061813186813186816,0.031180400890868598,0.028792912513842746,0.0023874883770258516,56,52,4,ITI,CS+,10,10,---+-,-0.1304945054945055,-0.06868131868131869,0.19917582417582413,-0.04483657733126842,0.061813186813186816
31,4,Global on,False,0.1232876712328767,0.06451612903225806,0.05877154220061864,0.04064587973273942,0.03433001107419712,0.006315868658542299,73,62,11,CS+,CS+,1111,1111,-++++,0.12792752982766237,0.06915598762704372,-0.1970835174547062,0.11789662566509612,0.05877154220061864
15,2,Threat-like,False,0.16129032258064516,0.11627906976744187,0.045011252813203284,0.017260579064587972,0.023809523809523808,-0.006548944744935836,31,43,-12,CS+,CS+,1110,1110,-+++-,-0.003000750187546919,-0.0480120030007502,0.051012753188297066,-0.013031654350113164,0.045011252813203284
16,4,Global on,False,0.11764705882352941,0.07894736842105265,0.038699690402476755,0.04732739420935412,0.042081949058693245,0.005245445150660874,85,76,9,CS+,CS+,11110,11110,++++-,-0.0009287925696594423,-0.0396284829721362,0.04055727554179567,-0.010959696732225688,0.038699690402476755
26,4,Global on,False,-0.13333333333333333,-0.09523809523809523,-0.0380952380952381,0.008351893095768375,0.011627906976744186,-0.003276013880975811,15,21,-6,CS-,ITI,10011,10011,+--++,0.08571428571428572,0.12380952380952381,-0.20952380952380956,-0.1685949088290208,0.0380952380952381
3,1,Global off,False,-0.03225806451612903,-0.06666666666666665,0.03440860215053762,0.017260579064587972,0.016611295681063124,0.0006492833835248478,31,30,1,ITI,ITI,1000,1000,-+---,0.02903225806451612,-0.005376344086021501,-0.023655913978494536,-0.021331319148590766,0.03440860215053762
21,1,Global off,False,0.033333333333333326,0.0,0.033333333333333326,0.01670378619153675,0.02159468438538206,-0.004890898193845309,30,39,-9,CS+,ITI,101,101,--+-+,0.028205128205128216,-0.00512820512820511,-0.023076923076923106,0.014511220379558293,0.033333333333333326
14,2,Threat-like,False,0.13043478260869565,0.16363636363636364,-0.03320158102766799,0.025612472160356347,0.03045404208194906,-0.004841569921592712,46,55,-9,CS+,CS+,10110,10110,+-++-,0.03873517786561265,0.07193675889328063,-0.11067193675889325,0.0287042737030464,0.03320158102766799
10,1,Global off,False,-0.05555555555555558,-0.027777777777777762,-0.027777777777777818,0.0200445434298441,0.019933554817275746,0.00011098861256835305,36,36,0,CS-,CS-,10010,10010,+--+-,0.05555555555555555,0.08333333333333337,-0.13888888888888895,0.09103964266599585,0.027777777777777818
4,3,Safety-like,False,-0.03125,-0.051282051282051294,0.020032051282051294,0.035634743875278395,0.04318936877076412,-0.007554624895485723,64,78,-14,ITI,CS-,11000,11000,++---,-0.023237179487179488,-0.04326923076923078,0.06650641025641024,0.061249439365213404,0.020032051282051294
6,1,Global off,False,0.125,0.10714285714285715,0.01785714285714285,0.013363028953229399,0.015503875968992248,-0.002140847015762849,24,28,-4,ITI,ITI,10100,10100,+-+--,0.07142857142857142,0.053571428571428575,-0.125,-0.12267540517009623,0.01785714285714285
2,1,Global off,False,-0.02702702702702703,-0.03797468354430378,0.01094765651727675,0.04120267260579064,0.043743078626799554,-0.002540406021008912,74,79,-5,ITI,CS-,10000,10000,+----,-0.03865891207663358,-0.04960656859391033,0.08826548067054396,-0.03545952008108774,0.01094765651727675
17,1,Global off,False,-0.04838709677419353,-0.058823529411764705,0.010436432637571172,0.034521158129175944,0.04706533776301218,-0.012544179633836236,62,85,-23,ITI,ITI,1,1,----+,0.039278937381404186,0.028842504743833014,-0.06812144212523719,-0.06579684729533342,0.010436432637571172
1,1,Global off,True,0.0052631578947368585,0.013513513513513514,-0.008250355618776656,0.10579064587973273,0.08194905869324474,0.02384158718648799,190,148,42,ITI,ITI,0,0,-----,-0.002702702702702703,0.005547652916073953,-0.002844950213371278,-0.0005203553834675079,0.008250355618776656
19,3,Safety-like,False,-0.13793103448275862,-0.1346153846153846,-0.00331564986737401,0.03229398663697105,0.028792912513842746,0.0035010741231283025,58,52,6,ITI,ITI,1001,1001,-+--+,-0.007957559681697618,-0.004641909814323608,0.012599469496021198,0.014924064325924968,0.00331564986737401
