source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
31,32,4.0,4.0,Global on,Global on,18.0,65.0,0.27692307692307694,11.0,0.4782608695652174,ITI,ITI,4.0,4.0,Global on,Global on,6.0,59.0,0.1016949152542373,5.0,0.20833333333333334,ITI,CS-,4.0,4.0,Global on,Global on,12.0,0.17522816166883964,6.0,0.26992753623188404,0.17522816166883964
11,32,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,2.0,12.0,0.16666666666666666,1.0,0.041666666666666664,ITI,CS-,1.0,4.0,Global off,Global on,-2.0,-0.16666666666666666,-1.0,-0.041666666666666664,0.16666666666666666
22,17,4.0,1.0,Global on,Global off,2.0,14.0,0.14285714285714285,2.0,0.08695652173913043,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,0.14285714285714285,2.0,0.08695652173913043,0.14285714285714285
22,31,4.0,4.0,Global on,Global on,2.0,14.0,0.14285714285714285,2.0,0.08695652173913043,CS+,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,2.0,0.14285714285714285,2.0,0.08695652173913043,0.14285714285714285
22,1,4.0,1.0,Global on,Global off,2.0,14.0,0.14285714285714285,2.0,0.08695652173913043,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,0.14285714285714285,2.0,0.08695652173913043,0.14285714285714285
17,1,1.0,1.0,Global off,Global off,14.0,58.0,0.2413793103448276,8.0,0.34782608695652173,ITI,ITI,1.0,1.0,Global off,Global off,8.0,77.0,0.1038961038961039,6.0,0.25,ITI,CS+,1.0,1.0,Global off,Global off,6.0,0.1374832064487237,2.0,0.09782608695652173,0.1374832064487237
11,13,1.0,2.0,Global off,Threat-like,2.0,15.0,0.13333333333333333,2.0,0.08695652173913043,CS+,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,Global off,Threat-like,2.0,0.13333333333333333,2.0,0.08695652173913043,0.13333333333333333
3,16,1.0,4.0,Global off,Global on,4.0,30.0,0.13333333333333333,4.0,0.17391304347826086,ITI,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,Global off,Global on,4.0,0.13333333333333333,4.0,0.17391304347826086,0.13333333333333333
11,20,1.0,3.0,Global off,Safety-like,2.0,15.0,0.13333333333333333,2.0,0.08695652173913043,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,0.13333333333333333,2.0,0.08695652173913043,0.13333333333333333
23,16,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,4.0,30.0,0.13333333333333333,4.0,0.16666666666666666,ITI,ITI,4.0,4.0,Global on,Global on,-4.0,-0.13333333333333333,-4.0,-0.16666666666666666,0.13333333333333333
