cohort,state,basin,basin_label_readable,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,energy,binary,binary_01,sigma_pattern
HC,1,1,Global off,148,0.08194905869324474,0.013513513513513514,0.20270270270270271,0.1891891891891892,0.6081081081081081,ITI,0.025605339558827933,-1.216,0,0,-----
HC,13,2,Threat-like,118,0.06533776301218161,0.17796610169491525,0.3305084745762712,0.15254237288135594,0.5169491525423728,CS+,0.12895808697937197,-0.8292,110,110,--++-
HC,20,3,Safety-like,120,0.0664451827242525,-0.2,0.06666666666666667,0.26666666666666666,0.6666666666666666,ITI,0.08416389811738645,-0.824,11001,11001,++--+
HC,32,4,Global on,146,0.08084163898117387,-0.10273972602739728,0.1917808219178082,0.2945205479452055,0.5136986301369864,CS-,0.0785737040913849,-1.1908,11111,11111,+++++
PTSD,1,1,Global off,190,0.10579064587973273,0.0052631578947368585,0.2,0.19473684210526315,0.6052631578947368,ITI,0.025084984175360425,-1.216,0,0,-----
PTSD,13,2,Threat-like,106,0.05902004454342984,0.05660377358490565,0.32075471698113206,0.2641509433962264,0.41509433962264153,CS+,0.10917342522166659,-0.8292,110,110,--++-
PTSD,20,3,Safety-like,112,0.062360801781737196,-0.06250000000000001,0.10714285714285714,0.16964285714285715,0.7232142857142857,ITI,0.1430361119949093,-0.824,11001,11001,++--+
PTSD,32,4,Global on,155,0.08630289532293986,0.0838709677419355,0.2645161290322581,0.18064516129032257,0.5548387096774193,CS+,0.052934837272792606,-1.1908,11111,11111,+++++
merged,1,1,Global off,338,0.09383675735702388,0.008875739644970404,0.20118343195266272,0.19230769230769232,0.606508875739645,ITI,0.025165177794059135,-1.216,0,0,-----
merged,13,2,Threat-like,224,0.06218767351471405,0.1205357142857143,0.32589285714285715,0.20535714285714285,0.46875,CS+,0.11934094154041405,-0.8292,110,110,--++-
merged,20,3,Safety-like,232,0.06440866185452526,-0.1336206896551724,0.08620689655172414,0.21982758620689655,0.6939655172413793,ITI,0.11262181929579351,-0.824,11001,11001,++--+
merged,32,4,Global on,301,0.083564686285397,-0.006644518272425237,0.2292358803986711,0.23588039867109634,0.5348837209302325,CS-,0.023776012219125203,-1.1908,11111,11111,+++++
