subset,clinical_variable,feature,n,spearman_rho,p_value,correction_method,p_corrected,reject_corrected,file_name,path,rank_in_file,sort_col,sort_value,formula,term,beta,t,r_squared,adj_r_squared,analysis,test,n_group1,n_group2,group1,group2,mean_group1,mean_group2,median_group1,median_group2,delta_mean_group1_minus_group2,statistic,cohen_d_group1_minus_group2,cliffs_delta_group1_minus_group2,result_type,task_scope,task,clinical_scope,p_bonferroni,reject_bonferroni,p_holm,reject_holm,n_tests_in_scope,family,hypothesis,manuscript_note,matched_pattern,feature_task_scope,source
all,BAI_pre,traveling_score_TR_AA_over_TR_PP,45.0,0.5541476450784698,7.836299381394723e-05,holm,0.0061906765113018,True,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,1,p_value,7.836299381394723e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BAI_pre,event_trial_type_hrf2__CSminus_freq_B4,48.0,0.4713484395693212,0.0007207226755686,holm,0.0562163686943564,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,2,p_value,0.0007207226755686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BAI_pre,event_trial_type_onset__CSminus_freq_B4,48.0,0.4474389279946329,0.0014296201619999,holm,0.1100807524739981,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,3,p_value,0.0014296201619999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,dyn_Frequency_of_B4,24.0,0.6023528304842956,0.0018412095897985,holm,0.1454555575940817,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,4,p_value,0.0018412095897985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,obs_freq_B4,24.0,0.6023528304842956,0.0018412095897985,holm,0.1454555575940817,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,5,p_value,0.0018412095897985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,event_trial_type_hrf2__ITI_freq_B1,24.0,0.5968205586912365,0.0020791354672695,holm,0.1600934309797582,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,6,p_value,0.0020791354672695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BAI_pre,peripheral_transition_rate_TR_P_to_Pprime,48.0,-0.4255034160177794,0.0025698246438365,holm,0.1953066729315808,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,7,p_value,0.0025698246438365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BAI_pre,dyn_Frequency_of_B2,48.0,-0.4232164928668622,0.0027258548902813,holm,0.2044391167710998,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,8,p_value,0.0027258548902813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BAI_pre,obs_freq_B2,48.0,-0.4232164928668622,0.0027258548902813,holm,0.2044391167710998,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,9,p_value,0.0027258548902813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,traveling_score_TR_AA_over_TR_PP,21.0,0.6194662771153647,0.002746688000354,holm,0.2087482880269044,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,10,p_value,0.002746688000354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,event_trial_type_hrf2__CSminus_freq_B4,24.0,0.574946024987202,0.0032933867079979,holm,0.2470040030998429,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,11,p_value,0.0032933867079979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,BAI_pre,event_trial_type_hrf6__CSplus_freq_B1,47.0,0.4091436844905982,0.0042958678258751,holm,0.3135983512888852,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,12,p_value,0.0042958678258751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,BAI_pre,dyn_Direct_transitions_from_B3_to_B4,24.0,0.5438315790173375,0.0060156822864541,holm,0.4752389006298771,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,13,p_value,0.0060156822864541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSD,BAI_pre,event_trial_type_hrf6__CSplus_freq_B1,23.0,0.5466699845689349,0.0069512345026245,holm,0.5143913531942179,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,14,p_value,0.0069512345026245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,IUS,event_trial_type_onset__CSminus_freq_B3,47.0,-0.3818120353166109,0.0080910561373749,holm,0.6391934348526195,False,clinical_spearman_confirmatory.csv,/mnt/d/Thesis Masters/thesis-runs/ELA_run_5ROI/_merged_fit_runs_ela_5ROI/merge_renewal_ela_5ROI/ELA_features/confirmatory_analysis/clinical_spearman_confirmatory.csv,15,p_value,0.0080910561373749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
