cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,8,3,Safety-like,False,29,0.016057585825027684,-0.3103448275862069,0.10344827586206896,0.41379310344827586,0.4827586206896552,CS-,0.19784625959445526,-0.09810211173483026,0.19784625959445526,-0.09974414785962499,11100,11100,+++--
HC,22,4,Global on,False,8,0.004429678848283499,-0.25,0.125,0.375,0.5,CS-,0.1590531561461794,-0.07655038759689922,0.1590531561461794,-0.08250276854928018,10101,10101,+-+-+
HC,20,3,Safety-like,True,120,0.0664451827242525,-0.2,0.06666666666666667,0.26666666666666666,0.6666666666666666,ITI,0.08416389811738645,-0.13488372093023254,0.050719822812846066,0.08416389811738645,11001,11001,++--+
HC,7,1,Global off,False,19,0.010520487264673311,-0.15789473684210525,0.15789473684210525,0.3157894736842105,0.5263157894736842,CS-,0.09984262983038991,-0.04365565075479397,0.09984262983038991,-0.056186979075596,1100,1100,-++--
HC,19,3,Safety-like,False,52,0.028792912513842746,-0.1346153846153846,0.07692307692307693,0.21153846153846154,0.7115384615384616,ITI,0.12903569298918138,-0.1246273106738223,-0.004408382315359061,0.12903569298918138,1001,1001,-+--+
HC,25,1,Global off,False,39,0.02159468438538206,-0.12820512820512822,0.10256410256410256,0.23076923076923078,0.6666666666666666,ITI,0.08416389811738645,-0.09898628503279666,0.014822386915410185,0.08416389811738645,11,11,---++
HC,32,4,Global on,True,146,0.08084163898117387,-0.10273972602739728,0.1917808219178082,0.2945205479452055,0.5136986301369864,CS-,0.0785737040913849,-0.009769565679091013,0.0785737040913849,-0.06880413841229382,11111,11111,+++++
HC,26,4,Global on,False,21,0.011627906976744186,-0.09523809523809523,0.047619047619047616,0.14285714285714285,0.8095238095238095,ITI,0.22702104097452935,-0.1539313399778516,-0.07308970099667775,0.22702104097452935,10011,10011,+--++
HC,3,1,Global off,False,30,0.016611295681063124,-0.06666666666666665,0.1,0.16666666666666666,0.7333333333333333,ITI,0.1508305647840531,-0.10155038759689922,-0.04928017718715394,0.1508305647840531,1000,1000,-+---
HC,17,1,Global off,False,85,0.04706533776301218,-0.058823529411764705,0.10588235294117647,0.16470588235294117,0.7294117647058823,ITI,0.14690899615660213,-0.09566803465572275,-0.05124096150087942,0.14690899615660213,1,1,----+
HC,24,4,Global on,False,52,0.028792912513842746,-0.05769230769230771,0.1346153846153846,0.19230769230769232,0.6730769230769231,ITI,0.09057415452764295,-0.06693500298151461,-0.02363915154612828,0.09057415452764295,11101,11101,+++-+
HC,4,3,Safety-like,False,78,0.04318936877076412,-0.051282051282051294,0.1794871794871795,0.23076923076923078,0.5897435897435898,CS-,0.014822386915410185,-0.022063208109719734,0.014822386915410185,0.007240821194309577,11000,11000,++---
PTSD,8,3,Safety-like,False,35,0.019487750556792874,-0.2285714285714286,0.14285714285714285,0.37142857142857144,0.4857142857142857,CS-,0.16318803690741332,-0.06872414890232262,0.16318803690741332,-0.0944638880050907,11100,11100,+++--
PTSD,23,4,Global on,False,35,0.019487750556792874,-0.2,0.14285714285714285,0.34285714285714286,0.5142857142857142,CS-,0.13461660833598474,-0.06872414890232262,0.13461660833598474,-0.06589245943366218,1101,1101,-++-+
PTSD,18,3,Safety-like,False,39,0.021714922048997772,-0.15384615384615383,0.10256410256410256,0.2564102564102564,0.6410256410256411,ITI,0.06084746730626467,-0.1090171891953629,0.048169721889098266,0.06084746730626467,10001,10001,+---+
PTSD,19,3,Safety-like,False,58,0.03229398663697105,-0.13793103448275862,0.06896551724137931,0.20689655172413793,0.7241379310344828,ITI,0.14395975731510635,-0.14261577451808616,-0.0013439827970201934,0.14395975731510635,1001,1001,-+--+
PTSD,26,4,Global on,False,15,0.008351893095768375,-0.13333333333333333,0.13333333333333333,0.26666666666666666,0.6,CS-,0.05842613214550854,-0.07824795842613214,0.05842613214550854,0.019821826280623567,10011,10011,+--++
PTSD,29,2,Threat-like,False,74,0.04120267260579064,-0.10810810810810811,0.12162162162162163,0.22972972972972974,0.6486486486486487,ITI,0.06847047492927227,-0.08995967013784384,0.02148919520857162,0.06847047492927227,111,111,--+++
PTSD,5,1,Global off,False,62,0.034521158129175944,-0.08064516129032259,0.16129032258064516,0.24193548387096775,0.5967741935483871,CS-,0.03369494934980963,-0.05029096917882031,0.03369494934980963,0.01659601982901071,100,100,--+--
PTSD,11,1,Global off,False,15,0.008351893095768375,-0.06666666666666665,0.2,0.26666666666666666,0.5333333333333333,CS-,0.05842613214550854,-0.011581291759465456,0.05842613214550854,-0.046844840386043085,1010,1010,-+-+-
PTSD,20,3,Safety-like,True,112,0.062360801781737196,-0.06250000000000001,0.10714285714285714,0.16964285714285715,0.7232142857142857,ITI,0.1430361119949093,-0.10443843461660833,-0.03859767737830097,0.1430361119949093,11001,11001,++--+
PTSD,10,1,Global off,False,36,0.0200445434298441,-0.05555555555555558,0.25,0.3055555555555556,0.4444444444444444,CS-,0.09731502103439746,0.03841870824053453,0.09731502103439746,-0.135733729274932,10010,10010,+--+-
PTSD,30,4,Global on,False,40,0.022271714922048998,-0.04999999999999999,0.2,0.25,0.55,CS-,0.04175946547884188,-0.011581291759465456,0.04175946547884188,-0.030178173719376367,10111,10111,+-+++
PTSD,17,1,Global off,False,62,0.034521158129175944,-0.04838709677419353,0.14516129032258066,0.1935483870967742,0.6612903225806451,ITI,0.08111214886126872,-0.06642000143688481,-0.014692147424383933,0.08111214886126872,1,1,----+
merged,8,3,Safety-like,False,64,0.01776790671848973,-0.265625,0.125,0.390625,0.484375,CS-,0.17852061354802887,-0.0815519156024431,0.17852061354802887,-0.09696869794558582,11100,11100,+++--
merged,19,3,Safety-like,False,110,0.03053858967240422,-0.13636363636363635,0.07272727272727272,0.20909090909090908,0.7181818181818181,ITI,0.13683812023623232,-0.13382464287517037,-0.0030134773610620558,0.13683812023623232,1001,1001,-+--+
