cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,13,2,Threat-like,True,118,0.06533776301218161,0.17796610169491525,0.3305084745762712,0.15254237288135594,0.5169491525423728,CS+,0.12895808697937197,0.12895808697937197,-0.06340447097246465,-0.06555361600690734,110,110,--++-
HC,14,2,Threat-like,False,55,0.03045404208194906,0.16363636363636364,0.3090909090909091,0.14545454545454545,0.5454545454545454,CS+,0.10754052149400986,0.10754052149400986,-0.07049229839927515,-0.03704822309473477,10110,10110,+-++-
HC,11,1,Global off,False,13,0.007198228128460687,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.38461538461538464,CS+,0.18306499701848541,0.18306499701848541,0.014822386915410185,-0.19788738393389554,1010,1010,-+-+-
HC,30,4,Global on,False,44,0.024363233665559248,0.13636363636363638,0.29545454545454547,0.1590909090909091,0.5454545454545454,CS+,0.09390415785764625,0.09390415785764625,-0.05685593476291151,-0.03704822309473477,10111,10111,+-+++
HC,15,2,Threat-like,False,43,0.023809523809523808,0.11627906976744187,0.32558139534883723,0.20930232558139536,0.46511627906976744,CS+,0.12403100775193801,0.12403100775193801,-0.006644518272425237,-0.11738648947951275,1110,1110,-+++-
HC,9,1,Global off,False,52,0.028792912513842746,0.11538461538461539,0.3269230769230769,0.21153846153846154,0.46153846153846156,CS+,0.1253726893261777,0.1253726893261777,-0.004408382315359061,-0.12096430701081862,10,10,---+-
HC,6,1,Global off,False,28,0.015503875968992248,0.10714285714285715,0.17857142857142858,0.07142857142857142,0.75,ITI,0.16749723145071982,-0.022978959025470647,-0.14451827242524917,0.16749723145071982,10100,10100,+-+--
HC,16,4,Global on,False,76,0.042081949058693245,0.07894736842105265,0.34210526315789475,0.2631578947368421,0.39473684210526316,CS+,0.14055487556099552,0.14055487556099552,0.047211050883021494,-0.18776592644401702,11110,11110,++++-
HC,23,4,Global on,False,30,0.016611295681063124,0.06666666666666665,0.26666666666666666,0.2,0.5333333333333333,CS+,0.06511627906976744,0.06511627906976744,-0.015946843853820586,-0.049169435215946855,1101,1101,-++-+
HC,31,4,Global on,False,62,0.03433001107419712,0.06451612903225806,0.24193548387096775,0.1774193548387097,0.5806451612903226,CS+,0.04038509627406853,0.04038509627406853,-0.03852748901511091,-0.001857607258957561,1111,1111,-++++
HC,5,1,Global off,False,64,0.035437430786267994,0.015625,0.265625,0.25,0.484375,CS+,0.06407461240310078,0.06407461240310078,0.0340531561461794,-0.09812776854928018,100,100,--+--
HC,1,1,Global off,True,148,0.08194905869324474,0.013513513513513514,0.20270270270270271,0.1891891891891892,0.6081081081081081,ITI,0.025605339558827933,0.001152315105803492,-0.026757654664631397,0.025605339558827933,0,0,-----
PTSD,15,2,Threat-like,False,31,0.017260579064587972,0.16129032258064516,0.3225806451612903,0.16129032258064516,0.5161290322580645,CS+,0.11099935340182485,0.11099935340182485,-0.046950211940512965,-0.06404914146131191,1110,1110,-+++-
PTSD,12,3,Safety-like,False,23,0.012806236080178173,0.13043478260869568,0.30434782608695654,0.17391304347826086,0.5217391304347826,CS+,0.09276653432749107,0.09276653432749107,-0.03432749104289726,-0.05843904328459382,11010,11010,++-+-
PTSD,14,2,Threat-like,False,46,0.025612472160356347,0.13043478260869565,0.34782608695652173,0.21739130434782608,0.43478260869565216,CS+,0.13624479519705626,0.13624479519705626,0.00915076982666796,-0.14539556502372425,10110,10110,+-++-
PTSD,6,1,Global off,False,24,0.013363028953229399,0.125,0.25,0.125,0.625,ITI,0.04482182628062359,0.03841870824053453,-0.08324053452115812,0.04482182628062359,10100,10100,+-+--
PTSD,31,4,Global on,False,73,0.04064587973273942,0.1232876712328767,0.3698630136986301,0.2465753424657534,0.3835616438356164,CS+,0.15828172193916465,0.15828172193916465,0.03833480794459529,-0.19661652988376,1111,1111,-++++
PTSD,16,4,Global on,False,85,0.04732739420935412,0.11764705882352941,0.3411764705882353,0.2235294117647059,0.43529411764705883,CS+,0.12959517882876984,0.12959517882876984,0.015288877243547772,-0.14488405607231758,11110,11110,++++-
PTSD,32,4,Global on,True,155,0.08630289532293986,0.0838709677419355,0.2645161290322581,0.18064516129032257,0.5548387096774193,CS+,0.052934837272792606,0.052934837272792606,-0.02759537323083555,-0.025339464041957083,11111,11111,+++++
PTSD,25,1,Global off,False,37,0.02060133630289532,0.08108108108108109,0.1891891891891892,0.10810810810810811,0.7027027027027027,ITI,0.12252452898332633,-0.022392102570276268,-0.10013242641305001,0.12252452898332633,11,11,---++
PTSD,27,4,Global on,False,26,0.014476614699331848,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.6153846153846154,ITI,0.03520644166523901,0.019187939009765315,-0.05439438067500427,0.03520644166523901,1011,1011,-+-++
PTSD,22,4,Global on,False,14,0.0077951002227171495,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.7857142857142857,ITI,0.2055361119949093,-0.06872414890232262,-0.1368119630925867,0.2055361119949093,10101,10101,+-+-+
PTSD,13,2,Threat-like,True,106,0.05902004454342984,0.05660377358490565,0.32075471698113206,0.2641509433962264,0.41509433962264153,CS+,0.10917342522166659,0.10917342522166659,0.05591040887506829,-0.16508383409673488,110,110,--++-
PTSD,9,1,Global off,False,56,0.031180400890868598,0.053571428571428575,0.19642857142857142,0.14285714285714285,0.6607142857142857,ITI,0.08053611199490929,-0.015152720330894043,-0.06538339166401527,0.08053611199490929,10,10,---+-
merged,14,2,Threat-like,False,101,0.0280399777901166,0.14851485148514854,0.32673267326732675,0.1782178217821782,0.49504950495049505,CS+,0.12018075766488365,0.12018075766488365,-0.033886564669792923,-0.08629419299509078,10110,10110,+-++-
merged,15,2,Threat-like,False,74,0.020544142143253747,0.13513513513513514,0.32432432432432434,0.1891891891891892,0.4864864864864865,CS+,0.11777240872188124,0.11777240872188124,-0.022915197262781933,-0.09485721145909931,1110,1110,-+++-
merged,13,2,Threat-like,True,224,0.06218767351471405,0.1205357142857143,0.32589285714285715,0.20535714285714285,0.46875,CS+,0.11934094154041405,0.11934094154041405,-0.006747243594828284,-0.11259369794558582,110,110,--++-
merged,6,1,Global off,False,52,0.014436424208772903,0.11538461538461538,0.21153846153846154,0.09615384615384616,0.6923076923076923,ITI,0.11096399436210647,0.004986545936018438,-0.11595054029812497,0.11096399436210647,10100,10100,+-+--
merged,16,4,Global on,False,161,0.044697390338700724,0.0993788819875776,0.3416149068322981,0.2422360248447205,0.4161490683229814,CS+,0.13506299122985502,0.13506299122985502,0.030131638392749377,-0.16519462962260445,11110,11110,++++-
merged,31,4,Global on,False,135,0.03747917823431427,0.0962962962962963,0.3111111111111111,0.21481481481481482,0.4740740740740741,CS+,0.10455919550866802,0.10455919550866802,0.0027104283628436865,-0.10726962387151173,1111,1111,-++++
merged,9,1,Global off,False,108,0.029983342587451417,0.08333333333333331,0.25925925925925924,0.17592592592592593,0.5648148148148148,CS+,0.05270734365681615,0.05270734365681615,-0.0361784605260452,-0.016528883130771055,10,10,---+-
merged,30,4,Global on,False,84,0.023320377568017768,0.047619047619047616,0.25,0.20238095238095238,0.5476190476190477,CS+,0.0434480843975569,0.0434480843975569,-0.00972343407101875,-0.03372465032653815,10111,10111,+-+++
merged,11,1,Global off,False,28,0.007773459189339256,0.0357142857142857,0.2857142857142857,0.25,0.4642857142857143,CS+,0.0791623701118426,0.0791623701118426,0.03789561354802887,-0.11705798365987152,1010,1010,-+-+-
merged,12,3,Safety-like,False,64,0.01776790671848973,0.03125,0.25,0.21875,0.53125,CS+,0.0434480843975569,0.0434480843975569,0.006645613548028867,-0.050093697945585824,11010,11010,++-+-
