cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
HC,14,13,11,2,2,CS+,ITI,52,0.21153846153846154,10,24,0.4166666666666667,Threat-like,Threat-like
HC,13,1,17,2,1,CS+,ITI,99,0.1717171717171717,12,24,0.5,Threat-like,Global off
HC,2,1,12,1,1,ITI,ITI,73,0.1643835616438356,10,24,0.4166666666666667,Global off,Global off
HC,32,30,14,4,4,CS-,ITI,122,0.11475409836065574,10,24,0.4166666666666667,Global on,Global on
PTSD,31,32,18,4,4,ITI,ITI,65,0.27692307692307694,11,23,0.4782608695652174,Global on,Global on
merged,14,13,19,2,2,CS+,CS+,95,0.2,17,47,0.3617021276595745,Threat-like,Threat-like
merged,31,32,24,4,4,ITI,ITI,124,0.1935483870967742,16,47,0.3404255319148936,Global on,Global on
merged,2,1,26,1,1,ITI,ITI,139,0.18705035971223022,19,47,0.40425531914893614,Global off,Global off
merged,17,1,22,1,1,ITI,ITI,135,0.16296296296296298,14,47,0.2978723404255319,Global off,Global off
merged,24,32,16,4,4,ITI,CS+,103,0.1553398058252427,13,47,0.2765957446808511,Global on,Global on
merged,9,1,15,1,1,ITI,ITI,99,0.15151515151515152,13,47,0.2765957446808511,Global off,Global off
merged,5,1,16,1,1,ITI,ITI,117,0.13675213675213677,14,47,0.2978723404255319,Global off,Global off
merged,13,1,23,2,1,CS+,ITI,181,0.1270718232044199,18,47,0.3829787234042553,Threat-like,Global off
merged,28,20,14,4,3,ITI,ITI,113,0.12389380530973451,13,47,0.2765957446808511,Global on,Safety-like
merged,16,32,18,4,4,ITI,ITI,150,0.12,15,47,0.3191489361702128,Global on,Global on
merged,17,32,16,1,4,ITI,ITI,135,0.11851851851851852,13,47,0.2765957446808511,Global off,Global on
merged,20,32,20,3,4,ITI,ITI,181,0.11049723756906077,15,47,0.3191489361702128,Safety-like,Global on
merged,24,20,11,4,3,ITI,ITI,103,0.10679611650485436,10,47,0.2127659574468085,Global on,Safety-like
merged,5,13,12,1,2,ITI,ITI,117,0.10256410256410256,12,47,0.2553191489361702,Global off,Threat-like
merged,29,32,14,2,4,ITI,CS-,140,0.1,13,47,0.2765957446808511,Threat-like,Global on
