cohort,source,target,count,source_basin,target_basin,most_common_source_event,most_common_target_event,source_total,probability,subject_support_count,n_subjects_in_cohort,subject_support_prop,source_basin_label,target_basin_label
merged,14,13,19,2,2,CS+,CS+,95,0.2,17,47,0.3617021276595745,Threat-like,Threat-like
merged,31,32,24,4,4,ITI,ITI,124,0.1935483870967742,16,47,0.3404255319148936,Global on,Global on
merged,2,1,26,1,1,ITI,ITI,139,0.18705035971223022,19,47,0.40425531914893614,Global off,Global off
merged,27,20,9,4,3,ITI,ITI,50,0.18,8,47,0.1702127659574468,Global on,Safety-like
merged,12,1,10,3,1,ITI,ITI,61,0.16393442622950818,9,47,0.19148936170212766,Safety-like,Global off
merged,17,1,22,1,1,ITI,ITI,135,0.16296296296296298,14,47,0.2978723404255319,Global off,Global off
merged,3,1,9,1,1,ITI,ITI,57,0.15789473684210525,7,47,0.14893617021276595,Global off,Global off
merged,24,32,16,4,4,ITI,CS+,103,0.1553398058252427,13,47,0.2765957446808511,Global on,Global on
merged,9,1,15,1,1,ITI,ITI,99,0.15151515151515152,13,47,0.2765957446808511,Global off,Global off
merged,26,29,5,4,2,ITI,ITI,33,0.15151515151515152,5,47,0.10638297872340426,Global on,Threat-like
merged,10,1,10,1,1,ITI,ITI,70,0.14285714285714285,9,47,0.19148936170212766,Global off,Global off
merged,3,2,8,1,1,ITI,ITI,57,0.14035087719298245,7,47,0.14893617021276595,Global off,Global off
merged,5,1,16,1,1,ITI,ITI,117,0.13675213675213677,14,47,0.2978723404255319,Global off,Global off
merged,23,32,8,4,4,ITI,ITI,62,0.12903225806451613,8,47,0.1702127659574468,Global on,Global on
merged,13,1,23,2,1,CS+,ITI,181,0.1270718232044199,18,47,0.3829787234042553,Threat-like,Global off
merged,15,13,9,2,2,CS-,ITI,71,0.1267605633802817,6,47,0.1276595744680851,Threat-like,Threat-like
merged,28,20,14,4,3,ITI,ITI,113,0.12389380530973451,13,47,0.2765957446808511,Global on,Safety-like
merged,25,1,9,1,1,ITI,ITI,74,0.12162162162162163,8,47,0.1702127659574468,Global off,Global off
merged,16,32,18,4,4,ITI,ITI,150,0.12,15,47,0.3191489361702128,Global on,Global on
merged,27,28,6,4,4,ITI,ITI,50,0.12,6,47,0.1276595744680851,Global on,Global on
merged,17,32,16,1,4,ITI,ITI,135,0.11851851851851852,13,47,0.2765957446808511,Global off,Global on
merged,12,32,7,3,4,ITI,CS-,61,0.11475409836065574,7,47,0.14893617021276595,Safety-like,Global on
merged,10,13,8,1,2,CS-,CS+,70,0.11428571428571428,7,47,0.14893617021276595,Global off,Threat-like
merged,8,13,7,3,2,CS-,ITI,62,0.11290322580645161,7,47,0.14893617021276595,Safety-like,Threat-like
merged,23,24,7,4,4,CS+,ITI,62,0.11290322580645161,6,47,0.1276595744680851,Global on,Global on
