cohort,basin,basin_label_readable,occupancy,n_states_occupied,count_CSplus,count_CSminus,count_ITI,prop_CSplus,prop_CSminus,prop_ITI,cs_delta
HC,1,Global off,985,12,196,199,590,0.19898477157360406,0.2020304568527919,0.5989847715736041,-0.003045685279187832
HC,2,Threat-like,435,4,126,83,226,0.2896551724137931,0.19080459770114944,0.5195402298850574,0.09885057471264369
HC,3,Safety-like,546,6,66,126,354,0.12087912087912088,0.23076923076923078,0.6483516483516484,-0.1098901098901099
HC,4,Global on,824,10,164,172,488,0.19902912621359223,0.2087378640776699,0.5922330097087378,-0.009708737864077666
PTSD,1,Global off,976,12,172,180,624,0.1762295081967213,0.18442622950819673,0.639344262295082,-0.008196721311475419
PTSD,2,Threat-like,410,4,117,89,204,0.28536585365853656,0.21707317073170732,0.4975609756097561,0.06829268292682925
PTSD,3,Safety-like,521,6,66,103,352,0.12667946257197696,0.19769673704414586,0.6756238003838771,-0.0710172744721689
PTSD,4,Global on,857,10,208,190,459,0.2427071178529755,0.22170361726954493,0.5355892648774796,0.021003500583430562
merged,1,Global off,1961,12,368,379,1214,0.18765935747067822,0.19326874043855177,0.61907190209077,-0.005609382967873555
merged,2,Threat-like,845,4,243,172,430,0.2875739644970414,0.20355029585798817,0.5088757396449705,0.08402366863905325
merged,3,Safety-like,1067,6,132,229,706,0.12371134020618557,0.21462043111527648,0.6616682286785379,-0.09090909090909091
merged,4,Global on,1681,10,372,362,947,0.22129684711481262,0.21534800713860797,0.5633551457465794,0.005948839976204656
