state,basin,basin_label_readable,is_local_minimum,cs_delta_PTSD,cs_delta_HC,PTSD_minus_HC_cs_delta,occupancy_prop_PTSD,occupancy_prop_HC,PTSD_minus_HC_occupancy_prop,occupancy_PTSD,occupancy_HC,PTSD_minus_HC_occupancy,enriched_event_PTSD,enriched_event_HC,binary,binary_01,sigma_pattern,PTSD_minus_HC_prop_CSplus,PTSD_minus_HC_prop_CSminus,PTSD_minus_HC_prop_ITI,PTSD_minus_HC_max_enrichment,abs_cs_delta_difference
32,4,Global on,True,0.04435483870967741,-0.11504424778761063,0.15939908649728804,0.08972503617945007,0.08100358422939068,0.008721451950059397,248,226,22,CS+,CS-,11111,11111,+++++,0.10398230088495575,-0.05541678561233229,-0.04856551527262354,-0.00686694615053729,0.15939908649728804
7,1,Global off,False,-0.05263157894736842,-0.2058823529411765,0.15325077399380807,0.013748191027496382,0.012186379928315413,0.0015618110991809687,38,34,4,CS-,CS-,1100,1100,-++--,0.11609907120743032,-0.03715170278637775,-0.07894736842105265,-0.03259490753353658,0.15325077399380807
23,4,Global on,False,-0.11320754716981132,0.0,-0.11320754716981132,0.01917510853835022,0.016129032258064516,0.0030460762802857026,53,45,8,CS-,CS+,1101,1101,-++-+,-0.090146750524109,0.02306079664570232,0.06708595387840666,0.01758174960463668,0.11320754716981132
25,1,Global off,False,0.01785714285714285,-0.09433962264150944,0.11219676549865229,0.020260492040520984,0.01899641577060932,0.0012640762699116653,56,53,3,ITI,CS-,11,11,---++,0.027628032345013487,-0.0845687331536388,0.056940700808625344,0.030335384819897032,0.11219676549865229
30,4,Global on,False,-0.033898305084745756,0.07575757575757575,-0.1096558808423215,0.02134587554269175,0.023655913978494623,-0.0023100384358028733,59,66,-7,CS-,CS+,10111,10111,+-+++,-0.037236774524910116,0.07241910631741139,-0.03518233179250119,-0.008817516481229998,0.1096558808423215
29,2,Threat-like,False,-0.051282051282051266,0.05084745762711865,-0.10212950890916991,0.04232995658465991,0.04229390681003584,3.604977462406955e-05,117,118,-1,ITI,CS+,111,111,--+++,-0.08344198174706649,0.018687527162103423,0.0647544545849631,0.008605781112049793,0.10212950890916991
20,3,Safety-like,True,-0.058139534883720936,-0.14857142857142858,0.09043189368770764,0.06222865412445731,0.06272401433691756,-0.000495360212460251,172,175,-3,ITI,ITI,11001,11001,++--+,0.018637873754152823,-0.0717940199335548,0.05315614617940201,0.05444019246835008,0.09043189368770764
15,2,Threat-like,False,0.11764705882352938,0.03076923076923077,0.08687782805429861,0.01845151953690304,0.023297491039426525,-0.004845971502523486,51,65,-14,CS+,CS+,1110,1110,-+++-,0.025641025641025605,-0.061236802413273006,0.035595776772247345,0.019800184099236395,0.08687782805429861
11,1,Global off,False,0.16666666666666666,0.08000000000000002,0.08666666666666664,0.008683068017366137,0.008960573476702509,-0.00027750545933637183,24,25,-1,CS+,CS+,1010,1010,-+-+-,0.013333333333333308,-0.07333333333333333,0.06,0.007492491791544098,0.08666666666666664
27,4,Global on,False,0.0,-0.075,0.075,0.014833574529667149,0.014336917562724014,0.0004966569669431348,41,40,1,ITI,ITI,1011,1011,-+-++,0.09573170731707319,0.02073170731707319,-0.11646341463414633,-0.11517936834519826,0.075
5,1,Global off,False,-0.011764705882352927,0.06060606060606061,-0.07237076648841353,0.030752532561505064,0.035483870967741936,-0.004731338406236872,85,99,-14,CS-,CS+,100,100,--+--,-0.09292929292929292,-0.020558526440879382,0.11348781937017233,-0.08664363408800563,0.07237076648841353
24,4,Global on,False,-0.02439024390243902,-0.09638554216867468,0.07199529826623566,0.029667149059334298,0.02974910394265233,-8.195488331803197e-05,82,83,-1,ITI,ITI,11101,11101,+++-+,0.001616220981486921,-0.07037907728474874,0.06876285630326184,0.07004690259220991,0.07199529826623566
31,4,Global on,False,0.07258064516129031,0.14285714285714288,-0.07027649769585256,0.04486251808972504,0.04265232974910394,0.0022101883406210956,124,119,5,CS+,CS+,1111,1111,-++++,0.03720520466251015,0.10748170235836271,-0.1446869070208729,0.03136436312072094,0.07027649769585256
4,3,Safety-like,False,0.0,-0.060344827586206906,0.060344827586206906,0.040882778581765554,0.04157706093189964,-0.0006942823501340858,113,116,-3,ITI,CS-,11000,11000,++---,-0.004043332316142817,-0.06438815990234972,0.06843149221849254,0.01954250674375252,0.060344827586206906
1,1,Global off,True,-0.011070110701107028,0.043290043290043295,-0.05436015399115032,0.09804630969609263,0.08279569892473118,0.015250610771361445,271,231,40,ITI,CS+,0,0,-----,-0.03932844523250428,0.01503170875864604,0.024296736473858216,0.023104406092881197,0.05436015399115032
13,2,Threat-like,True,0.11728395061728397,0.1656441717791411,-0.04836022116185712,0.05861070911722142,0.05842293906810036,0.0001877700491210582,162,163,-1,CS+,CS+,110,110,--++-,0.020563508293569677,0.0689237294554268,-0.08948723774899642,0.014722666751780467,0.04836022116185712
22,4,Global on,False,0.04545454545454547,0.0,0.04545454545454547,0.007959479015918957,0.005376344086021506,0.0025831349298974515,22,15,7,ITI,CS+,10101,10101,+-+-+,-0.08484848484848484,-0.1303030303030303,0.2151515151515151,0.020019790831144163,0.04545454545454547
