source,target,source_basin_PTSD,target_basin_PTSD,source_basin_label_PTSD,target_basin_label_PTSD,count_PTSD,source_total_PTSD,probability_PTSD,subject_support_count_PTSD,subject_support_prop_PTSD,most_common_source_event_PTSD,most_common_target_event_PTSD,source_basin_HC,target_basin_HC,source_basin_label_HC,target_basin_label_HC,count_HC,source_total_HC,probability_HC,subject_support_count_HC,subject_support_prop_HC,most_common_source_event_HC,most_common_target_event_HC,source_basin,target_basin,source_basin_label,target_basin_label,PTSD_minus_HC_count,PTSD_minus_HC_probability,PTSD_minus_HC_subject_support_count,PTSD_minus_HC_subject_support_prop,abs_probability_difference
31,32,4.0,4.0,Global on,Global on,34.0,112.0,0.30357142857142855,18.0,0.75,ITI,ITI,4.0,4.0,Global on,Global on,12.0,109.0,0.11009174311926606,10.0,0.4166666666666667,ITI,CS-,4.0,4.0,Global on,Global on,22.0,0.1934796854521625,8.0,0.3333333333333333,0.1934796854521625
17,1,1.0,1.0,Global off,Global off,20.0,96.0,0.20833333333333334,11.0,0.4583333333333333,ITI,ITI,1.0,1.0,Global off,Global off,11.0,119.0,0.09243697478991597,9.0,0.375,ITI,CS+,1.0,1.0,Global off,Global off,9.0,0.11589635854341737,2.0,0.08333333333333331,0.11589635854341737
4,2,3.0,1.0,Safety-like,Global off,13.0,107.0,0.12149532710280374,10.0,0.4166666666666667,ITI,ITI,3.0,1.0,Safety-like,Global off,1.0,108.0,0.009259259259259259,1.0,0.041666666666666664,ITI,CS-,3.0,1.0,Safety-like,Global off,12.0,0.11223606784354448,9.0,0.375,0.11223606784354448
6,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,5.0,47.0,0.10638297872340426,4.0,0.16666666666666666,ITI,CS+,1.0,1.0,Global off,Global off,-5.0,-0.10638297872340426,-4.0,-0.16666666666666666,0.10638297872340426
23,20,4.0,3.0,Global on,Safety-like,6.0,50.0,0.12,5.0,0.20833333333333334,ITI,ITI,4.0,3.0,Global on,Safety-like,1.0,44.0,0.022727272727272728,1.0,0.041666666666666664,CS+,CS+,4.0,3.0,Global on,Safety-like,5.0,0.09727272727272726,4.0,0.16666666666666669,0.09727272727272726
13,1,2.0,1.0,Threat-like,Global off,8.0,128.0,0.0625,8.0,0.3333333333333333,ITI,ITI,2.0,1.0,Threat-like,Global off,22.0,139.0,0.15827338129496402,14.0,0.5833333333333334,CS+,ITI,2.0,1.0,Threat-like,Global off,-14.0,-0.09577338129496402,-6.0,-0.25000000000000006,0.09577338129496402
7,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,32.0,0.09375,2.0,0.08333333333333333,ITI,CS+,1.0,1.0,Global off,Global off,-3.0,-0.09375,-2.0,-0.08333333333333333,0.09375
22,17,4.0,1.0,Global on,Global off,2.0,22.0,0.09090909090909091,2.0,0.08333333333333333,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,0.09090909090909091,2.0,0.08333333333333333,0.09090909090909091
23,16,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,4.0,44.0,0.09090909090909091,4.0,0.16666666666666666,ITI,ITI,4.0,4.0,Global on,Global on,-4.0,-0.09090909090909091,-4.0,-0.16666666666666666,0.09090909090909091
22,1,4.0,1.0,Global on,Global off,2.0,22.0,0.09090909090909091,2.0,0.08333333333333333,ITI,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,0.09090909090909091,2.0,0.08333333333333333,0.09090909090909091
18,5,3.0,1.0,Safety-like,Global off,5.0,55.0,0.09090909090909091,5.0,0.20833333333333334,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1.0,Safety-like,Global off,5.0,0.09090909090909091,5.0,0.20833333333333334,0.09090909090909091
3,15,1.0,2.0,Global off,Threat-like,4.0,47.0,0.0851063829787234,3.0,0.125,ITI,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,2.0,Global off,Threat-like,4.0,0.0851063829787234,3.0,0.125,0.0851063829787234
11,20,1.0,3.0,Global off,Safety-like,2.0,24.0,0.08333333333333333,2.0,0.08333333333333333,CS-,CS-,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,2.0,0.08333333333333333,2.0,0.08333333333333333,0.08333333333333333
8,31,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,4.0,Safety-like,Global on,4.0,48.0,0.08333333333333333,4.0,0.16666666666666666,ITI,ITI,3.0,4.0,Safety-like,Global on,-4.0,-0.08333333333333333,-4.0,-0.16666666666666666,0.08333333333333333
7,12,1.0,3.0,Global off,Safety-like,3.0,36.0,0.08333333333333333,3.0,0.125,CS+,CS+,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,3.0,Global off,Safety-like,3.0,0.08333333333333333,3.0,0.125,0.08333333333333333
24,16,4.0,4.0,Global on,Global on,8.0,74.0,0.10810810810810811,8.0,0.3333333333333333,ITI,CS+,4.0,4.0,Global on,Global on,2.0,79.0,0.02531645569620253,2.0,0.08333333333333333,CS+,CS+,4.0,4.0,Global on,Global on,6.0,0.08279165241190559,6.0,0.25,0.08279165241190559
27,20,4.0,3.0,Global on,Safety-like,3.0,39.0,0.07692307692307693,3.0,0.125,ITI,ITI,4.0,3.0,Global on,Safety-like,6.0,38.0,0.15789473684210525,5.0,0.20833333333333334,ITI,ITI,4.0,3.0,Global on,Safety-like,-3.0,-0.08097165991902833,-2.0,-0.08333333333333334,0.08097165991902833
30,5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,5.0,62.0,0.08064516129032258,4.0,0.16666666666666666,ITI,ITI,4.0,1.0,Global on,Global off,-5.0,-0.08064516129032258,-4.0,-0.16666666666666666,0.08064516129032258
23,24,4.0,4.0,Global on,Global on,4.0,50.0,0.08,4.0,0.16666666666666666,CS+,CS+,4.0,4.0,Global on,Global on,7.0,44.0,0.1590909090909091,6.0,0.25,ITI,ITI,4.0,4.0,Global on,Global on,-3.0,-0.07909090909090909,-2.0,-0.08333333333333334,0.07909090909090909
23,31,4.0,4.0,Global on,Global on,3.0,50.0,0.06,3.0,0.125,CS-,ITI,4.0,4.0,Global on,Global on,6.0,44.0,0.13636363636363635,5.0,0.20833333333333334,ITI,ITI,4.0,4.0,Global on,Global on,-3.0,-0.07636363636363636,-2.0,-0.08333333333333334,0.07636363636363636
27,31,4.0,4.0,Global on,Global on,4.0,39.0,0.10256410256410256,2.0,0.08333333333333333,ITI,CS+,4.0,4.0,Global on,Global on,1.0,38.0,0.02631578947368421,1.0,0.041666666666666664,CS-,ITI,4.0,4.0,Global on,Global on,3.0,0.07624831309041835,1.0,0.041666666666666664,0.07624831309041835
10,14,1.0,2.0,Global off,Threat-like,3.0,57.0,0.05263157894736842,3.0,0.125,ITI,CS+,1.0,2.0,Global off,Threat-like,6.0,47.0,0.1276595744680851,4.0,0.16666666666666666,CS+,CS+,1.0,2.0,Global off,Threat-like,-3.0,-0.07502799552071668,-1.0,-0.04166666666666666,0.07502799552071668
26,17,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,2.0,27.0,0.07407407407407407,2.0,0.08333333333333333,CS-,ITI,4.0,1.0,Global on,Global off,-2.0,-0.07407407407407407,-2.0,-0.08333333333333333,0.07407407407407407
29,2,2.0,1.0,Threat-like,Global off,3.0,107.0,0.028037383177570093,3.0,0.125,ITI,ITI,2.0,1.0,Threat-like,Global off,10.0,102.0,0.09803921568627451,6.0,0.25,ITI,ITI,2.0,1.0,Threat-like,Global off,-7.0,-0.07000183250870441,-3.0,-0.125,0.07000183250870441
6,10,1.0,1.0,Global off,Global off,3.0,43.0,0.06976744186046512,2.0,0.08333333333333333,CS+,ITI,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,0.06976744186046512,2.0,0.08333333333333333,0.06976744186046512
22,31,4.0,4.0,Global on,Global on,3.0,22.0,0.13636363636363635,3.0,0.125,CS+,CS+,4.0,4.0,Global on,Global on,1.0,15.0,0.06666666666666667,1.0,0.041666666666666664,ITI,ITI,4.0,4.0,Global on,Global on,2.0,0.06969696969696969,2.0,0.08333333333333334,0.06969696969696969
12,1,3.0,1.0,Safety-like,Global off,7.0,40.0,0.175,6.0,0.25,ITI,ITI,3.0,1.0,Safety-like,Global off,7.0,66.0,0.10606060606060606,6.0,0.25,ITI,ITI,3.0,1.0,Safety-like,Global off,0.0,0.06893939393939393,0.0,0.0,0.06893939393939393
18,2,3.0,1.0,Safety-like,Global off,6.0,55.0,0.10909090909090909,6.0,0.25,ITI,ITI,3.0,1.0,Safety-like,Global off,2.0,49.0,0.04081632653061224,2.0,0.08333333333333333,ITI,CS-,3.0,1.0,Safety-like,Global off,4.0,0.06827458256029684,4.0,0.16666666666666669,0.06827458256029684
3,16,1.0,4.0,Global off,Global on,5.0,47.0,0.10638297872340426,4.0,0.16666666666666666,ITI,CS+,1.0,4.0,Global off,Global on,2.0,52.0,0.038461538461538464,2.0,0.08333333333333333,CS-,ITI,1.0,4.0,Global off,Global on,3.0,0.06792144026186579,2.0,0.08333333333333333,0.06792144026186579
22,29,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,1.0,15.0,0.06666666666666667,1.0,0.041666666666666664,ITI,ITI,4.0,2.0,Global on,Threat-like,-1.0,-0.06666666666666667,-1.0,-0.041666666666666664,0.06666666666666667
22,13,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,1.0,15.0,0.06666666666666667,1.0,0.041666666666666664,ITI,ITI,4.0,2.0,Global on,Threat-like,-1.0,-0.06666666666666667,-1.0,-0.041666666666666664,0.06666666666666667
22,30,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,4.0,Global on,Global on,1.0,15.0,0.06666666666666667,1.0,0.041666666666666664,CS-,ITI,4.0,4.0,Global on,Global on,-1.0,-0.06666666666666667,-1.0,-0.041666666666666664,0.06666666666666667
22,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,Global on,Global off,1.0,15.0,0.06666666666666667,1.0,0.041666666666666664,CS+,ITI,4.0,1.0,Global on,Global off,-1.0,-0.06666666666666667,-1.0,-0.041666666666666664,0.06666666666666667
22,14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,2.0,Global on,Threat-like,1.0,15.0,0.06666666666666667,1.0,0.041666666666666664,ITI,ITI,4.0,2.0,Global on,Threat-like,-1.0,-0.06666666666666667,-1.0,-0.041666666666666664,0.06666666666666667
10,17,1.0,1.0,Global off,Global off,5.0,57.0,0.08771929824561403,4.0,0.16666666666666666,CS+,ITI,1.0,1.0,Global off,Global off,1.0,47.0,0.02127659574468085,1.0,0.041666666666666664,CS-,ITI,1.0,1.0,Global off,Global off,4.0,0.06644270250093318,3.0,0.125,0.06644270250093318
3,1,1.0,1.0,Global off,Global off,6.0,47.0,0.1276595744680851,5.0,0.20833333333333334,ITI,ITI,1.0,1.0,Global off,Global off,10.0,52.0,0.19230769230769232,8.0,0.3333333333333333,ITI,ITI,1.0,1.0,Global off,Global off,-4.0,-0.06464811783960722,-3.0,-0.12499999999999997,0.06464811783960722
6,21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,Global off,Global off,3.0,47.0,0.06382978723404255,3.0,0.125,CS-,ITI,1.0,1.0,Global off,Global off,-3.0,-0.06382978723404255,-3.0,-0.125,0.06382978723404255
