cohort,state,basin,basin_label_readable,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,energy,binary,binary_01,sigma_pattern
HC,1,1,Global off,231,0.08279569892473118,0.043290043290043295,0.21645021645021645,0.17316017316017315,0.6103896103896104,CS+,0.018600754084625054,-1.216,0,0,-----
HC,13,2,Threat-like,163,0.05842293906810036,0.1656441717791411,0.3312883435582822,0.1656441717791411,0.5030674846625767,CS+,0.1334388811926908,-0.8292,110,110,--++-
HC,20,3,Safety-like,175,0.06272401433691756,-0.14857142857142858,0.06857142857142857,0.21714285714285714,0.7142857142857143,ITI,0.1200204813108039,-0.824,11001,11001,++--+
HC,32,4,Global on,226,0.08100358422939068,-0.11504424778761063,0.14601769911504425,0.2610619469026549,0.5929203539823009,CS-,0.053176642243156685,-1.1908,11111,11111,+++++
PTSD,1,1,Global off,271,0.09804630969609263,-0.011070110701107028,0.17712177121771217,0.1881918819188192,0.6346863468634686,ITI,0.04170516017750625,-1.216,0,0,-----
PTSD,13,2,Threat-like,162,0.05861070911722142,0.11728395061728397,0.35185185185185186,0.2345679012345679,0.41358024691358025,CS+,0.14816154794447126,-0.8292,110,110,--++-
PTSD,20,3,Safety-like,172,0.06222865412445731,-0.058139534883720936,0.0872093023255814,0.14534883720930233,0.7674418604651163,ITI,0.17446067377915397,-0.824,11001,11001,++--+
PTSD,32,4,Global on,248,0.08972503617945007,0.04435483870967741,0.25,0.2056451612903226,0.5443548387096774,CS+,0.046309696092619396,-1.1908,11111,11111,+++++
merged,1,1,Global off,502,0.09038530788620813,0.013944223107569709,0.1952191235059761,0.18127490039840638,0.6235059760956175,ITI,0.029879760755322282,-1.216,0,0,-----
merged,13,2,Threat-like,325,0.05851638458768455,0.1415384615384615,0.3415384615384615,0.2,0.4584615384615385,CS+,0.1407822497991745,-0.8292,110,110,--++-
merged,20,3,Safety-like,347,0.062477493698235506,-0.10374639769452448,0.07780979827089338,0.18155619596541786,0.7406340057636888,ITI,0.14700779042339351,-0.824,11001,11001,++--+
merged,32,4,Global on,474,0.08534389629096147,-0.03164556962025317,0.20042194092827004,0.2320675105485232,0.5675105485232067,CS-,0.02644993762810549,-1.1908,11111,11111,+++++
