cohort,state,occupancy,occupancy_prop,count_CSplus,count_CSminus,count_ITI,count_NONE,prop_CSplus,prop_CSminus,prop_ITI,cs_delta,dominant_event,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,global_prop_CSplus,global_prop_CSminus,global_prop_ITI,basin,basin_label_readable,local_minimum_state,is_local_minimum,hamming_to_min,energy,binary,binary_01,sigma_pattern
merged,1,502,0.09038530788620813,98,91,313,0,0.1952191235059761,0.18127490039840638,0.6235059760956175,0.013944223107569709,ITI,ITI,0.029879760755322282,-0.005537088233310922,-0.024342672522011333,0.029879760755322282,0.200756211739287,0.2056175729204177,0.5936262153402952,1,Global off,1,True,0,-1.216,0,0,-----
merged,32,474,0.08534389629096147,95,110,269,0,0.20042194092827004,0.2320675105485232,0.5675105485232067,-0.03164556962025317,ITI,CS-,0.02644993762810549,-0.0003342708110169734,0.02644993762810549,-0.026115666817088545,0.200756211739287,0.2056175729204177,0.5936262153402952,4,Global on,32,True,0,-1.1908,11111,11111,+++++
merged,20,347,0.062477493698235506,27,63,257,0,0.07780979827089338,0.18155619596541786,0.7406340057636888,-0.10374639769452448,ITI,ITI,0.14700779042339351,-0.12294641346839363,-0.024061376954999852,0.14700779042339351,0.200756211739287,0.2056175729204177,0.5936262153402952,3,Safety-like,20,True,0,-0.824,11001,11001,++--+
merged,13,325,0.05851638458768455,111,65,149,0,0.3415384615384615,0.2,0.4584615384615385,0.1415384615384615,ITI,CS+,0.1407822497991745,0.1407822497991745,-0.005617572920417702,-0.13516467687875677,0.200756211739287,0.2056175729204177,0.5936262153402952,2,Threat-like,13,True,0,-0.8292,110,110,--++-
merged,31,243,0.04375225063017645,72,46,125,0,0.2962962962962963,0.18930041152263374,0.51440329218107,0.10699588477366254,ITI,CS+,0.09554008455700927,0.09554008455700927,-0.01631716139778397,-0.0792229231592253,0.200756211739287,0.2056175729204177,0.5936262153402952,4,Global on,32,False,1,-0.5204,1111,1111,-++++
merged,2,239,0.04303204897371264,43,52,144,0,0.1799163179916318,0.2175732217573222,0.602510460251046,-0.03765690376569039,ITI,CS-,0.011955648836904476,-0.020839893747655214,0.011955648836904476,0.008884244910750794,0.200756211739287,0.2056175729204177,0.5936262153402952,1,Global off,1,False,1,-0.5336000000000001,10000,10000,+----
merged,17,236,0.04249189773136478,21,34,181,0,0.08898305084745763,0.1440677966101695,0.7669491525423728,-0.05508474576271187,ITI,ITI,0.1733229372020776,-0.11177316089182938,-0.061549776310248216,0.1733229372020776,0.200756211739287,0.2056175729204177,0.5936262153402952,1,Global off,1,False,1,-0.4907999999999999,1,1,----+
merged,29,235,0.04231184731724883,46,46,143,0,0.19574468085106383,0.19574468085106383,0.6085106382978723,0.0,ITI,ITI,0.014884422957577081,-0.005011530888223176,-0.009872892069353878,0.014884422957577081,0.200756211739287,0.2056175729204177,0.5936262153402952,2,Threat-like,13,False,1,-0.4795999999999999,111,111,--+++
merged,4,229,0.04123154483255311,41,48,140,0,0.17903930131004367,0.2096069868995633,0.611353711790393,-0.03056768558951964,ITI,ITI,0.017727496450097746,-0.02171691042924334,0.003989413979145595,0.017727496450097746,0.200756211739287,0.2056175729204177,0.5936262153402952,3,Safety-like,20,False,1,-0.4855999999999999,11000,11000,++---
merged,16,227,0.04087144400432121,80,57,90,0,0.3524229074889868,0.2511013215859031,0.3964757709251101,0.10132158590308371,ITI,CS+,0.1516666957496998,0.1516666957496998,0.04548374866548538,-0.19715044441518514,0.200756211739287,0.2056175729204177,0.5936262153402952,4,Global on,32,False,1,-0.4767999999999999,11110,11110,++++-
