cohort,state,basin,basin_label_readable,is_local_minimum,occupancy,occupancy_prop,cs_delta,prop_CSplus,prop_CSminus,prop_ITI,enriched_event,max_enrichment,enrich_CSplus,enrich_CSminus,enrich_ITI,binary,binary_01,sigma_pattern
HC,7,1,Global off,False,34,0.012186379928315413,-0.2058823529411765,0.14705882352941177,0.35294117647058826,0.5,CS-,0.14505587181109006,-0.050790638836179625,0.14505587181109006,-0.0942652329749104,1100,1100,-++--
HC,8,3,Safety-like,False,49,0.01756272401433692,-0.18367346938775508,0.10204081632653061,0.2857142857142857,0.6122448979591837,CS-,0.0778289810547875,-0.09580864603906078,0.0778289810547875,0.01797966498427328,11100,11100,+++--
HC,20,3,Safety-like,True,175,0.06272401433691756,-0.14857142857142858,0.06857142857142857,0.21714285714285714,0.7142857142857143,ITI,0.1200204813108039,-0.1292780337941628,0.009257552483358938,0.1200204813108039,11001,11001,++--+
HC,26,4,Global on,False,29,0.01039426523297491,-0.13793103448275862,0.034482758620689655,0.1724137931034483,0.7931034482758621,ITI,0.1988382153009517,-0.16336670374490175,-0.03547151155604991,0.1988382153009517,10011,10011,+--++
HC,32,4,Global on,True,226,0.08100358422939068,-0.11504424778761063,0.14601769911504425,0.2610619469026549,0.5929203539823009,CS-,0.053176642243156685,-0.05183176325054714,0.053176642243156685,-0.0013448789926094884,11111,11111,+++++
HC,19,3,Safety-like,False,84,0.030107526881720432,-0.10714285714285715,0.07142857142857142,0.17857142857142858,0.75,ITI,0.1557347670250896,-0.12642089093701997,-0.029313876088069624,0.1557347670250896,1001,1001,-+--+
HC,18,3,Safety-like,False,50,0.017921146953405017,-0.1,0.1,0.2,0.7,ITI,0.10573476702508955,-0.09784946236559139,-0.007885304659498188,0.10573476702508955,10001,10001,+---+
HC,24,4,Global on,False,83,0.02974910394265233,-0.09638554216867468,0.13253012048192772,0.2289156626506024,0.6385542168674698,ITI,0.04428898389255942,-0.06531934188366367,0.021030357991104198,0.04428898389255942,11101,11101,+++-+
HC,25,1,Global off,False,53,0.01899641577060932,-0.09433962264150944,0.1509433962264151,0.24528301886792453,0.6037735849056604,CS-,0.03739771420842633,-0.046906066139176306,0.03739771420842633,0.009508351930749948,11,11,---++
HC,27,4,Global on,False,40,0.014336917562724014,-0.075,0.075,0.15,0.775,ITI,0.18073476702508962,-0.1228494623655914,-0.057885304659498205,0.18073476702508962,1011,1011,-+-++
